Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
DeMarre Carroll,Bradley Beal,Omri Casspi,John Wall,Kyle Lowry,Patrick Patterson,Hassan Whiteside,Brook Lopez,276.578,274.75,8,Dec122016,6,7
Paul George,DeMar DeRozan,Bojan Bogdanovic,Deron Williams,Patrick Beverley,Darren Collison,Hassan Whiteside,Nikola Jokic,278.838,274.0,36,Dec122016,3,7
John Henson,Rondae Hollis-Jefferson,John Wall,Deron Williams,Matthew Dellavedova,Blake Griffin,Patrick Patterson,DeMarcus Cousins,276.628,273.75,50,Dec122016,5,7
Rodney McGruder,Dorian Finney-Smith,John Wall,Deron Williams,Jameer Nelson,Blake Griffin,Hassan Whiteside,Brook Lopez,276.468,273.5,38,Dec122016,6,7
Lou Williams,Wesley Matthews,Dorian Finney-Smith,Kyle Lowry,Darren Collison,Matthew Dellavedova,Blake Griffin,Hassan Whiteside,276.468,273.5,40,Dec122016,6,7
Nicolas Batum,Glenn Robinson III,Rondae Hollis-Jefferson,Giannis Antetokounmpo,Patrick Beverley,Patrick Patterson,DeMarcus Cousins,Brook Lopez,276.938,273.25,50,Dec122016,4,7
Jusuf Nurkic,Paul George,Bradley Beal,Eric Gordon,Nicolas Batum,Dorian Finney-Smith,John Wall,Brook Lopez,276.638,273.25,47,Dec122016,5,7
Rodney McGruder,Jeremy Lamb,Giannis Antetokounmpo,Patrick Beverley,Emmanuel Mudiay,Marvin Williams,DeMarcus Cousins,Hassan Whiteside,276.638,273.25,48,Dec122016,5,7
Markieff Morris,DeMar DeRozan,Kelly Oubre Jr.,John Wall,Blake Griffin,Marvin Williams,Marcin Gortat,Nikola Jokic,276.758,273.0,27,Dec122016,5,7
Rudy Gay,Jamal Crawford,Glenn Robinson III,John Wall,Damian Lillard,Deron Williams,Marcin Gortat,Nikola Jokic,278.018,272.75,50,Dec122016,3,7
Bojan Bogdanovic,Glenn Robinson III,John Wall,Kyle Lowry,Matthew Dellavedova,Blake Griffin,Brook Lopez,Nikola Jokic,283.588,272.5,4,Dec122016,3,7
Harrison Barnes,Sean Kilpatrick,Jeremy Lamb,John Wall,Damian Lillard,Patrick Beverley,Brook Lopez,Nikola Jokic,276.448,272.25,46,Dec122016,6,7
James Harden,Luol Deng,DeMar DeRozan,Bojan Bogdanovic,Glenn Robinson III,John Wall,Patrick Beverley,Clint Capela,276.888,271.75,10,Dec122016,5,7
DeMar DeRozan,Jeremy Lamb,Glenn Robinson III,John Wall,Patrick Beverley,Darren Collison,DeMarcus Cousins,Clint Capela,276.758,271.0,29,Dec122016,5,7
Paul George,Wesley Matthews,Rodney McGruder,Nicolas Batum,John Wall,Darren Collison,Marcin Gortat,Nikola Jokic,280.388,271.0,22,Dec122016,3,7
Jamal Crawford,Nicolas Batum,Omri Casspi,Giannis Antetokounmpo,Kyle Lowry,Patrick Beverley,Ryan Anderson,Hassan Whiteside,276.648,270.5,44,Dec122016,5,7
Eric Gordon,Nicolas Batum,Glenn Robinson III,John Wall,Emmanuel Mudiay,Matthew Dellavedova,DeMarcus Cousins,Marcin Gortat,282.578,270.5,7,Dec122016,3,7
Luol Deng,Sean Kilpatrick,Trevor Ariza,John Wall,Matthew Dellavedova,Malcolm Brogdon,DeMarcus Cousins,Hassan Whiteside,276.498,270.25,26,Dec122016,6,7
Sean Kilpatrick,Rodney McGruder,Glenn Robinson III,Giannis Antetokounmpo,John Wall,Patrick Patterson,Hassan Whiteside,Nikola Jokic,280.298,269.25,23,Dec122016,3,7
Lou Williams,Wesley Matthews,Dorian Finney-Smith,Kyle Lowry,Darren Collison,Matthew Dellavedova,DeMarcus Cousins,Marcin Gortat,276.458,269.0,44,Dec122016,6,7
Luol Deng,Bojan Bogdanovic,Damian Lillard,Kyle Lowry,Emmanuel Mudiay,Marvin Williams,DeMarcus Cousins,Marcin Gortat,276.738,268.75,32,Dec122016,5,7
John Henson,Luol Deng,DeMar DeRozan,Wesley Matthews,Giannis Antetokounmpo,John Wall,Matthew Dellavedova,Marcin Gortat,280.528,268.25,18,Dec122016,3,7
Markieff Morris,Wesley Matthews,John Wall,Patrick Beverley,Darren Collison,Patrick Patterson,DeMarcus Cousins,Clint Capela,276.888,268.25,9,Dec122016,5,7
Paul George,Bradley Beal,Sean Kilpatrick,Omri Casspi,John Wall,Deron Williams,Malcolm Brogdon,Hassan Whiteside,277.028,268.0,43,Dec122016,4,7
Sean Kilpatrick,Rondae Hollis-Jefferson,Giannis Antetokounmpo,John Wall,Darren Collison,Ryan Anderson,Brook Lopez,Marcin Gortat,276.498,268.0,29,Dec122016,6,7
Markieff Morris,Marco Belinelli,Rondae Hollis-Jefferson,Giannis Antetokounmpo,John Wall,Emmanuel Mudiay,Hassan Whiteside,Marcin Gortat,276.508,267.75,23,Dec122016,6,7
Bradley Beal,Nicolas Batum,Bojan Bogdanovic,Kyle Lowry,Goran Dragic,Patrick Beverley,Trevor Booker,Brook Lopez,276.878,267.5,11,Dec122016,5,7
Markieff Morris,DeMar DeRozan,Glenn Robinson III,Deron Williams,Matthew Dellavedova,Marvin Williams,DeMarcus Cousins,Hassan Whiteside,277.278,267.5,25,Dec122016,4,7
John Henson,Rudy Gay,Marco Belinelli,Omri Casspi,Giannis Antetokounmpo,John Wall,Patrick Beverley,Hassan Whiteside,276.938,267.25,2,Dec122016,5,7
Lou Williams,Glenn Robinson III,Giannis Antetokounmpo,Patrick Beverley,Darren Collison,Blake Griffin,Marvin Williams,Brook Lopez,277.608,267.0,13,Dec122016,4,7
Harrison Barnes,Lou Williams,Dorian Finney-Smith,Giannis Antetokounmpo,John Wall,Emmanuel Mudiay,Marvin Williams,Marcin Gortat,276.678,266.75,38,Dec122016,5,7
Rudy Gay,Lou Williams,Wesley Matthews,Rodney McGruder,Goran Dragic,Patrick Beverley,Hassan Whiteside,Nikola Jokic,276.568,266.5,11,Dec122016,6,7
Wesley Matthews,Glenn Robinson III,John Wall,Kyle Lowry,Patrick Beverley,Marvin Williams,Hassan Whiteside,Marcin Gortat,286.448,266.5,1,Dec122016,3,7
Jusuf Nurkic,Bradley Beal,Eric Gordon,Omri Casspi,Giannis Antetokounmpo,Kyle Lowry,Marvin Williams,Hassan Whiteside,276.758,265.75,28,Dec122016,5,7
Wesley Matthews,Nicolas Batum,Bojan Bogdanovic,Glenn Robinson III,Damian Lillard,Patrick Beverley,DeMarcus Cousins,Clint Capela,277.758,264.75,8,Dec122016,4,7
Lou Williams,Wesley Matthews,Bojan Bogdanovic,Glenn Robinson III,Goran Dragic,Darren Collison,DeMarcus Cousins,Marcin Gortat,276.638,264.0,49,Dec122016,5,7
John Henson,Paul George,Lou Williams,Giannis Antetokounmpo,Deron Williams,Emmanuel Mudiay,Marvin Williams,Nikola Jokic,276.458,263.25,43,Dec122016,6,7
John Henson,Bradley Beal,Rodney McGruder,Jeremy Lamb,Giannis Antetokounmpo,John Wall,Blake Griffin,Marvin Williams,276.448,263.0,45,Dec122016,6,7
Rodney McGruder,Kelly Oubre Jr.,Giannis Antetokounmpo,John Wall,Goran Dragic,Marvin Williams,Brook Lopez,Marcin Gortat,277.048,263.0,42,Dec122016,4,7
John Henson,Markieff Morris,Bradley Beal,Kelly Oubre Jr.,John Wall,Blake Griffin,Marvin Williams,Hassan Whiteside,276.538,262.0,15,Dec122016,6,7
Eric Gordon,Rodney McGruder,Rondae Hollis-Jefferson,Giannis Antetokounmpo,Matthew Dellavedova,Blake Griffin,Hassan Whiteside,Brook Lopez,276.538,261.75,16,Dec122016,6,7
Cody Zeller,Markieff Morris,Bradley Beal,Wesley Matthews,Nicolas Batum,John Wall,Patrick Patterson,Hassan Whiteside,277.638,261.5,11,Dec122016,4,7
John Henson,Markieff Morris,Eric Gordon,Glenn Robinson III,Giannis Antetokounmpo,John Wall,Deron Williams,Brook Lopez,281.008,260.5,13,Dec122016,3,7
Luol Deng,Rodney McGruder,Nicolas Batum,Glenn Robinson III,Giannis Antetokounmpo,Kyle Lowry,Blake Griffin,Marcin Gortat,279.468,260.5,29,Dec122016,3,7
Luol Deng,Lou Williams,Nicolas Batum,Damian Lillard,Patrick Beverley,Emmanuel Mudiay,Hassan Whiteside,Marcin Gortat,277.158,260.25,36,Dec122016,4,7
Bradley Beal,Bojan Bogdanovic,Giannis Antetokounmpo,Patrick Beverley,Emmanuel Mudiay,Blake Griffin,Marcin Gortat,Clint Capela,278.058,260.0,48,Dec122016,3,7
Paul George,Wesley Matthews,Eric Gordon,Bojan Bogdanovic,Glenn Robinson III,Giannis Antetokounmpo,Emmanuel Mudiay,Hassan Whiteside,279.108,259.5,31,Dec122016,3,7
Jusuf Nurkic,Markieff Morris,Eric Gordon,Sean Kilpatrick,John Wall,Goran Dragic,Patrick Beverley,Hassan Whiteside,278.378,259.5,43,Dec122016,3,7
Wesley Matthews,Kelly Oubre Jr.,Rondae Hollis-Jefferson,Giannis Antetokounmpo,John Wall,Kyle Lowry,Patrick Patterson,Brook Lopez,276.698,259.0,36,Dec122016,5,7
Markieff Morris,Omri Casspi,John Wall,Kyle Lowry,Matthew Dellavedova,Marvin Williams,DeMarcus Cousins,Clint Capela,276.908,259.0,4,Dec122016,5,7
Markieff Morris,DeMar DeRozan,Eric Gordon,Glenn Robinson III,Kyle Lowry,Tyler Johnson,Hassan Whiteside,Nikola Jokic,277.268,258.25,26,Dec122016,4,7
Wesley Matthews,Eric Gordon,Nicolas Batum,Kyle Lowry,Darren Collison,Trevor Booker,Hassan Whiteside,Clint Capela,276.698,258.25,34,Dec122016,5,7
John Henson,Paul George,Bradley Beal,Giannis Antetokounmpo,Deron Williams,Darren Collison,Marvin Williams,Marcin Gortat,276.438,258.0,48,Dec122016,6,7
Markieff Morris,Luol Deng,DeMar DeRozan,Bradley Beal,Kyle Lowry,Patrick Beverley,Hassan Whiteside,Clint Capela,276.668,257.0,39,Dec122016,5,7
John Henson,Luol Deng,Nicolas Batum,Bojan Bogdanovic,John Wall,Kyle Lowry,Deron Williams,Hassan Whiteside,284.268,256.5,3,Dec122016,3,7
Jusuf Nurkic,Wesley Matthews,Eric Gordon,Nicolas Batum,Trevor Ariza,John Wall,Kyle Lowry,Trevor Booker,276.658,256.5,41,Dec122016,5,7
Paul George,Bradley Beal,Wesley Matthews,Glenn Robinson III,Kyle Lowry,Deron Williams,Brook Lopez,Clint Capela,278.378,255.75,44,Dec122016,3,7
Rodney McGruder,Nicolas Batum,John Wall,Tyler Johnson,Malcolm Brogdon,Marvin Williams,DeMarcus Cousins,Brook Lopez,276.648,255.75,43,Dec122016,5,7
John Henson,Bradley Beal,Sean Kilpatrick,Nicolas Batum,Glenn Robinson III,Kyle Lowry,Marvin Williams,DeMarcus Cousins,278.538,255.5,41,Dec122016,3,7
John Henson,Markieff Morris,Lou Williams,Nicolas Batum,Dorian Finney-Smith,Giannis Antetokounmpo,Patrick Beverley,Hassan Whiteside,276.948,255.0,49,Dec122016,4,7
Eric Gordon,Bojan Bogdanovic,John Wall,Darren Collison,Blake Griffin,Malcolm Brogdon,Hassan Whiteside,Marcin Gortat,280.398,255.0,21,Dec122016,3,7
Sean Kilpatrick,Rodney McGruder,Bojan Bogdanovic,John Wall,Deron Williams,Patrick Beverley,DeMarcus Cousins,Marcin Gortat,282.918,254.5,5,Dec122016,3,7
DeMar DeRozan,Sean Kilpatrick,Bojan Bogdanovic,John Wall,Emmanuel Mudiay,Marvin Williams,Hassan Whiteside,Brook Lopez,280.508,254.5,19,Dec122016,3,7
John Henson,Rudy Gay,Bradley Beal,Wesley Matthews,Sean Kilpatrick,Rondae Hollis-Jefferson,John Wall,Hassan Whiteside,276.888,254.25,8,Dec122016,5,7
Luol Deng,Lou Williams,Wesley Matthews,Eric Gordon,Giannis Antetokounmpo,Kyle Lowry,Darren Collison,Clint Capela,276.508,253.75,24,Dec122016,6,7
Rudy Gay,Bradley Beal,Nicolas Batum,Derrick Williams,John Wall,Malcolm Brogdon,Hassan Whiteside,Nikola Jokic,276.668,253.5,40,Dec122016,5,7
Harrison Barnes,Bradley Beal,Rodney McGruder,Nicolas Batum,John Wall,Deron Williams,Tyler Johnson,Brook Lopez,276.808,253.5,21,Dec122016,5,7
DeMar DeRozan,Bojan Bogdanovic,Glenn Robinson III,Giannis Antetokounmpo,Malcolm Brogdon,Marvin Williams,DeMarcus Cousins,Marcin Gortat,277.208,253.0,30,Dec122016,4,7
Jusuf Nurkic,Rudy Gay,Bradley Beal,Wesley Matthews,Bojan Bogdanovic,John Wall,Goran Dragic,Marcin Gortat,277.188,252.75,33,Dec122016,4,7
Luol Deng,Lou Williams,Sean Kilpatrick,Kyle Lowry,Matthew Dellavedova,Blake Griffin,Ryan Anderson,Hassan Whiteside,276.478,252.75,35,Dec122016,6,7
Harrison Barnes,Eric Gordon,Rodney McGruder,Giannis Antetokounmpo,Patrick Beverley,Trevor Booker,Hassan Whiteside,Marcin Gortat,276.848,252.0,15,Dec122016,5,7
Lou Williams,Wesley Matthews,Bojan Bogdanovic,John Wall,Deron Williams,Blake Griffin,Marvin Williams,Clint Capela,280.468,252.0,20,Dec122016,3,7
John Henson,Paul George,Bojan Bogdanovic,John Wall,Darren Collison,Matthew Dellavedova,Marvin Williams,DeMarcus Cousins,277.918,251.75,2,Dec122016,4,7
Lou Williams,Nicolas Batum,Jeremy Lamb,Glenn Robinson III,John Wall,Ryan Anderson,Hassan Whiteside,Brook Lopez,279.358,251.25,30,Dec122016,3,7
John Henson,Sean Kilpatrick,Trevor Ariza,Kyle Lowry,Patrick Beverley,Darren Collison,Blake Griffin,Hassan Whiteside,276.538,251.0,18,Dec122016,6,7
Harrison Barnes,Bradley Beal,Bojan Bogdanovic,Glenn Robinson III,John Wall,Patrick Patterson,DeMarcus Cousins,Clint Capela,276.518,251.0,19,Dec122016,6,7
Paul George,DeMar DeRozan,Eric Gordon,John Wall,Patrick Beverley,Ryan Anderson,Patrick Patterson,Marcin Gortat,278.038,250.75,49,Dec122016,3,7
James Harden,John Henson,Bradley Beal,Bojan Bogdanovic,John Wall,Marvin Williams,Patrick Patterson,Marcin Gortat,277.578,250.75,16,Dec122016,4,7
Lou Williams,Glenn Robinson III,Giannis Antetokounmpo,Deron Williams,Malcolm Brogdon,Trevor Booker,Hassan Whiteside,Marcin Gortat,277.128,250.5,37,Dec122016,4,7
John Henson,Paul George,Sean Kilpatrick,Dorian Finney-Smith,Giannis Antetokounmpo,Kyle Lowry,Patrick Beverley,Marcin Gortat,277.808,250.25,6,Dec122016,4,7
Markieff Morris,Eric Gordon,Jeremy Lamb,John Wall,Kyle Lowry,Malcolm Brogdon,Marvin Williams,DeMarcus Cousins,276.488,250.25,32,Dec122016,6,7
Harrison Barnes,Eric Gordon,Sean Kilpatrick,Glenn Robinson III,Giannis Antetokounmpo,Damian Lillard,Patrick Beverley,Marcin Gortat,276.498,250.0,27,Dec122016,6,7
