Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Stephen Curry,Elfrid Payton,Alex Len,Tim Frazier,Monta Ellis,Joe Harris,Kevin Love,LeBron James,293.708,233.75,11,Oct282016,3,8
Jeff Teague,Jonas Valanciunas,Alex Len,Tim Frazier,Tyler Johnson,LeBron James,Paul George,Marcus Morris,284.558,232.75,48,Oct282016,5,8
Jonas Valanciunas,Tyson Chandler,Elfrid Payton,Monta Ellis,Luke Babbitt,James Harden,J.J. Barea,LeBron James,286.078,232.25,21,Oct282016,4,8
Deron Williams,Evan Fournier,Monta Ellis,Marvin Williams,Bojan Bogdanovic,Anthony Davis,Draymond Green,Michael Kidd-Gilchrist,284.778,230.75,31,Oct282016,5,8
Jeff Teague,Elfrid Payton,Justin Hamilton,Monta Ellis,Joe Johnson,James Harden,Draymond Green,Tobias Harris,291.138,229.25,21,Oct282016,3,8
Stephen Curry,Joe Harris,Luke Babbitt,Bojan Bogdanovic,Tyler Johnson,Anthony Davis,LeBron James,Michael Kidd-Gilchrist,287.728,229.0,45,Oct282016,3,8
Stephen Curry,Enes Kanter,Deron Williams,Tim Frazier,Sean Kilpatrick,LeBron James,Michael Kidd-Gilchrist,Marcus Morris,285.918,227.75,25,Oct282016,4,8
Stephen Curry,Jeff Teague,Jonas Valanciunas,Enes Kanter,Andre Roberson,J.J. Barea,LeBron James,Marcus Morris,284.598,226.75,45,Oct282016,5,8
Stephen Curry,Alex Len,Justin Hamilton,Deron Williams,Bojan Bogdanovic,J.J. Barea,Kevin Durant,LeBron James,294.818,224.75,6,Oct282016,3,8
Jeff Teague,Elfrid Payton,Ish Smith,Bojan Bogdanovic,Myles Turner,Kevin Love,LeBron James,Michael Kidd-Gilchrist,288.068,224.75,39,Oct282016,3,8
Jeff Teague,Tim Frazier,Evan Fournier,Joe Johnson,Myles Turner,Clint Capela,LeBron James,Marcus Morris,285.798,224.25,33,Oct282016,4,8
