Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
164133,Sam Dekker,SF/PF,HOU,3400,14.43,13.5,0,11.75,7.25,11.75,7.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164134,Michael Beasley,SF/PF,MIL,3300,13.25,7.0,0,13.25,10.0,14.25,9.35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164135,Dragan Bender,SF/PF,PHO,3300,15.47,2.0,0,3.25,3.25,6.25,8.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164136,Jerami Grant,SF/PF,OKC,3200,12.76,13.25,0,11.5,13.25,13.25,5.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164137,Jeff Green,SF/PF,ORL,3200,11.45,19.25,0,12.75,17.0,30.5,8.34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164138,Richard Jefferson,SF/PF,CLE,3100,9.93,31.0,0,9.75,11.25,11.25,4.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164139,Lance Thomas,SF/PF,NY,3000,7.97,17.25,0,9.25,9.25,9.75,5.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164140,Kristaps Porzingis,PF,NY,7100,0.0,0.0,0,36.75,32.75,32.75,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164141,Ryan Anderson,PF,HOU,5800,28.06,20.5,0,30.0,28.0,30.0,9.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164142,Trevor Booker,PF,BKN,5000,25.48,42.25,0,29.75,29.75,20.5,11.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
164143,Marvin Williams,PF,CHA,4300,20.38,13.0,0,28.25,28.25,17.25,10.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
164144,Frank Kaminsky,PF,CHA,3600,18.59,15.25,0,16.5,0.0,20.5,9.24,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
