Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk,Date
John Wall,Blake Griffin,Troy Williams,Jeff Teague,Myles Turner,Jonas Valanciunas,Darren Collison,Wesley Matthews,WAS,LAC,MEM,IND,IND,TOR,SAC,DAL,PG,PF,SF,PG,C,C,PG,SG,285.208,243.25,76,Dec142016,0,96.3,2016-12-14
John Wall,Jae Crowder,Andre Drummond,Brook Lopez,Patrick Beverley,Kelly Oubre Jr.,Andrew Harrison,Paul George,WAS,BOS,DET,BKN,HOU,WAS,MEM,IND,PG,SF,C,C,PG,SG,PG,SF,287.558,241.0,46,Dec142016,0,110.11,2016-12-14
Blake Griffin,Troy Williams,Deron Williams,Rudy Gobert,Myles Turner,J.R. Smith,Austin Rivers,Russell Westbrook,LAC,MEM,DAL,UTA,IND,CLE,LAC,OKC,PF,SF,PG,C,C,SG,PG,PG,286.868,240.75,54,Dec142016,0,91.87,2016-12-14
Blake Griffin,Kyle Lowry,Marc Gasol,Lou Williams,Wesley Matthews,Sean Kilpatrick,J.R. Smith,Bojan Bogdanovic,LAC,TOR,MEM,LAL,DAL,BKN,CLE,BKN,PF,PG,C,SG,SG,SG,SG,SG,288.968,239.5,32,Dec142016,0,86.73,2016-12-14
Trevor Booker,Kyle Lowry,David Lee,Gordon Hayward,Marc Gasol,Brook Lopez,J.R. Smith,Marcus Smart,BKN,TOR,SA,UTA,MEM,BKN,CLE,BOS,PF,PG,PF,SF,C,C,SG,SG,286.948,239.0,53,Dec142016,0,93.88,2016-12-14
Blake Griffin,David Lee,Dorian Finney-Smith,Andre Drummond,Pau Gasol,Rodney Hood,J.R. Smith,Russell Westbrook,LAC,SA,DAL,DET,SA,UTA,CLE,OKC,PF,PF,SF,C,C,SG,SG,PG,285.098,238.25,82,Dec142016,0,91.6,2016-12-14
Blake Griffin,Kyle Lowry,Dorian Finney-Smith,Rudy Gobert,Jonas Valanciunas,Darren Collison,Lou Williams,Sergio Rodriguez,LAC,TOR,DAL,UTA,TOR,SAC,LAL,PHI,PF,PG,SF,C,C,PG,SG,PG,285.378,237.75,73,Dec142016,0,87.1,2016-12-14
John Wall,Blake Griffin,David Lee,Goran Dragic,Rudy Gobert,Brook Lopez,Glenn Robinson III,Andrew Harrison,WAS,LAC,SA,MIA,UTA,BKN,IND,MEM,PG,PF,PF,PG,C,C,SG,PG,293.908,236.75,7,Dec142016,0,98.42,2016-12-14
John Wall,Blake Griffin,Dorian Finney-Smith,Jeff Teague,Deron Williams,Brook Lopez,Lou Williams,J.R. Smith,WAS,LAC,DAL,IND,DAL,BKN,LAL,CLE,PG,PF,SF,PG,PG,C,SG,SG,292.218,236.75,14,Dec142016,0,98.9,2016-12-14
John Wall,David Lee,Andre Drummond,Marc Gasol,Lou Williams,J.R. Smith,Glenn Robinson III,Paul George,WAS,SA,DET,MEM,LAL,CLE,IND,IND,PG,PF,C,C,SG,SG,SG,SF,297.548,236.5,3,Dec142016,0,100.9,2016-12-14
John Wall,Blake Griffin,Joe Harris,Andre Drummond,Marc Gasol,Tyler Johnson,Jamal Crawford,T.J. McConnell,WAS,LAC,BKN,DET,MEM,MIA,LAC,PHI,PG,PF,SF,C,C,PG,SG,PG,284.758,235.0,91,Dec142016,0,89.73,2016-12-14
Goran Dragic,Dorian Finney-Smith,Marc Gasol,Brook Lopez,Darren Collison,Lou Williams,Bojan Bogdanovic,Paul George,MIA,DAL,MEM,BKN,SAC,LAL,BKN,IND,PG,SF,C,C,PG,SG,SG,SF,284.708,233.75,94,Dec142016,0,104.05,2016-12-14
Blake Griffin,Kyle Lowry,David Lee,Goran Dragic,Joel Embiid,J.R. Smith,Kelly Oubre Jr.,Paul George,LAC,TOR,SA,MIA,PHI,CLE,WAS,IND,PF,PG,PF,PG,C,SG,SG,SF,290.208,233.75,24,Dec142016,0,103.16,2016-12-14
David Lee,Dorian Finney-Smith,Marc Gasol,Rudy Gobert,Kelly Oubre Jr.,Andrew Harrison,Russell Westbrook,Paul George,SA,DAL,MEM,UTA,WAS,MEM,OKC,IND,PF,SF,C,C,SG,PG,PG,SF,288.928,233.5,33,Dec142016,0,92.35,2016-12-14
David Lee,Goran Dragic,Kawhi Leonard,Andre Drummond,Marc Gasol,Darren Collison,Wesley Matthews,Kelly Oubre Jr.,SA,MIA,SA,DET,MEM,SAC,DAL,WAS,PF,PG,SF,C,C,PG,SG,SG,287.348,231.0,48,Dec142016,0,94.06,2016-12-14
Blake Griffin,Goran Dragic,Dorian Finney-Smith,Deron Williams,Andre Drummond,Marc Gasol,Patrick Beverley,Garrett Temple,LAC,MIA,DAL,DAL,DET,MEM,HOU,SAC,PF,PG,SF,PG,C,C,PG,PG,288.368,229.0,37,Dec142016,0,105.0,2016-12-14
John Wall,Kyle Lowry,Dorian Finney-Smith,Andre Drummond,Al Horford,Patrick Beverley,Darren Collison,Glenn Robinson III,WAS,TOR,DAL,DET,BOS,HOU,SAC,IND,PG,PG,SF,C,C,PG,PG,SG,286.808,226.5,55,Dec142016,0,103.38,2016-12-14
John Wall,Joel Embiid,Rudy Gobert,Lou Williams,J.R. Smith,Terrence Ross,Andrew Harrison,Chris Paul,WAS,PHI,UTA,LAL,CLE,TOR,MEM,LAC,PG,C,C,SG,SG,SG,PG,PG,285.128,223.5,80,Dec142016,0,93.83,2016-12-14
Blake Griffin,Gordon Hayward,Marc Gasol,Joel Embiid,Lou Williams,Kelly Oubre Jr.,Andrew Harrison,Garrett Temple,LAC,UTA,MEM,PHI,LAL,WAS,MEM,SAC,PF,SF,C,C,SG,SG,PG,PG,284.818,215.25,89,Dec142016,0,103.36,2016-12-14
Trevor Booker,Jeff Teague,Joel Embiid,Rudy Gobert,Jamal Crawford,J.R. Smith,Kelly Oubre Jr.,Russell Westbrook,BKN,IND,PHI,UTA,LAC,CLE,WAS,OKC,PF,PG,C,C,SG,SG,SG,PG,284.708,214.5,95,Dec142016,0,90.05,2016-12-14
Blake Griffin,Kyle Lowry,Jae Crowder,Andre Drummond,Brook Lopez,Darren Collison,J.R. Smith,Omri Casspi,LAC,TOR,BOS,DET,BKN,SAC,CLE,SAC,PF,PG,SF,C,C,PG,SG,SF,288.018,213.5,40,Dec142016,0,95.08,2016-12-14
Blake Griffin,Goran Dragic,Gordon Hayward,Marc Gasol,Myles Turner,J.R. Smith,Glenn Robinson III,Omri Casspi,LAC,MIA,UTA,MEM,IND,CLE,IND,SAC,PF,PG,SF,C,C,SG,SG,SF,287.888,207.0,41,Dec142016,0,104.79,2016-12-14
John Wall,Blake Griffin,Dorian Finney-Smith,Joel Embiid,Darren Collison,Jamal Crawford,Andrew Harrison,Paul George,WAS,LAC,DAL,PHI,SAC,LAC,MEM,IND,PG,PF,SF,C,PG,SG,PG,SF,287.708,206.75,45,Dec142016,0,105.64,2016-12-14
Goran Dragic,Deron Williams,Andre Drummond,Rudy Gobert,Darren Collison,J.R. Smith,Glenn Robinson III,Chris Paul,MIA,DAL,DET,UTA,SAC,CLE,IND,LAC,PG,PG,C,C,PG,SG,SG,PG,284.828,205.75,88,Dec142016,0,98.59,2016-12-14
Jrue Holiday,Pau Gasol,Robin Lopez,Kevin Durant,Tony Snell,Kawhi Leonard,Damian Lillard,Gary Harris,NO,SA,CHI,GS,MIL,SA,POR,DEN,PG,C,C,SF,SG,SF,PG,SG,269.828,304.25,85,Dec152016,0,83.73,2016-12-15
Jrue Holiday,Myles Turner,Pau Gasol,Brandon Jennings,Jabari Parker,Evan Turner,Damian Lillard,Eric Bledsoe,NO,IND,SA,NY,MIL,POR,POR,PHO,PG,C,C,PG,SF,SG,PG,PG,280.318,300.25,4,Dec152016,0,90.12,2016-12-15
Jeff Teague,Mason Plumlee,Brandon Jennings,LaMarcus Aldridge,Langston Galloway,Devin Booker,Giannis Antetokounmpo,Damian Lillard,IND,POR,NY,SA,NO,PHO,MIL,POR,PG,C,PG,PF,PG,SG,PG,PG,271.048,299.0,68,Dec152016,0,84.01,2016-12-15
Jeff Teague,Pau Gasol,John Henson,Tony Parker,Kevin Durant,Devin Booker,Damian Lillard,Dwyane Wade,IND,SA,MIL,SA,GS,PHO,POR,CHI,PG,C,C,PG,SF,SG,PG,SG,279.408,295.5,9,Dec152016,0,89.79,2016-12-15
Anthony Davis,Myles Turner,John Henson,Jameer Nelson,Langston Galloway,Devin Booker,Damian Lillard,Klay Thompson,NO,IND,MIL,DEN,NO,PHO,POR,GS,PF,C,C,PG,PG,SG,PG,SG,276.748,293.75,19,Dec152016,0,98.93,2016-12-15
Draymond Green,Jrue Holiday,Matthew Dellavedova,Myles Turner,Taj Gibson,Devin Booker,Damian Lillard,Dwyane Wade,GS,NO,MIL,IND,CHI,PHO,POR,CHI,PF,PG,PG,C,PF,SG,PG,SG,269.638,293.75,90,Dec152016,0,90.89,2016-12-15
Anthony Davis,Pau Gasol,Evan Turner,Glenn Robinson III,Damian Lillard,Jared Dudley,Stephen Curry,Gary Harris,NO,SA,POR,IND,POR,PHO,GS,DEN,PF,C,SG,SG,PG,PF,PG,SG,271.498,291.25,60,Dec152016,0,91.42,2016-12-15
Anthony Davis,C.J. McCollum,Pau Gasol,John Henson,Brandon Jennings,Taj Gibson,C.J. Miles,Damian Lillard,NO,POR,SA,MIL,NY,CHI,IND,POR,PF,PG,C,C,PG,PF,SF,PG,275.338,286.5,29,Dec152016,0,94.7,2016-12-15
Jrue Holiday,Nikola Jokic,Mason Plumlee,Brandon Jennings,Kevin Durant,Taj Gibson,Glenn Robinson III,Damian Lillard,NO,DEN,POR,NY,GS,CHI,IND,POR,PG,C,C,PG,SF,PF,SG,PG,277.148,286.25,14,Dec152016,0,87.13,2016-12-15
Malcolm Brogdon,Myles Turner,Pau Gasol,Lance Thomas,Jimmy Butler,Devin Booker,Giannis Antetokounmpo,Damian Lillard,MIL,IND,SA,NY,CHI,PHO,MIL,POR,PG,C,C,SF,SG,SG,PG,PG,269.418,284.0,93,Dec152016,0,81.8,2016-12-15
Jrue Holiday,Jeff Teague,Pau Gasol,Greg Monroe,Brandon Jennings,Kevin Durant,Danilo Gallinari,Kristaps Porzingis,NO,IND,SA,MIL,NY,GS,DEN,NY,PG,PG,C,C,PG,SF,SF,PF,269.288,278.0,97,Dec152016,0,89.58,2016-12-15
