Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Anthony Davis,Buddy Hield,Jeff Teague,Justin Holiday,Myles Turner,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,IND,DEN,MIL,DEN,PF/C,SG,PG,PG/SG,C,SF,PG,SG,11500,3200,6400,3000,6000,5300,9500,4000,243.58,356.0,12,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Myles Turner,Danilo Gallinari,Damian Lillard,Terrence Jones,Gary Harris,NO,IND,NY,IND,DEN,POR,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6400,3000,6000,5300,8800,4300,4000,252.28,356.0,13,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Kenneth Faried,Jabari Parker,Danilo Gallinari,Damian Lillard,Gary Harris,NO,IND,NY,DEN,MIL,DEN,POR,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6400,3000,4000,6300,5300,8800,4000,249.16,355.75,14,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Guillermo Hernangomez,Jabari Parker,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,IND,NY,NY,MIL,DEN,MIL,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6400,3000,3000,6300,5300,9500,4000,237.98,355.75,15,Dec152016
Anthony Davis,Justin Holiday,Dewayne Dedmon,Danilo Gallinari,Giannis Antetokounmpo,Damian Lillard,Terrence Jones,Gary Harris,NO,NY,SA,DEN,MIL,POR,NO,DEN,PF/C,PG/SG,C,SF,PG,PG,PF,SG,11500,3000,3100,5300,9500,8800,4300,4000,245.48,355.75,16,Dec152016
Anthony Davis,Jrue Holiday,Justin Holiday,Myles Turner,Danilo Gallinari,Damian Lillard,Terrence Jones,Gary Harris,NO,NO,NY,IND,DEN,POR,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6700,3000,6000,5300,8800,4300,4000,255.33,355.75,17,Dec152016
Anthony Davis,Jrue Holiday,Buddy Hield,Justin Holiday,Myles Turner,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,NO,NY,IND,DEN,MIL,DEN,PF/C,PG,SG,PG/SG,C,SF,PG,SG,11500,6700,3200,3000,6000,5300,9500,4000,246.63,355.75,18,Dec152016
Jeff Teague,Justin Holiday,Mason Plumlee,Jabari Parker,Devin Booker,Giannis Antetokounmpo,Damian Lillard,Gary Harris,IND,NY,POR,MIL,PHO,MIL,POR,DEN,PG,PG/SG,C,SF/PF,SG/SF,PG,PG,SG,6400,3000,5600,6300,5200,9500,8800,4000,255.84,355.75,19,Dec152016
Anthony Davis,Jrue Holiday,Justin Holiday,Mason Plumlee,Danilo Gallinari,Giannis Antetokounmpo,Terrence Jones,Gary Harris,NO,NO,NY,POR,DEN,MIL,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6700,3000,5600,5300,9500,4300,4000,250.28,355.75,20,Dec152016
Anthony Davis,Jrue Holiday,Justin Holiday,Guillermo Hernangomez,Jabari Parker,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,NY,NY,MIL,DEN,MIL,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6700,3000,3000,6300,5300,9500,4000,241.03,355.5,21,Dec152016
