Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Rodney McGruder,Robin Lopez,Marvin Williams,Harrison Barnes,Kevin Durant,Brook Lopez,Chris Paul,Dwyane Wade,MIA,CHI,CHA,DAL,GS,BKN,LAC,CHI,SG,C,PF,SF/PF,SF/PF,C,PG,SG,3900,4600,4300,6200,9300,6400,8800,6500,280.66,249.5,26,Dec102016
Jimmy Butler,Evan Turner,Marvin Williams,Trevor Ariza,Hassan Whiteside,Rudy Gobert,Patrick Beverley,Bradley Beal,CHI,POR,CHA,HOU,MIA,UTA,HOU,WAS,SG/SF,SG/SF,PF,SF/PF,C,C,PG,SG,8200,4800,4300,5400,8600,7000,4800,6900,280.06,261.75,27,Dec102016
Jimmy Butler,Bojan Bogdanovic,Robin Lopez,Marvin Williams,Kevin Durant,Kevin Love,Shelvin Mack,Bradley Beal,CHI,BKN,CHI,CHA,GS,CLE,UTA,WAS,SG/SF,SG/SF,C,PF,SF/PF,PF/C,PG,SG,8200,4000,4600,4300,9300,7800,4900,6900,278.43,245.75,28,Dec102016
Jimmy Butler,Bojan Bogdanovic,Pau Gasol,Marvin Williams,Jabari Parker,DeMarcus Cousins,Patrick Beverley,Dwyane Wade,CHI,BKN,SA,CHA,MIL,SAC,HOU,CHI,SG/SF,SG/SF,C,PF,SF/PF,PF/C,PG,SG,8200,4000,5400,4300,6400,10300,4800,6500,277.1,252.0,29,Dec102016
Evan Turner,Robin Lopez,JaMychal Green,Harrison Barnes,DeMarcus Cousins,Patrick Beverley,Bradley Beal,Dwyane Wade,POR,CHI,MEM,DAL,SAC,HOU,WAS,CHI,SG/SF,C,PF,SF/PF,PF/C,PG,SG,SG,4800,4600,5900,6200,10300,4800,6900,6500,277.07,239.25,30,Dec102016
Jimmy Butler,Greg Monroe,JaMychal Green,Marvin Williams,Rudy Gobert,Stephen Curry,Dwyane Wade,Evan Fournier,CHI,MIL,MEM,CHA,UTA,GS,CHI,ORL,SG/SF,C,PF,PF,C,PG,SG,SG,8200,4400,5900,4300,7000,8400,6500,5300,276.95,285.5,31,Dec102016
Jimmy Butler,Rodney McGruder,Robin Lopez,Ryan Anderson,Harrison Barnes,Rudy Gobert,Stephen Curry,Bradley Beal,CHI,MIA,CHI,HOU,DAL,UTA,GS,WAS,SG/SF,SG,C,PF,SF/PF,C,PG,SG,8200,3900,4600,4800,6200,7000,8400,6900,276.83,230.25,32,Dec102016
Jimmy Butler,Robin Lopez,JaMychal Green,Trevor Ariza,Jabari Parker,Rudy Gobert,Rodney Stuckey,John Wall,CHI,CHI,MEM,HOU,MIL,UTA,IND,WAS,SG/SF,C,PF,SF/PF,SF/PF,C,PG/SG,PG,8200,4600,5900,5400,6400,7000,3500,9000,275.46,259.25,33,Dec102016
Jimmy Butler,Jamal Crawford,Greg Monroe,Trevor Ariza,Harrison Barnes,DeMarcus Cousins,Patty Mills,Dwyane Wade,CHI,LAC,MIL,HOU,DAL,SAC,SA,CHI,SG/SF,SG,C,SF/PF,SF/PF,PF/C,PG,SG,8200,4200,4400,5400,6200,10300,4800,6500,275.01,266.0,34,Dec102016
Evan Turner,Rodney McGruder,Pau Gasol,JaMychal Green,Trevor Ariza,John Wall,DeMarcus Cousins,Evan Fournier,POR,MIA,SA,MEM,HOU,WAS,SAC,ORL,SG/SF,SG,C,PF,SF/PF,PG,PF/C,SG,4800,3900,5400,5900,5400,9000,10300,5300,273.88,242.75,35,Dec102016
