Name,Salary,Projected,Scored,Override
Donatas Motiejunas,0.0,0.0,0.0,0.0
Dorian Finney-Smith,20.1940936523,5.18948028937,9.23882783238,0.0
Doug McDermott,147.256229624,7.47297845005,9.939355117,0.0
Dragan Bender,0.0,2.90118073078,5.61862791007,0.0
Draymond Green,237.254278697,8.23995384493,11.6644134325,0.0
Dwight Howard,285.714285714,8.19209241418,13.912789594,0.0
Dwight Powell,461.707438607,5.57227476883,7.00872524857,0.0
Dwyane Wade,206.112274024,10.0074146625,13.774104436,0.0
E'Twaun Moore,257.027913691,7.58383069988,8.99088800504,0.0
Ed Davis,281.505387193,4.55848639168,7.67296478159,0.0
Elfrid Payton,548.850437199,2.5896889463,12.3983993092,0.0
Elliot Williams,0.0,0.0,0.0,0.0
Emmanuel Mudiay,466.231089237,7.45704604206,13.0029431519,0.0
Enes Kanter,517.700863817,2.92367736963,11.0095411152,0.0
Eric Bledsoe,383.453693024,5.38831137079,12.0901629772,0.0
Eric Gordon,272.07503137,2.5283571531,8.56410950603,0.0
Ersan Ilyasova,488.228785447,6.38650521149,12.688352364,0.0
Evan Fournier,330.751691983,2.2035545123,9.21393953473,0.0
Evan Turner,305.550790891,3.31716346374,7.91948256221,0.0
Festus Ezeli,57.1877631279,0.0,0.0,0.0
Frank Kaminsky,457.963549035,7.77630729216,10.7654777044,0.0
Fred VanVleet,0.0,1.16011982751,2.08206521689,0.0
Garrett Temple,106.44534863,2.09748942251,7.35107933211,0.0
Gary Harris,353.96298665,7.05042993623,8.30973120221,0.0
George Hill,448.780660939,16.4306339376,17.7532520735,0.0
Georges Niang,0.0,1.4178434904,2.48657620524,0.0
Georgios Papagiannis,0.0,0.0,0.544358825236,0.0
Gerald Green,0.0,3.34846254547,5.76919206888,0.0
Gerald Henderson,104.900341432,4.54492287265,9.14127218405,0.0
Giannis Antetokounmpo,466.542426526,4.28474070377,11.1939532504,0.0
Glenn Robinson III,776.659513558,6.92251286214,10.5418311541,0.0
Goran Dragic,485.310756745,14.849257215,17.9411282152,0.0
Gordon Hayward,568.506816142,17.8310190811,19.1916329558,0.0
Gorgui Dieng,381.393488287,3.80523433356,9.41102416778,0.0
Grant Jerrett,0.0,0.0,0.0,0.0
