Name,Team,Position,Dropped,Added,Total,Date
Ty Lawson,SAC , PG,1384,59,1446,2016-11-12
Sergio Rodriguez,PHI , PG,1155,278,1445,2016-11-12
Bismack Biyombo,ORL ," PF,C",765,664,1440,2016-11-12
Matt Barnes,SAC ," SG,SF",1340,87,1429,2016-11-12
Patty Mills,SA , PG,1024,378,1408,2016-11-12
Ish Smith,DET , PG,1224,163,1400,2016-11-12
Luol Deng,LAL ," SF,PF",1206,155,1366,2016-11-12
Courtney Lee,NY ," SG,SF",1248,91,1346,2016-11-12
Larry Nance Jr.,LAL , PF,326,958,1286,2016-11-12
Ersan Ilyasova,PHI ," SF,PF",470,810,1283,2016-11-12
Andre Roberson,OKC ," SG,SF",122,1156,1279,2016-11-12
Marcus Smart,BOS , PG,402,855,1264,2016-11-12
James Ennis III,MEM ," SG,SF",754,467,1223,2016-11-12
Lucas Nogueira,TOR ," PF,C",303,9781,10086,2016-11-13
Kelly Olynyk,BOS , C,207,5582,5792,2016-11-13
Rondae Hollis-Jefferson,BKN ," SG,SF",211,4512,4727,2016-11-13
Jared Dudley,PHO ," SG,SF,PF",255,3631,3886,2016-11-13
Nick Young,LAL ," SG,SF",1001,2266,3276,2016-11-13
Trevor Booker,BKN , PF,152,2716,2880,2016-11-13
Al-Farouq Aminu,POR ," SF,PF",2755,100,2862,2016-11-13
Tyus Jones,MIN , PG,2629,184,2815,2016-11-13
Cody Zeller,CHA ," PF,C",1972,814,2793,2016-11-13
Maurice Harkless,POR , SF,775,1999,2782,2016-11-13
Sean Kilpatrick,BKN ," PG,SG",313,2440,2760,2016-11-13
Kris Dunn,MIN , PG,2634,93,2742,2016-11-13
Wilson Chandler,DEN ," SG,SF,PF",573,1949,2527,2016-11-13
Ricky Rubio,MIN , PG,178,2328,2521,2016-11-13
Alex Len,PHO ," PF,C",791,1686,2487,2016-11-13
Allen Crabbe,POR ," PG,SG",1080,1388,2478,2016-11-13
Tyson Chandler,PHO , C,1896,447,2354,2016-11-13
J.J. Barea,DAL ," PG,SG",339,1975,2320,2016-11-13
Terrence Jones,NO ," SF,PF",2138,88,2229,2016-11-13
Lou Williams,LAL ," PG,SG",263,1899,2177,2016-11-13
Seth Curry,DAL ," PG,SG",334,1839,2176,2016-11-13
C.J. Miles,IND ," SG,SF",1028,1044,2090,2016-11-13
Jon Leuer,DET ," PF,C",645,1322,1969,2016-11-13
Domantas Sabonis,OKC , PF,996,964,1961,2016-11-13
Tyler Johnson,MIA ," PG,SG",1473,420,1913,2016-11-13
Matthew Dellavedova,MIL ," PG,SG",1725,156,1893,2016-11-13
Josh Richardson,MIA ," SG,SF",234,1567,1808,2016-11-13
Bojan Bogdanovic,BKN ," SG,SF",1575,209,1793,2016-11-13
DeMarre Carroll,TOR ," SF,PF",1590,144,1743,2016-11-13
Joakim Noah,NY ," PF,C",284,1404,1696,2016-11-13
Danny Green,SA ," SG,SF",1551,127,1689,2016-11-13
Roy Hibbert,CHA , C,1168,509,1680,2016-11-13
Will Barton,DEN ," SG,SF",829,835,1671,2016-11-13
Andre Roberson,OKC ," SG,SF",203,1401,1604,2016-11-13
Brandon Knight,PHO ," PG,SG",1269,281,1567,2016-11-13
Justin Hamilton,BKN ," PF,C",463,1054,1519,2016-11-13
E'Twaun Moore,NO ," PG,SG",880,595,1478,2016-11-13
Deron Williams,DAL , PG,1314,138,1465,2016-11-13
Joe Johnson,UTA ," SG,SF",1047,403,1460,2016-11-13
Larry Nance Jr.,LAL , PF,741,690,1437,2016-11-13
JaMychal Green,MEM , PF,1360,51,1417,2016-11-13
Luol Deng,LAL ," SF,PF",1236,164,1404,2016-11-13
Kenneth Faried,DEN ," PF,C",386,982,1385,2016-11-13
Vince Carter,MEM ," SG,SF",69,1308,1378,2016-11-13
Patty Mills,SA , PG,919,438,1361,2016-11-13
Michael Kidd-Gilchrist,CHA , SF,758,579,1351,2016-11-13
Sergio Rodriguez,PHI , PG,912,412,1335,2016-11-13
Jusuf Nurkic,DEN , C,1253,45,1323,2016-11-13
Thabo Sefolosha,ATL ," SG,SF",668,639,1311,2016-11-13
Bismack Biyombo,ORL ," PF,C",779,505,1297,2016-11-13
Lucas Nogueira,TOR ," PF,C",249,11035,11287,2016-11-14
Maurice Harkless,POR , SF,459,6360,6827,2016-11-14
Kelly Olynyk,BOS , C,1105,4265,5371,2016-11-14
Jared Dudley,PHO ," SG,SF,PF",662,4238,4900,2016-11-14
John Henson,MIL ," PF,C",124,4490,4614,2016-11-14
Andre Roberson,OKC ," SG,SF",795,3029,3824,2016-11-14
Channing Frye,CLE ," PF,C",269,3233,3505,2016-11-14
Sean Kilpatrick,BKN ," PG,SG",449,2986,3442,2016-11-14
Wilson Chandler,DEN ," SG,SF,PF",493,2768,3269,2016-11-14
Domantas Sabonis,OKC , PF,3058,145,3204,2016-11-14
Rondae Hollis-Jefferson,BKN ," SG,SF",370,2767,3144,2016-11-14
Al-Farouq Aminu,POR ," SF,PF",2635,152,2795,2016-11-14
Cody Zeller,CHA ," PF,C",2376,412,2792,2016-11-14
Nick Young,LAL ," SG,SF",1586,1191,2790,2016-11-14
Tyus Jones,MIN , PG,2639,68,2711,2016-11-14
Trevor Booker,BKN , PF,198,2477,2686,2016-11-14
Lou Williams,LAL ," PG,SG",282,2376,2678,2016-11-14
Kris Dunn,MIN , PG,2549,74,2628,2016-11-14
Seth Curry,DAL ," PG,SG",669,1933,2606,2016-11-14
J.J. Barea,DAL ," PG,SG",608,1966,2585,2016-11-14
Danny Green,SA ," SG,SF",2249,164,2421,2016-11-14
Tyson Chandler,PHO , C,1846,558,2418,2016-11-14
Michael Kidd-Gilchrist,CHA , SF,442,1962,2414,2016-11-14
Thabo Sefolosha,ATL ," SG,SF",535,1860,2396,2016-11-14
Nemanja Bjelica,MIN , PF,94,2286,2380,2016-11-14
Alex Len,PHO ," PF,C",1962,407,2379,2016-11-14
Sergio Rodriguez,PHI , PG,1787,568,2370,2016-11-14
C.J. Miles,IND ," SG,SF",798,1504,2319,2016-11-14
Ricky Rubio,MIN , PG,169,2116,2296,2016-11-14
Allen Crabbe,POR ," PG,SG",1746,541,2288,2016-11-14
E'Twaun Moore,NO ," PG,SG",1759,487,2253,2016-11-14
Justin Hamilton,BKN ," PF,C",513,1731,2246,2016-11-14
Kenneth Faried,DEN ," PF,C",249,1954,2220,2016-11-14
Jon Leuer,DET ," PF,C",755,1440,2201,2016-11-14
Jusuf Nurkic,DEN , C,2123,41,2186,2016-11-14
Joe Johnson,UTA ," SG,SF",1759,399,2168,2016-11-14
Joakim Noah,NY ," PF,C",885,1267,2167,2016-11-14
Vince Carter,MEM ," SG,SF",199,1793,1992,2016-11-14
Tyler Johnson,MIA ," PG,SG",1246,729,1988,2016-11-14
Brandon Knight,PHO ," PG,SG",1678,228,1933,2016-11-14
Josh Richardson,MIA ," SG,SF",392,1528,1927,2016-11-14
Iman Shumpert,CLE ," SG,SF",348,1557,1905,2016-11-14
Will Barton,DEN ," SG,SF",1055,832,1896,2016-11-14
Terrence Jones,NO ," SF,PF",1485,354,1844,2016-11-14
DeMarre Carroll,TOR ," SF,PF",1454,347,1813,2016-11-14
Bojan Bogdanovic,BKN ," SG,SF",1325,462,1793,2016-11-14
Emmanuel Mudiay,DEN , PG,1490,267,1789,2016-11-14
Nikola Jokic,DEN ," PF,C",1585,125,1745,2016-11-14
Gary Harris,DEN ," SG,SF",1673,57,1739,2016-11-14
Matthew Dellavedova,MIL ," PG,SG",1512,199,1725,2016-11-14
John Henson,MIL ," PF,C",257,9247,9504,2016-11-15
Lucas Nogueira,TOR ," PF,C",3667,4307,7975,2016-11-15
Vince Carter,MEM ," SG,SF",179,7224,7404,2016-11-15
Channing Frye,CLE ," PF,C",274,4743,5017,2016-11-15
Gary Harris,DEN ," SG,SF",4493,49,4545,2016-11-15
Maurice Harkless,POR , SF,766,2632,3400,2016-11-15
C.J. Miles,IND ," SG,SF",224,3159,3391,2016-11-15
Will Barton,DEN ," SG,SF",555,2660,3219,2016-11-15
Patrick Beverley,HOU ," PG,SG",187,2869,3057,2016-11-15
Jared Dudley,PHO ," SG,SF,PF",314,2521,2835,2016-11-15
Danny Green,SA ," SG,SF",2714,61,2785,2016-11-15
Trey Lyles,UTA , PF,213,2542,2756,2016-11-15
Sean Kilpatrick,BKN ," PG,SG",1623,1110,2746,2016-11-15
Rondae Hollis-Jefferson,BKN ," SG,SF",1768,861,2635,2016-11-15
Sergio Rodriguez,PHI , PG,2301,295,2609,2016-11-15
Nick Young,LAL ," SG,SF",1679,801,2496,2016-11-15
Jon Leuer,DET ," PF,C",523,1833,2365,2016-11-15
Seth Curry,DAL ," PG,SG",700,1613,2314,2016-11-15
Mike Muscala,ATL ," PF,C",422,1874,2298,2016-11-15
Kelly Olynyk,BOS , C,1709,523,2235,2016-11-15
Tyreke Evans,NO ," PG,SG,SF",192,2033,2227,2016-11-15
Thabo Sefolosha,ATL ," SG,SF",738,1348,2091,2016-11-15
Michael Kidd-Gilchrist,CHA , SF,776,1304,2088,2016-11-15
J.J. Barea,DAL ," PG,SG",355,1693,2066,2016-11-15
Joe Johnson,UTA ," SG,SF",1894,161,2058,2016-11-15
E'Twaun Moore,NO ," PG,SG",1873,149,2028,2016-11-15
Wilson Chandler,DEN ," SG,SF,PF",362,1526,1889,2016-11-15
Justin Hamilton,BKN ," PF,C",1639,203,1844,2016-11-15
Domantas Sabonis,OKC , PF,1794,34,1832,2016-11-15
DeMarre Carroll,TOR ," SF,PF",1488,309,1803,2016-11-15
Josh Richardson,MIA ," SG,SF",719,1070,1794,2016-11-15
Tyson Chandler,PHO , C,673,1070,1759,2016-11-15
Dion Waiters,MIA ," SG,SF",292,1454,1749,2016-11-15
Lou Williams,LAL ," PG,SG",509,1197,1719,2016-11-15
Justise Winslow,MIA ," SF,PF",1480,216,1707,2016-11-15
Tyler Johnson,MIA ," PG,SG",956,735,1706,2016-11-15
Al-Farouq Aminu,POR ," SF,PF",1542,159,1703,2016-11-15
Kris Dunn,MIN , PG,1588,85,1679,2016-11-15
Nemanja Bjelica,MIN , PF,815,818,1633,2016-11-15
Cody Zeller,CHA ," PF,C",1103,487,1592,2016-11-15
Marcus Smart,BOS , PG,197,1377,1582,2016-11-15
Bojan Bogdanovic,BKN ," SG,SF",756,786,1550,2016-11-15
Joakim Noah,NY ," PF,C",1187,345,1546,2016-11-15
Tim Frazier,NO ," PG,SG",1210,302,1537,2016-11-15
K. Korver,CLE ," SG,SF",820,698,1535,2016-11-15
James Ennis III,MEM ," SG,SF",1452,66,1518,2016-11-15
Clint Capela,HOU ," PF,C",149,1303,1465,2016-11-15
Trevor Booker,BKN , PF,644,808,1461,2016-11-15
Jamal Crawford,LAC ," SG,SF",291,1111,1405,2016-11-15
Andre Roberson,OKC ," SG,SF",1114,267,1384,2016-11-15
Lucas Nogueira,TOR ," PF,C",9653,300,9956,2016-11-16
Patrick Beverley,HOU ," PG,SG",190,7323,7515,2016-11-16
Channing Frye,CLE ," PF,C",777,5847,6624,2016-11-16
J.J. Barea,DAL ," PG,SG",3998,1018,5031,2016-11-16
Mike Muscala,ATL ," PF,C",346,4401,4753,2016-11-16
Sean Kilpatrick,BKN ," PG,SG",4183,202,4393,2016-11-16
Wilson Chandler,DEN ," SG,SF,PF",341,3654,4000,2016-11-16
Terrence Jones,NO ," SF,PF",238,3585,3826,2016-11-16
John Henson,MIL ," PF,C",634,3002,3637,2016-11-16
Nick Young,LAL ," SG,SF",3068,469,3549,2016-11-16
Vince Carter,MEM ," SG,SF",538,2709,3247,2016-11-16
Maurice Harkless,POR , SF,1184,1947,3138,2016-11-16
Seth Curry,DAL ," PG,SG",1040,2058,3101,2016-11-16
Gary Harris,DEN ," SG,SF",3030,52,3088,2016-11-16
Trey Lyles,UTA , PF,220,2838,3061,2016-11-16
Ersan Ilyasova,PHI ," SF,PF",256,2640,2900,2016-11-16
Josh Richardson,MIA ," SG,SF",205,2689,2900,2016-11-16
Rondae Hollis-Jefferson,BKN ," SG,SF",2540,330,2877,2016-11-16
Tim Frazier,NO ," PG,SG",2577,260,2864,2016-11-16
Jared Dudley,PHO ," SG,SF,PF",1240,1594,2834,2016-11-16
Will Barton,DEN ," SG,SF",865,1920,2791,2016-11-16
C.J. Miles,IND ," SG,SF",609,2142,2764,2016-11-16
Deron Williams,DAL , PG,991,1516,2515,2016-11-16
Tyson Chandler,PHO , C,600,1870,2480,2016-11-16
Bojan Bogdanovic,BKN ," SG,SF",312,2052,2374,2016-11-16
Thabo Sefolosha,ATL ," SG,SF",1833,444,2282,2016-11-16
Tyler Johnson,MIA ," SF,PF",195,2044,2239,2016-11-16
Justise Winslow,MIA ," SF,PF",2146,75,2235,2016-11-16
Clint Capela,HOU ," PF,C",105,2019,2142,2016-11-16
Jon Leuer,DET ," PF,C",373,1602,1980,2016-11-16
Tyler Johnson,MIA ," PG,SG",925,1016,1958,2016-11-16
Dion Waiters,MIA ," SG,SF",437,1384,1823,2016-11-16
Allen Crabbe,POR ," PG,SG",494,1314,1809,2016-11-16
Alex Len,PHO ," PF,C",1504,264,1782,2016-11-16
Jusuf Nurkic,DEN , C,1508,117,1644,2016-11-16
Michael Kidd-Gilchrist,CHA , SF,1096,505,1612,2016-11-16
Lou Williams,LAL ," PG,SG",1059,524,1604,2016-11-16
Sergio Rodriguez,PHI , PG,924,653,1590,2016-11-16
Brandon Knight,PHO ," PG,SG",672,881,1581,2016-11-16
Kenneth Faried,DEN ," PF,C",117,1421,1559,2016-11-16
Kelly Olynyk,BOS , C,1222,332,1556,2016-11-16
DeMarre Carroll,TOR ," SF,PF",1120,424,1547,2016-11-16
Norman Powell,TOR ," SG,SF",475,1071,1546,2016-11-16
Matthew Dellavedova,MIL ," PG,SG",720,698,1426,2016-11-16
Robert Covington,PHI ," SF,PF",1125,293,1425,2016-11-16
Joakim Noah,NY ," PF,C",381,983,1378,2016-11-16
Danny Green,SA ," SG,SF",1205,163,1374,2016-11-16
Cody Zeller,CHA ," PF,C",570,792,1369,2016-11-16
Dario Saric,PHI ," SF,PF",317,1044,1369,2016-11-16
Kris Dunn,MIN , PG,1259,75,1337,2016-11-16
J.J. Barea,DAL ," PG,SG",15051,167,15235,2016-11-17
Wilson Chandler,DEN ," SG,SF,PF",157,9692,9855,2016-11-17
Seth Curry,DAL ," PG,SG",654,7016,7681,2016-11-17
Lucas Nogueira,TOR ," PF,C",6510,151,6671,2016-11-17
Jon Leuer,DET ," PF,C",143,6148,6295,2016-11-17
Terrence Jones,NO ," SF,PF",164,4180,4350,2016-11-17
Patrick Beverley,HOU ," PG,SG",350,3809,4159,2016-11-17
Channing Frye,CLE ," PF,C",870,3245,4118,2016-11-17
Tim Frazier,NO ," PG,SG",3321,178,3527,2016-11-17
Mike Muscala,ATL ," PF,C",518,2987,3509,2016-11-17
Vince Carter,MEM ," SG,SF",616,2672,3289,2016-11-17
Trey Lyles,UTA , PF,640,2363,3007,2016-11-17
Ersan Ilyasova,PHI ," SF,PF",729,2262,2998,2016-11-17
Sergio Rodriguez,PHI , PG,2076,767,2855,2016-11-17
Robert Covington,PHI ," SF,PF",2643,163,2817,2016-11-17
Sean Kilpatrick,BKN ," PG,SG",2413,206,2635,2016-11-17
Nick Young,LAL ," SG,SF",2193,392,2606,2016-11-17
Tony Parker,SA , PG,190,2209,2403,2016-11-17
Clint Capela,HOU ," PF,C",177,2135,2326,2016-11-17
Tyson Chandler,PHO , C,800,1483,2289,2016-11-17
Ish Smith,DET , PG,407,1814,2238,2016-11-17
Alex Len,PHO ," PF,C",2039,141,2193,2016-11-17
C.J. Miles,IND ," SG,SF",888,1201,2099,2016-11-17
Maurice Harkless,POR , SF,713,1372,2097,2016-11-17
John Henson,MIL ," PF,C",1160,911,2074,2016-11-17
Bojan Bogdanovic,BKN ," SG,SF",202,1855,2069,2016-11-17
Thabo Sefolosha,ATL ," SG,SF",1865,145,2018,2016-11-17
Jusuf Nurkic,DEN , C,1866,115,2016,2016-11-17
Kenneth Faried,DEN ," PF,C",56,1923,2006,2016-11-17
Dion Waiters,MIA ," SG,SF",465,1536,2005,2016-11-17
Greg Monroe,MIL ," PF,C",1754,163,1952,2016-11-17
Tyler Johnson,MIA ," PG,SG",1266,607,1890,2016-11-17
Jared Dudley,PHO ," SG,SF,PF",1538,341,1884,2016-11-17
Deron Williams,DAL , PG,1390,437,1830,2016-11-17
Joakim Noah,NY ," PF,C",687,1025,1723,2016-11-17
Will Barton,DEN ," SG,SF",766,929,1702,2016-11-17
Josh Richardson,MIA ," SG,SF",479,1215,1696,2016-11-17
Brandon Knight,PHO ," PG,SG",197,1458,1679,2016-11-17
Matthew Dellavedova,MIL ," PG,SG",1061,599,1672,2016-11-17
Allen Crabbe,POR ," PG,SG",838,802,1646,2016-11-17
Justise Winslow,MIA ," SF,PF",1531,84,1635,2016-11-17
Cody Zeller,CHA ," PF,C",478,1145,1629,2016-11-17
Rondae Hollis-Jefferson,BKN ," SG,SF",1234,384,1627,2016-11-17
Derrick Favors,UTA ," PF,C",1497,104,1622,2016-11-17
Courtney Lee,NY ," SG,SF",1370,202,1581,2016-11-17
Kelly Olynyk,BOS , C,1233,329,1571,2016-11-17
Gary Harris,DEN ," SG,SF",1482,67,1559,2016-11-17
Marcus Morris,DET ," SF,PF",1360,167,1551,2016-11-17
Tyler Johnson,MIA ," SF,PF",549,997,1548,2016-11-17
Jameer Nelson,DEN , PG,94,1440,1534,2016-11-17
J.J. Barea,DAL ," PG,SG",11153,91,11258,2016-11-18
Wilson Chandler,DEN ," SG,SF,PF",224,5523,5756,2016-11-18
C.J. Miles,IND ," SG,SF",4306,724,5049,2016-11-18
Seth Curry,DAL ," PG,SG",567,4471,5048,2016-11-18
Jon Leuer,DET ," PF,C",205,4714,4925,2016-11-18
Channing Frye,CLE ," PF,C",2113,1829,3944,2016-11-18
Cody Zeller,CHA ," PF,C",224,3572,3803,2016-11-18
Vince Carter,MEM ," SG,SF",582,2949,3533,2016-11-18
Lucas Nogueira,TOR ," PF,C",3162,187,3360,2016-11-18
Terrence Jones,NO ," SF,PF",146,2827,2974,2016-11-18
Patrick Beverley,HOU ," PG,SG",567,2222,2797,2016-11-18
Dion Waiters,MIA ," SG,SF",269,2499,2771,2016-11-18
Sean Kilpatrick,BKN ," PG,SG",2351,264,2631,2016-11-18
Sergio Rodriguez,PHI , PG,2286,302,2607,2016-11-18
Nik Stauskas,PHI ," SG,SF",157,2421,2579,2016-11-18
Maurice Harkless,POR , SF,753,1665,2430,2016-11-18
Tyson Chandler,PHO , C,1627,732,2368,2016-11-18
Ish Smith,DET , PG,465,1619,2094,2016-11-18
Robert Covington,PHI ," SF,PF",1931,96,2037,2016-11-18
Mike Muscala,ATL ," PF,C",474,1551,2029,2016-11-18
Nick Young,LAL ," SG,SF",1383,515,1925,2016-11-18
Josh Richardson,MIA ," SG,SF",317,1435,1759,2016-11-18
Tyler Johnson,MIA ," SF,PF",286,1442,1729,2016-11-18
Greg Monroe,MIL ," PF,C",1574,112,1714,2016-11-18
Tyler Johnson,MIA ," PG,SG",1199,504,1712,2016-11-18
Clint Capela,HOU ," PF,C",154,1547,1712,2016-11-18
Tony Parker,SA , PG,311,1391,1703,2016-11-18
Ersan Ilyasova,PHI ," SF,PF",814,863,1680,2016-11-18
Tim Frazier,NO ," PG,SG",1277,351,1660,2016-11-18
Allen Crabbe,POR ," PG,SG",1469,142,1618,2016-11-18
John Henson,MIL ," PF,C",428,1184,1613,2016-11-18
Jrue Holiday,NO , PG,37,1522,1582,2016-11-18
Thabo Sefolosha,ATL ," SG,SF",1443,123,1574,2016-11-18
Bojan Bogdanovic,BKN ," SG,SF",291,1257,1561,2016-11-18
Kelly Olynyk,BOS , C,1198,334,1535,2016-11-18
Will Barton,DEN ," SG,SF",379,1115,1503,2016-11-18
Brandon Knight,PHO ," PG,SG",147,1312,1483,2016-11-18
Jared Dudley,PHO ," SG,SF,PF",332,1126,1459,2016-11-18
Trevor Booker,BKN , PF,651,767,1439,2016-11-18
Alex Len,PHO ," PF,C",561,810,1381,2016-11-18
Trey Lyles,UTA , PF,751,624,1379,2016-11-18
Matthew Dellavedova,MIL ," PG,SG",1013,342,1368,2016-11-18
Rondae Hollis-Jefferson,BKN ," SG,SF",739,593,1339,2016-11-18
Deron Williams,DAL , PG,1015,290,1310,2016-11-18
Jamal Crawford,LAC ," SG,SF",256,1007,1271,2016-11-18
Courtney Lee,NY ," SG,SF",1216,48,1269,2016-11-18
Michael Kidd-Gilchrist,CHA , SF,663,558,1249,2016-11-18
Marcus Morris,DET ," SF,PF",1013,213,1247,2016-11-18
Danny Green,SA ," SG,SF",337,879,1229,2016-11-18
Dario Saric,PHI ," SF,PF",369,834,1213,2016-11-18
Wilson Chandler,DEN ," SG,SF,PF",89,8076,8176,2016-11-19
Matt Barnes,SAC ," SG,SF",214,6421,6635,2016-11-19
C.J. Miles,IND ," SG,SF",6432,132,6580,2016-11-19
Cody Zeller,CHA ," PF,C",1255,3847,5111,2016-11-19
Terrence Ross,TOR ," SG,SF",175,4706,4883,2016-11-19
J.J. Barea,DAL ," PG,SG",4280,116,4412,2016-11-19
Terrence Jones,NO ," SF,PF",796,2782,3584,2016-11-19
Jonathan Gibson,DAL ," PG,SG",49,3460,3509,2016-11-19
Ty Lawson,SAC , PG,194,3302,3498,2016-11-19
Mike Muscala,ATL ," PF,C",422,2828,3250,2016-11-19
Jon Leuer,DET ," PF,C",1598,1603,3207,2016-11-19
Channing Frye,CLE ," PF,C",2715,367,3089,2016-11-19
Lucas Nogueira,TOR ," PF,C",2667,353,3036,2016-11-19
Sean Kilpatrick,BKN ," PG,SG",2584,375,2972,2016-11-19
Vince Carter,MEM ," SG,SF",2416,454,2872,2016-11-19
Nick Young,LAL ," SG,SF",325,2515,2858,2016-11-19
Tyler Johnson,MIA ," PG,SG",2389,326,2735,2016-11-19
Jared Dudley,PHO ," SG,SF,PF",832,1842,2674,2016-11-19
Kelly Olynyk,BOS , C,2545,68,2621,2016-11-19
Alan Williams,PHO , PF,197,2376,2573,2016-11-19
Seth Curry,DAL ," PG,SG",1696,817,2516,2016-11-19
Maurice Harkless,POR , SF,743,1566,2323,2016-11-19
Jrue Holiday,NO , PG,32,2249,2300,2016-11-19
Tyson Chandler,PHO , C,1882,204,2098,2016-11-19
Greg Monroe,MIL ," PF,C",1740,201,1977,2016-11-19
Tony Parker,SA , PG,326,1602,1930,2016-11-19
Will Barton,DEN ," SG,SF",302,1440,1747,2016-11-19
Patrick Beverley,HOU ," PG,SG",766,929,1702,2016-11-19
E'Twaun Moore,NO ," PG,SG",1385,276,1663,2016-11-19
Robert Covington,PHI ," SF,PF",1552,86,1651,2016-11-19
Tyreke Evans,NO ," PG,SG,SF",115,1466,1586,2016-11-19
Sergio Rodriguez,PHI , PG,1244,298,1562,2016-11-19
Tim Frazier,NO ," PG,SG",626,906,1561,2016-11-19
Dion Waiters,MIA ," SG,SF",514,1039,1555,2016-11-19
Bojan Bogdanovic,BKN ," SG,SF",377,1158,1548,2016-11-19
T.J. Warren,PHO , SF,1414,65,1519,2016-11-19
Trey Lyles,UTA , PF,298,1211,1517,2016-11-19
Rondae Hollis-Jefferson,BKN ," SG,SF",674,825,1507,2016-11-19
Andre Roberson,OKC ," SG,SF",275,1211,1488,2016-11-19
Thabo Sefolosha,ATL ," SG,SF",1348,129,1483,2016-11-19
John Henson,MIL ," PF,C",1049,404,1464,2016-11-19
Marcus Morris,DET ," SF,PF",1174,254,1457,2016-11-19
Alex Len,PHO ," PF,C",564,835,1408,2016-11-19
Trevor Booker,BKN , PF,994,388,1400,2016-11-19
Ish Smith,DET , PG,941,445,1399,2016-11-19
Lou Williams,LAL ," PG,SG",161,1195,1386,2016-11-19
Nik Stauskas,PHI ," SG,SF",338,1046,1386,2016-11-19
Deron Williams,DAL , PG,1117,225,1353,2016-11-19
Michael Kidd-Gilchrist,CHA , SF,922,373,1312,2016-11-19
DeMarre Carroll,TOR ," SF,PF",962,340,1310,2016-11-19
Jonathan Gibson,DAL ," PG,SG",147,11459,11606,2016-11-20
Will Barton,DEN ," SG,SF",278,5103,5387,2016-11-20
Sean Kilpatrick,BKN ," PG,SG",4825,263,5104,2016-11-20
Alan Williams,PHO , PF,188,4538,4726,2016-11-20
C.J. Miles,IND ," SG,SF",3837,156,4017,2016-11-20
Matt Barnes,SAC ," SG,SF",1104,2808,3913,2016-11-20
Wilson Chandler,DEN ," SG,SF,PF",236,3462,3711,2016-11-20
Tyler Johnson,MIA ," PG,SG",3484,110,3611,2016-11-20
Dion Waiters,MIA ," SG,SF",255,3078,3336,2016-11-20
Terrence Ross,TOR ," SG,SF",828,2430,3261,2016-11-20
Mike Muscala,ATL ," PF,C",1939,1209,3152,2016-11-20
J.J. Barea,DAL ," PG,SG",2558,276,2842,2016-11-20
Lucas Nogueira,TOR ," PF,C",2304,308,2616,2016-11-20
Nick Young,LAL ," SG,SF",532,2051,2602,2016-11-20
Nik Stauskas,PHI ," SG,SF",152,2316,2469,2016-11-20
Greg Monroe,MIL ," PF,C",2075,347,2458,2016-11-20
Jon Leuer,DET ," PF,C",1894,464,2365,2016-11-20
Chandler Parsons,MEM ," SF,PF",2089,174,2291,2016-11-20
Trey Lyles,UTA , PF,745,1481,2232,2016-11-20
Vince Carter,MEM ," SG,SF",1983,217,2202,2016-11-20
Maurice Harkless,POR , SF,1152,1006,2168,2016-11-20
Tyler Johnson,MIA ," SF,PF",245,1900,2146,2016-11-20
Kelly Olynyk,BOS , C,2096,37,2135,2016-11-20
Tony Parker,SA , PG,227,1791,2021,2016-11-20
E'Twaun Moore,NO ," PG,SG",1869,39,1913,2016-11-20
Seth Curry,DAL ," PG,SG",1210,662,1882,2016-11-20
Ty Lawson,SAC , PG,741,1122,1864,2016-11-20
Cody Zeller,CHA ," PF,C",1307,506,1816,2016-11-20
Tim Frazier,NO ," PG,SG",305,1477,1806,2016-11-20
John Henson,MIL ," PF,C",1565,182,1752,2016-11-20
Jared Dudley,PHO ," SG,SF,PF",1082,656,1740,2016-11-20
Terrence Jones,NO ," SF,PF",1091,636,1732,2016-11-20
Robert Covington,PHI ," SF,PF",1544,156,1711,2016-11-20
Buddy Hield,NO , SG,1683,8,1695,2016-11-20
Channing Frye,CLE ," PF,C",1344,340,1689,2016-11-20
Josh Richardson,MIA ," SG,SF",220,1390,1617,2016-11-20
Rondae Hollis-Jefferson,BKN ," SG,SF",1032,560,1607,2016-11-20
Patrick Beverley,HOU ," PG,SG",735,803,1551,2016-11-20
Jrue Holiday,NO , PG,53,1431,1505,2016-11-20
Alex Len,PHO ," PF,C",565,886,1464,2016-11-20
Bismack Biyombo,ORL ," PF,C",247,1203,1455,2016-11-20
Tyson Chandler,PHO , C,1144,274,1427,2016-11-20
Joakim Noah,NY ," PF,C",1065,301,1380,2016-11-20
Clint Capela,HOU ," PF,C",113,1240,1371,2016-11-20
DeMarre Carroll,TOR ," SF,PF",532,829,1368,2016-11-20
Frank Kaminsky,CHA ," PF,C",206,1136,1347,2016-11-20
Dario Saric,PHI ," SF,PF",315,993,1322,2016-11-20
Andre Roberson,OKC ," SG,SF",576,731,1311,2016-11-20
Sergio Rodriguez,PHI , PG,565,722,1302,2016-11-20
Bojan Bogdanovic,BKN ," SG,SF",492,761,1266,2016-11-20
Jonathan Gibson,DAL ," PG,SG",2116,8573,10689,2016-11-21
Will Barton,DEN ," SG,SF",364,7735,8105,2016-11-21
Sean Kilpatrick,BKN ," PG,SG",6005,114,6127,2016-11-21
Larry Nance Jr.,LAL , PF,197,5619,5818,2016-11-21
Langston Galloway,NO ," PG,SG",143,5032,5176,2016-11-21
Alan Williams,PHO , PF,831,4345,5176,2016-11-21
