Name,Team,Position,Dropped,Added,Total,Date
Ish Smith,DET , PG,285,1490,1780,2016-10-29
Tyson Chandler,PHO , C,176,1598,1776,2016-10-29
Timofey Mozgov,LAL , C,442,1322,1767,2016-10-29
Willie Cauley-Stein,SAC ," PF,C",1528,108,1638,2016-10-29
Trevor Booker,BKN , PF,192,19248,19443,2016-10-30
T.J. Warren,PHO , SF,136,9500,9641,2016-10-30
Mike Muscala,ATL ," PF,C",125,8068,8193,2016-10-30
Matt Barnes,SAC ," SG,SF",234,4642,4878,2016-10-30
James Ennis III,MEM ," SG,SF",383,4181,4564,2016-10-30
Terrence Jones,NO ," SF,PF",4399,48,4453,2016-10-30
Patty Mills,SA , PG,412,3830,4244,2016-10-30
Mirza Teletovic,MIL ," SF,PF",4067,142,4216,2016-10-30
Michael Kidd-Gilchrist,CHA , SF,3747,390,4150,2016-10-30
Tyson Chandler,PHO , C,162,3879,4043,2016-10-30
Rondae Hollis-Jefferson,BKN ," SG,SF",3603,221,3836,2016-10-30
Roy Hibbert,CHA , C,3574,219,3794,2016-10-30
Andre Roberson,OKC ," SG,SF",748,2571,3319,2016-10-30
Bojan Bogdanovic,BKN ," SG,SF",253,3004,3266,2016-10-30
Joe Johnson,UTA ," SG,SF",1718,1512,3240,2016-10-30
Matthew Dellavedova,MIL ," PG,SG",270,2945,3224,2016-10-30
J.J. Barea,DAL ," PG,SG",533,2630,3163,2016-10-30
Jonathon Simmons,SA ," SG,SF",2709,438,3158,2016-10-30
Sean Kilpatrick,BKN ," PG,SG",208,2835,3043,2016-10-30
Ty Lawson,SAC , PG,803,2214,3022,2016-10-30
Tony Parker,SA , PG,2539,260,2805,2016-10-30
Kris Dunn,MIN , PG,1063,1620,2692,2016-10-30
Sergio Rodriguez,PHI , PG,345,2330,2683,2016-10-30
Dario Saric,PHI ," SF,PF",2471,180,2657,2016-10-30
Al Jefferson,IND ," PF,C",2463,126,2598,2016-10-30
Lou Williams,LAL ," PG,SG",981,1549,2536,2016-10-30
Marcus Morris,DET ," SF,PF",525,1927,2464,2016-10-30
Luol Deng,LAL ," SF,PF",1417,1012,2435,2016-10-30
Dewayne Dedmon,SA , C,748,1610,2358,2016-10-30
Seth Curry,DAL ," PG,SG",2149,125,2281,2016-10-30
Bismack Biyombo,ORL ," PF,C",2046,117,2172,2016-10-30
Thabo Sefolosha,ATL ," SG,SF",286,1874,2160,2016-10-30
Buddy Hield,NO , SG,2019,110,2136,2016-10-30
Justin Hamilton,BKN ," PF,C",974,1135,2113,2016-10-30
Will Barton,DEN ," SG,SF",321,1722,2048,2016-10-30
Lance Stephenson,NO ," SG,SF",1520,499,2019,2016-10-30
Brandon Ingram,LAL ," SG,SF",1732,242,2000,2016-10-30
Doug McDermott,CHI , SF,89,1876,1970,2016-10-30
Willie Cauley-Stein,SAC ," PF,C",1773,131,1908,2016-10-30
Allen Crabbe,POR ," PG,SG",537,1362,1904,2016-10-30
Jamal Crawford,LAC ," SG,SF",499,1361,1875,2016-10-30
Alex Len,PHO ," PF,C",1646,222,1868,2016-10-30
Emmanuel Mudiay,DEN , PG,335,1414,1761,2016-10-30
Cody Zeller,CHA ," PF,C",747,957,1706,2016-10-30
Timofey Mozgov,LAL , C,862,830,1698,2016-10-30
Jahlil Okafor,PHI , C,1455,226,1696,2016-10-30
Tim Hardaway Jr.,ATL ," SG,SF",1239,418,1658,2016-10-30
Taj Gibson,CHI ," PF,C",281,1371,1656,2016-10-30
JaMychal Green,MEM , PF,1063,583,1651,2016-10-30
Evan Turner,POR ," SG,SF",1415,202,1624,2016-10-30
