Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Richard Jefferson,35-159,SF,11/27/2015,CLE,@,CHO,W,0,30,4,8,0.5,2,3,0.667,2,5,0.4,3,6,0.5,0,1,1,1,0,0,1,2,13,7,16.25,14.7,-4,203
Cody Zeller,23-053,PF,11/27/2015,CHO,,CLE,L,0,15,1,2,0.5,1,2,0.5,0,0,,5,6,0.833,0,2,2,1,1,1,1,4,7,6,14.50,13.9,4,203
Mo Williams,32-343,PG,11/27/2015,CLE,@,CHO,W,1,21,3,4,0.75,3,4,0.75,0,0,,0,0,,0,1,1,3,0,1,3,4,6,2.9,12.25,10.7,-4,203
Timofey Mozgov,29-134,C,11/27/2015,CLE,@,CHO,W,1,18,3,9,0.333,3,9,0.333,0,0,,2,2,1,2,1,3,0,1,0,3,1,8,2.2,12.25,10.6,-4,203
P.J. Hairston,22-338,SF,11/27/2015,CHO,,CLE,L,1,19,1,5,0.2,1,2,0.5,0,3,0,0,0,,0,2,2,1,1,0,0,4,2,-0.4,8.00,7.9,4,203
Frank Kaminsky,22-237,C,11/27/2015,CHO,,CLE,L,0,19,1,4,0.25,1,3,0.333,0,1,0,1,2,0.5,1,1,2,1,0,0,1,3,3,-0.3,6.50,5.9,4,203
Spencer Hawes,27-213,C,11/27/2015,CHO,,CLE,L,0,5,2,2,1,2,2,1,0,0,,0,0,,0,0,0,1,0,0,0,2,4,3.3,5.50,5.5,4,203
James Jones,35-054,SG,11/27/2015,CLE,@,CHO,W,0,8,0,4,0,0,1,0,0,3,0,0,0,,0,0,0,0,0,0,0,1,0,-3.2,0.00,0,-4,203
Jared Cunningham,24-189,PG,11/27/2015,CLE,@,CHO,W,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.00,0,-4,203
Rajon Rondo,29-270,PG,11/19/2015,SAC,@,MIA,L,1,40,6,13,0.462,4,10,0.4,2,3,0.667,0,0,,2,7,9,18,1,0,3,5,14,19.4,55.25,50.8,10,203
Chris Bosh,31-240,PF,11/19/2015,MIA,,SAC,W,1,35,8,12,0.667,6,10,0.6,2,2,1,5,5,1,0,11,11,4,0,1,1,0,23,23.6,46.75,43.2,-10,203
Dwyane Wade,33-306,SG,11/19/2015,MIA,,SAC,W,1,31,10,23,0.435,10,21,0.476,0,2,0,4,6,0.667,1,4,5,6,2,0,0,1,24,18.8,43.25,43,-10,203
Rudy Gay,29-094,SF,11/19/2015,SAC,@,MIA,L,1,25,6,13,0.462,6,13,0.462,0,0,,1,1,1,2,10,12,2,1,0,1,3,13,10.9,34,31.4,10,203
Hassan Whiteside,26-159,C,11/19/2015,MIA,,SAC,W,1,18,4,7,0.571,4,7,0.571,0,0,,4,4,1,2,3,5,0,2,4,0,3,12,14.6,30.25,30,-10,203
Tyler Johnson,23-196,SG,11/19/2015,MIA,,SAC,W,0,25,6,8,0.75,3,4,0.75,3,4,0.75,4,4,1,1,2,3,3,1,0,1,1,19,18.8,30.25,28.1,-10,203
Marco Belinelli,29-239,SG,11/19/2015,SAC,@,MIA,L,0,26,5,11,0.455,0,1,0,5,10,0.5,8,9,0.889,0,1,1,1,0,0,2,3,23,14.7,27.25,23.7,10,203
Omri Casspi,27-150,SF,11/19/2015,SAC,@,MIA,L,1,39,7,11,0.636,5,7,0.714,2,4,0.5,0,4,0,0,6,6,0,1,1,4,5,16,7,26.5,23.2,10,203
Luol Deng,30-217,SF,11/19/2015,MIA,,SAC,W,1,31,1,7,0.143,1,3,0.333,0,4,0,6,9,0.667,2,2,4,1,2,2,0,1,8,8,22.5,22.3,-10,203
Ben McLemore,22-281,SG,11/19/2015,SAC,@,MIA,L,1,32,7,12,0.583,4,8,0.5,3,4,0.75,0,1,0,0,1,1,3,0,0,4,1,17,9,22.25,18.7,10,203
Goran Dragic,29-197,PG,11/19/2015,MIA,,SAC,W,1,32,4,11,0.364,3,7,0.429,1,4,0.25,0,1,0,1,0,1,6,0,0,0,2,9,6.6,19.75,19.2,-10,203
Willie Cauley-Stein,22-093,C,11/19/2015,SAC,@,MIA,L,0,22,5,7,0.714,5,7,0.714,0,0,,1,2,0.5,2,3,5,0,0,2,3,6,11,6,19.75,18,10,203
Kosta Koufos,26-268,C,11/19/2015,SAC,@,MIA,L,1,25,3,8,0.375,3,8,0.375,0,0,,0,2,0,2,5,7,0,0,0,1,3,6,1.5,14.25,13.4,10,203
Gerald Green,29-297,SG,11/19/2015,MIA,,SAC,W,0,16,2,6,0.333,1,2,0.5,1,4,0.25,0,0,,1,5,6,1,0,0,1,3,5,2.3,14,12.7,-10,203
Amar'e Stoudemire,33-003,PF,11/19/2015,MIA,,SAC,W,0,8,4,5,0.8,4,5,0.8,0,0,,2,2,1,0,1,1,1,0,0,1,0,10,8.1,12.25,11.7,-10,203
Josh McRoberts,28-264,PF,11/19/2015,MIA,,SAC,W,0,17,0,1,0,0,1,0,0,0,,0,2,0,3,1,4,2,2,0,0,2,0,3.5,12,11.8,-10,203
Justise Winslow,19-238,SF,11/19/2015,MIA,,SAC,W,0,27,3,9,0.333,3,5,0.6,0,4,0,0,0,,1,0,1,1,2,0,3,2,6,0.5,11.25,9.7,-10,203
Darren Collison,28-088,PG,11/19/2015,SAC,@,MIA,L,0,21,4,7,0.571,4,7,0.571,0,0,,1,1,1,0,0,0,1,0,0,0,0,9,6.4,10.5,10.5,10,203
Quincy Acy,25-044,PF,11/19/2015,SAC,@,MIA,L,0,5,0,1,0,0,0,,0,1,0,0,0,,1,0,1,0,0,0,0,0,0,0,1.25,1.2,10,203
Caron Butler,35-251,SF,11/19/2015,SAC,@,MIA,L,0,5,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,0,0,10,203
Jimmy Butler,26-065,SG,11/18/2015,CHI,@,PHO,W,1,43,11,23,0.478,8,16,0.5,3,7,0.429,7,8,0.875,3,3,6,2,1,0,1,2,32,23.5,45.5,43.2,3,203
Eric Bledsoe,25-344,SG,11/18/2015,PHO,,CHI,L,1,39,7,22,0.318,5,14,0.357,2,8,0.25,5,7,0.714,0,6,6,7,2,0,2,1,21,13.9,43,40.7,-3,203
Pau Gasol,35-135,PF,11/18/2015,CHI,@,PHO,W,1,28,7,13,0.538,7,13,0.538,0,0,,3,4,0.75,2,6,8,1,2,1,3,1,17,13.5,33,31.1,3,203
Brandon Knight,23-351,PG,11/18/2015,PHO,,CHI,L,1,38,8,20,0.4,7,18,0.389,1,2,0.5,6,6,1,1,2,3,4,1,0,5,2,23,11.5,32.75,29.6,-3,203
P.J. Tucker,30-197,SF,11/18/2015,PHO,,CHI,L,1,34,8,15,0.533,7,11,0.636,1,4,0.25,3,3,1,4,3,7,0,0,0,0,2,20,15.6,29.25,28.4,-3,203
Kirk Hinrich,34-320,PG,11/18/2015,CHI,@,PHO,W,1,24,6,7,0.857,4,5,0.8,2,2,1,0,0,,0,2,2,6,1,0,1,0,14,16.3,28,26.4,3,203
Nikola Mirotic,24-280,PF,11/18/2015,CHI,@,PHO,W,1,21,4,12,0.333,2,7,0.286,2,5,0.4,0,0,,1,4,5,3,2,0,1,2,10,7.4,25.25,23.5,3,203
Tyson Chandler,33-047,C,11/18/2015,PHO,,CHI,L,1,31,3,7,0.429,3,7,0.429,0,0,,0,0,,5,4,9,0,2,1,2,1,6,7.3,22.25,20.8,-3,203
Aaron Brooks,30-308,PG,11/18/2015,CHI,@,PHO,W,0,20,5,7,0.714,3,5,0.6,2,2,1,0,0,,0,1,1,5,0,0,4,2,12,8.1,19.75,16.7,3,203
Markieff Morris,26-077,PF,11/18/2015,PHO,,CHI,L,1,29,3,9,0.333,3,7,0.429,0,2,0,0,0,,1,4,5,1,3,0,3,2,6,2.7,18.25,16.5,-3,203
Alex Len,22-155,C,11/18/2015,PHO,,CHI,L,0,17,3,3,1,3,3,1,0,0,,0,1,0,2,3,5,1,1,1,0,2,6,8.6,17.75,17.5,-3,203
Joakim Noah,30-266,C,11/18/2015,CHI,@,PHO,W,0,20,0,2,0,0,2,0,0,0,,0,0,,2,9,11,2,0,1,3,3,0,0.6,17.25,15.2,3,203
Doug McDermott,23-319,SF,11/18/2015,CHI,@,PHO,W,0,25,4,7,0.571,4,5,0.8,0,2,0,0,0,,1,4,5,2,0,0,1,1,8,6.6,16.75,16,3,203
Taj Gibson,30-147,PF,11/18/2015,CHI,@,PHO,W,0,27,3,7,0.429,3,7,0.429,0,0,,0,0,,2,5,7,0,0,0,1,3,6,3,14.25,13.4,3,203
Devin Booker,19-019,SG,11/18/2015,PHO,,CHI,L,0,15,2,3,0.667,0,1,0,2,2,1,0,0,,0,1,1,0,0,2,0,2,6,5.6,12.25,11.2,-3,203
Mirza Teletovic,30-061,SF,11/18/2015,PHO,,CHI,L,0,13,2,5,0.4,0,0,,2,5,0.4,0,0,,0,3,3,1,0,0,0,0,6,4.9,12.25,11.1,-3,203
Ronnie Price,32-150,PG,11/18/2015,PHO,,CHI,L,0,11,1,3,0.333,1,1,1,0,2,0,0,0,,1,1,2,2,2,0,0,2,2,3.9,11.5,11.4,-3,203
E'Twaun Moore,26-263,SG,11/18/2015,CHI,@,PHO,W,0,14,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,1,1,1,1,0,1,2,4,3.2,8.25,7.7,3,203
Jon Leuer,26-188,PF,11/18/2015,PHO,,CHI,L,0,6,0,2,0,0,1,0,0,1,0,1,2,0.5,0,2,2,0,1,0,0,0,1,0.8,5.5,5.4,-3,203
Tony Snell,24-008,SG,11/18/2015,CHI,@,PHO,W,1,19,0,3,0,0,2,0,0,1,0,0,0,,0,1,1,2,0,0,3,1,0,-3.8,2.75,1.2,3,203
Archie Goodwin,21-093,SG,11/18/2015,PHO,,CHI,L,0,7,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-2.2,0,0,-3,203
Jahlil Okafor,19-336,C,11/16/2015,PHI,,DAL,L,1,33,8,15,0.533,8,15,0.533,0,0,,3,3,1,2,9,11,1,1,2,4,5,19,12.9,39.75,35.7,8,203
T.J. McConnell,23-236,PG,11/16/2015,PHI,,DAL,L,1,34,6,9,0.667,5,6,0.833,1,3,0.333,0,0,,1,6,7,6,2,1,4,4,13,12.9,35.25,32.4,8,203
Nerlens Noel,21-220,C,11/16/2015,PHI,,DAL,L,1,38,5,12,0.417,5,12,0.417,0,0,,2,4,0.5,2,10,12,1,2,1,5,3,12,6.4,33.5,28.9,8,203
Dirk Nowitzki,37-150,PF,11/16/2015,DAL,@,PHI,W,1,31,6,16,0.375,3,10,0.3,3,6,0.5,6,6,1,0,5,5,0,1,1,1,4,21,12.8,32.25,30,-8,203
Chandler Parsons,27-022,SF,11/16/2015,DAL,@,PHI,W,1,21,8,11,0.727,7,7,1,1,4,0.25,3,3,1,0,5,5,1,1,1,1,0,20,18.4,31.75,30.5,-8,203
Deron Williams,31-143,PG,11/16/2015,DAL,@,PHI,W,1,33,3,10,0.3,3,8,0.375,0,2,0,6,6,1,0,3,3,6,1,0,2,3,12,9.1,25.75,24.6,-8,203
Devin Harris,32-262,PG,11/16/2015,DAL,@,PHI,W,0,23,3,7,0.429,3,6,0.5,0,1,0,3,4,0.75,0,3,3,2,4,0,3,2,9,7.4,22.25,20.6,-8,203
Hollis Thompson,24-227,SG,11/16/2015,PHI,,DAL,L,0,29,4,6,0.667,1,2,0.5,3,4,0.75,1,1,1,0,3,3,2,1,0,2,3,12,9.5,21.25,18.6,8,203
Dwight Powell,24-119,PF,11/16/2015,DAL,@,PHI,W,0,26,3,5,0.6,3,5,0.6,0,0,,1,3,0.333,2,6,8,0,2,0,3,3,7,4.9,19.5,17.6,-8,203
Jerami Grant,21-249,SF,11/16/2015,PHI,,DAL,L,1,29,5,10,0.5,5,9,0.556,0,1,0,3,5,0.6,1,2,3,0,1,0,3,5,13,4.5,17.25,15.6,8,203
Robert Covington,24-337,SF,11/16/2015,PHI,,DAL,L,0,20,2,8,0.25,2,4,0.5,0,4,0,3,4,0.75,2,3,5,2,1,0,4,4,7,0.9,16.25,14,8,203
Wesley Matthews,29-033,SG,11/16/2015,DAL,@,PHI,W,1,29,2,10,0.2,1,4,0.25,1,6,0.167,2,2,1,1,1,2,1,2,0,2,4,7,0.9,14.5,12.9,-8,203
Zaza Pachulia,31-279,C,11/16/2015,DAL,@,PHI,W,1,29,0,1,0,0,1,0,0,0,,2,4,0.5,1,5,6,2,1,0,2,3,2,1.9,13.5,12.2,-8,203
J.J. Barea,31-143,PG,11/16/2015,DAL,@,PHI,W,0,13,3,6,0.5,2,4,0.5,1,2,0.5,2,2,1,0,1,1,1,0,0,1,1,9,5.6,11.75,10.7,-8,203
JaKarr Sampson,22-241,SF,11/16/2015,PHI,,DAL,L,0,15,3,3,1,3,3,1,0,0,,1,2,0.5,0,2,2,2,0,0,3,3,7,3.5,11,9.4,8,203
Raymond Felton,31-143,PG,11/16/2015,DAL,@,PHI,W,0,25,1,5,0.2,1,4,0.25,0,1,0,0,0,,0,3,3,3,0,0,3,1,2,-1.5,8.75,7.1,-8,203
Isaiah Canaan,24-179,PG,11/16/2015,PHI,,DAL,L,0,25,1,9,0.111,0,1,0,1,8,0.125,0,1,0,0,1,1,1,1,0,1,0,3,-2.3,7.75,6.7,8,203
Charlie Villanueva,31-084,PF,11/16/2015,DAL,@,PHI,W,0,8,1,5,0.2,0,3,0,1,2,0.5,0,0,,2,1,3,0,0,0,0,2,3,0.8,7.25,6.6,-8,203
Nik Stauskas,22-040,SG,11/16/2015,PHI,,DAL,L,1,16,0,4,0,0,2,0,0,2,0,0,0,,0,2,2,1,0,0,1,2,0,-3.3,3.5,2.9,8,203
Justin Anderson,21-362,SF,11/16/2015,DAL,@,PHI,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-8,203
Jeremy Evans,28-023,SF,11/16/2015,DAL,@,PHI,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1,-0.5,-1,-8,203
LeBron James,30-318,SF,11/13/2015,CLE,@,NYK,W,1,39,12,21,0.571,12,19,0.632,0,2,0,7,10,0.7,0,3,3,6,2,1,3,4,31,23.1,48.25,46.6,-7,203
Carmelo Anthony,31-168,SF,11/13/2015,NYK,,CLE,L,1,36,9,20,0.45,5,12,0.417,4,8,0.5,4,4,1,1,4,5,4,0,1,1,3,26,18.8,41.75,39,7,203
Mo Williams,32-329,PG,11/13/2015,CLE,@,NYK,W,1,32,7,13,0.538,5,7,0.714,2,6,0.333,4,4,1,0,2,2,3,0,0,3,2,20,12.6,26.50,23.9,-7,203
Kevin Love,27-067,PF,11/13/2015,CLE,@,NYK,W,1,34,2,10,0.2,1,5,0.2,1,5,0.2,2,4,0.5,6,5,11,2,1,0,3,3,7,3.9,24.75,22.2,-7,203
Arron Afflalo,30-029,SG,11/13/2015,NYK,,CLE,L,1,30,6,13,0.462,5,9,0.556,1,4,0.25,1,1,1,0,3,3,4,0,0,0,3,14,9.8,24.25,23.6,7,203
Derrick Williams,24-172,SF,11/13/2015,NYK,,CLE,L,0,16,1,6,0.167,1,4,0.25,0,2,0,3,6,0.5,1,6,7,1,2,1,0,1,5,5.5,21.25,20.9,7,203
Kristaps Porzingis,20-103,PF,11/13/2015,NYK,,CLE,L,1,28,5,11,0.455,4,7,0.571,1,4,0.25,0,0,,3,4,7,1,0,0,1,1,11,7.9,21.25,19.9,7,203
Timofey Mozgov,29-120,C,11/13/2015,CLE,@,NYK,W,1,27,4,5,0.8,4,5,0.8,0,0,,3,5,0.6,1,6,7,0,1,0,1,1,11,10.4,21.25,20.4,-7,203
Jose Calderon,34-046,PG,11/13/2015,NYK,,CLE,L,1,22,4,5,0.8,2,3,0.667,2,2,1,0,0,,0,2,2,2,3,0,4,3,10,7.9,20.50,17.4,7,203
Langston Galloway,23-339,SG,11/13/2015,NYK,,CLE,L,0,29,3,9,0.333,2,5,0.4,1,4,0.25,0,0,,1,5,6,2,1,0,1,5,7,3.5,19.50,18.2,7,203
Tristan Thompson,24-245,PF,11/13/2015,CLE,@,NYK,W,0,21,1,4,0.25,1,4,0.25,0,0,,2,6,0.333,2,8,10,1,1,0,1,1,4,4.1,19.50,18.5,-7,203
J.R. Smith,30-065,SG,11/13/2015,CLE,@,NYK,W,1,27,3,10,0.3,1,3,0.333,2,7,0.286,0,2,0,1,4,5,0,0,0,1,0,8,2.3,14.75,13,-7,203
Matthew Dellavedova,25-066,PG,11/13/2015,CLE,@,NYK,W,0,28,4,8,0.5,3,4,0.75,1,4,0.25,0,0,,0,4,4,0,0,0,0,2,9,5.4,14.50,13.8,-7,203
Jerian Grant,23-035,PG,11/13/2015,NYK,,CLE,L,0,15,0,5,0,0,3,0,0,2,0,6,6,1,0,4,4,1,0,0,1,1,6,3,12.00,11.3,7,203
Lou Amundson,32-341,C,11/13/2015,NYK,,CLE,L,0,20,0,1,0,0,1,0,0,0,,1,2,0.5,2,4,6,0,0,2,1,2,1,2.1,12.00,11.2,7,203
Robin Lopez,27-226,C,11/13/2015,NYK,,CLE,L,1,25,1,5,0.2,1,5,0.2,0,0,,2,2,1,2,3,5,1,0,0,1,2,4,2.1,11.25,10.5,7,203
Anderson Varejao,33-046,C,11/13/2015,CLE,@,NYK,W,0,3,0,3,0,0,3,0,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-0.4,3.75,3.6,-7,203
James Jones,35-040,SG,11/13/2015,CLE,@,NYK,W,0,10,0,2,0,0,0,,0,2,0,0,0,,0,3,3,0,0,0,0,3,0,-1.7,3.75,3.6,-7,203
Richard Jefferson,35-145,SF,11/13/2015,CLE,@,NYK,W,0,19,0,2,0,0,0,,0,2,0,0,0,,0,1,1,0,1,0,0,3,0,-1.3,3.25,3.2,-7,203
Lance Thomas,27-203,SF,11/13/2015,NYK,,CLE,L,0,16,0,3,0,0,2,0,0,1,0,0,0,,0,1,1,0,1,0,3,3,0,-5,1.75,0.2,7,203
Kyle O'Quinn,25-232,PF,11/13/2015,NYK,,CLE,L,0,3,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-0.50,-1,7,203
DeMarcus Cousins,25-088,C,11/9/2015,SAC,,SAS,L,1,32,5,20,0.25,5,16,0.313,0,4,0,11,15,0.733,4,8,12,3,2,1,4,2,21,12.6,46.00,41.9,7.5,203
Kawhi Leonard,24-133,SF,11/9/2015,SAS,@,SAC,W,1,32,10,13,0.769,7,9,0.778,3,4,0.75,1,2,0.5,0,3,3,2,2,2,0,2,24,23.4,40.25,38.6,-7.5,203
Rajon Rondo,29-260,PG,11/9/2015,SAC,,SAS,L,1,48,4,10,0.4,4,9,0.444,0,1,0,0,0,,0,6,6,12,3,0,9,3,8,5.6,35.00,30.2,7.5,203
Tim Duncan,39-198,PF,11/9/2015,SAS,@,SAC,W,1,23,4,8,0.5,4,8,0.5,0,0,,3,4,0.75,4,10,14,2,0,0,2,3,11,10.6,32.00,28.8,-7.5,203
LaMarcus Aldridge,30-113,PF,11/9/2015,SAS,@,SAC,W,1,26,7,12,0.583,7,10,0.7,0,2,0,2,2,1,0,9,9,1,0,2,2,4,16,11.6,31.75,30.3,-7.5,203
Patrick Mills,27-090,PG,11/9/2015,SAS,@,SAC,W,0,23,4,11,0.364,3,6,0.5,1,5,0.2,0,0,,1,0,1,8,4,0,1,0,9,12.2,30.25,29.2,-7.5,203
Omri Casspi,27-140,SF,11/9/2015,SAC,,SAS,L,0,24,7,14,0.5,5,10,0.5,2,4,0.5,0,0,,0,5,5,0,3,0,0,2,16,12.7,29.25,28,7.5,203
Marco Belinelli,29-229,SG,11/9/2015,SAC,,SAS,L,0,32,7,13,0.538,4,9,0.444,3,4,0.75,0,0,,1,0,1,5,0,0,3,0,17,11.9,25.75,22.7,7.5,203
Rudy Gay,29-084,SF,11/9/2015,SAC,,SAS,L,1,32,5,15,0.333,5,13,0.385,0,2,0,0,0,,3,2,5,4,0,1,2,4,10,4.1,23.25,22,7.5,203
Manu Ginobili,38-104,SG,11/9/2015,SAS,@,SAC,W,0,18,2,7,0.286,2,3,0.667,0,4,0,2,3,0.667,1,2,3,5,2,0,3,1,6,4.9,19.75,18.1,-7.5,203
David West,35-072,PF,11/9/2015,SAS,@,SAC,W,0,19,4,5,0.8,4,5,0.8,0,0,,0,0,,0,6,6,2,1,0,2,3,8,7.1,19.50,18.2,-7.5,203
Kosta Koufos,26-258,C,11/9/2015,SAC,,SAS,L,0,26,1,2,0.5,1,2,0.5,0,0,,0,2,0,1,5,6,1,1,3,1,1,2,4.8,18.50,17.7,7.5,203
Tony Parker,33-176,PG,11/9/2015,SAS,@,SAC,W,1,21,6,10,0.6,5,9,0.556,1,1,1,0,0,,0,1,1,2,0,0,2,1,13,7.7,16.75,15.2,-7.5,203
Danny Green,28-140,SG,11/9/2015,SAS,@,SAC,W,1,27,2,6,0.333,1,2,0.5,1,4,0.25,0,0,,0,1,1,4,0,2,2,3,5,2.9,15.75,14.2,-7.5,203
Boris Diaw,33-207,PF,11/9/2015,SAS,@,SAC,W,0,20,3,4,0.75,3,3,1,0,1,0,0,0,,0,2,2,5,0,0,1,1,6,7.1,15.50,14.9,-7.5,203
Rasual Butler,36-170,SG,11/9/2015,SAS,@,SAC,W,0,14,3,5,0.6,3,3,1,0,2,0,0,0,,0,2,2,2,2,0,0,0,6,7.7,15.50,15.4,-7.5,203
Willie Cauley-Stein,22-083,C,11/9/2015,SAC,,SAS,L,1,22,2,3,0.667,2,3,0.667,0,0,,0,0,,1,5,6,0,1,0,0,2,4,5.1,13.50,13.2,7.5,203
Ben McLemore,22-271,SG,11/9/2015,SAC,,SAS,L,0,13,2,6,0.333,1,3,0.333,1,3,0.333,2,2,1,1,0,1,0,0,0,0,0,7,4.3,8.75,8.2,7.5,203
Kyle Anderson,22-050,SF,11/9/2015,SAS,@,SAC,W,0,10,0,3,0,0,3,0,0,0,,0,0,,2,2,4,0,0,1,0,1,0,0.2,7.00,6.8,-7.5,203
Quincy Acy,25-034,PF,11/9/2015,SAC,,SAS,L,0,3,1,1,1,0,0,,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,3.50,3,7.5,203
Boban Marjanovic,27-086,C,11/9/2015,SAS,@,SAC,W,0,3,1,2,0.5,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1,2.00,2,-7.5,203
Ray McCallum,24-150,PG,11/9/2015,SAS,@,SAC,W,0,3,0,1,0,0,1,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-1,1.00,0.5,-7.5,203
James Anderson,26-229,SG,11/9/2015,SAC,,SAS,L,1,7,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0.00,0,7.5,203
Kawhi Leonard,24-126,SF,11/2/2015,SAS,@,NYK,W,1,36,8,16,0.5,7,12,0.583,1,4,0.25,1,1,1,2,12,14,1,2,4,2,4,18,16.9,50.00,46.3,-7.5,203
Tim Duncan,39-191,PF,11/2/2015,SAS,@,NYK,W,1,35,6,10,0.6,6,10,0.6,0,0,,4,6,0.667,1,9,10,6,1,2,1,4,16,18,44.5,42,-7.5,203
Kristaps Porzingis,20-092,PF,11/2/2015,NYK,,SAS,L,1,24,5,15,0.333,4,10,0.4,1,5,0.2,2,2,1,8,6,14,1,3,2,2,5,13,13,43.00,39.3,7.5,203
Carmelo Anthony,31-157,SF,11/2/2015,NYK,,SAS,L,1,35,4,17,0.235,3,14,0.214,1,3,0.333,10,12,0.833,3,4,7,2,1,0,1,3,19,11.4,32.75,31.4,7.5,203
LaMarcus Aldridge,30-106,PF,11/2/2015,SAS,@,NYK,W,1,32,8,15,0.533,8,15,0.533,0,0,,3,4,0.75,1,5,6,0,0,0,2,1,19,11.1,25.50,24.2,-7.5,203
Robin Lopez,27-215,C,11/2/2015,NYK,,SAS,L,1,32,5,12,0.417,5,12,0.417,0,0,,0,0,,1,4,5,4,1,0,1,2,10,7.5,23.75,23,7.5,203
Tony Parker,33-169,PG,11/2/2015,SAS,@,NYK,W,1,29,7,12,0.583,7,12,0.583,0,0,,2,2,1,0,1,1,3,0,0,0,0,16,12.8,21.75,21.7,-7.5,203
Jerian Grant,23-024,PG,11/2/2015,NYK,,SAS,L,0,23,5,8,0.625,5,8,0.625,0,0,,2,3,0.667,0,4,4,3,0,0,1,2,12,9.5,21.00,20.3,7.5,203
Kyle O'Quinn,25-221,PF,11/2/2015,NYK,,SAS,L,0,19,3,6,0.5,3,6,0.5,0,0,,0,0,,2,3,5,1,1,0,0,3,6,5.8,15.75,15.5,7.5,203
Langston Galloway,23-328,SG,11/2/2015,NYK,,SAS,L,0,29,2,5,0.4,2,5,0.4,0,0,,2,4,0.5,1,4,5,1,1,0,1,0,6,5.1,15.25,14.5,7.5,203
Patrick Mills,27-083,PG,11/2/2015,SAS,@,NYK,W,0,25,2,6,0.333,1,3,0.333,1,3,0.333,0,0,,0,2,2,2,2,0,1,1,5,4.2,14.50,13.4,-7.5,203
Danny Green,28-133,SG,11/2/2015,SAS,@,NYK,W,1,27,2,6,0.333,2,4,0.5,0,2,0,0,0,,2,3,5,1,0,1,1,0,4,3.3,13.25,12.5,-7.5,203
Boris Diaw,33-200,PF,11/2/2015,SAS,@,NYK,W,0,20,2,6,0.333,1,4,0.25,1,2,0.5,1,2,0.5,1,3,4,1,0,0,3,2,6,0.7,11.5,9.3,-7.5,203
Jose Calderon,34-035,PG,11/2/2015,NYK,,SAS,L,1,23,2,5,0.4,0,3,0,2,2,1,0,0,,0,0,0,2,1,0,1,2,6,3.9,11.50,10,7.5,203
Manu Ginobili,38-097,SG,11/2/2015,SAS,@,NYK,W,0,17,3,5,0.6,2,3,0.667,1,2,0.5,0,0,,0,0,0,3,0,0,2,0,7,4.8,11,9.5,-7.5,203
David West,35-065,PF,11/2/2015,SAS,@,NYK,W,0,7,1,1,1,1,1,1,0,0,,0,0,,1,1,2,3,1,0,1,0,2,4.8,10.50,9.9,-7.5,203
Sasha Vujacic,31-239,SG,11/2/2015,NYK,,SAS,L,1,20,1,7,0.143,1,5,0.2,0,2,0,0,0,,2,2,4,3,0,0,2,0,2,-0.4,10.50,9.3,7.5,203
Derrick Williams,24-161,SF,11/2/2015,NYK,,SAS,L,0,11,3,7,0.429,3,6,0.5,0,1,0,0,0,,0,2,2,0,0,1,1,0,6,2.6,10.00,9.4,7.5,203
Kevin Seraphin,25-330,PF,11/2/2015,NYK,,SAS,L,0,5,1,3,0.333,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,0,1,2,0.5,4.50,4.4,7.5,203
Kyle Anderson,22-043,SF,11/2/2015,SAS,@,NYK,W,0,6,0,1,0,0,1,0,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,2.75,2.7,-7.5,203
Lance Thomas,27-192,SF,11/2/2015,NYK,,SAS,L,0,16,1,4,0.25,1,4,0.25,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-0.4,2.00,2,7.5,203
Cleanthony Early,24-199,SF,11/2/2015,NYK,,SAS,L,0,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1.25,1.2,7.5,203
Boban Marjanovic,27-079,C,11/2/2015,SAS,@,NYK,W,0,1,0,0,,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,1.00,1,-7.5,203
Rasual Butler,36-163,SG,11/2/2015,SAS,@,NYK,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-7.5,203
