Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames
Wesley Matthews,Jamal Crawford,Bojan Bogdanovic,Giannis Antetokounmpo,Stephen Curry,Trevor Booker,Hassan Whiteside,John Henson,DAL,LAC,BKN,MIL,GS,BKN,MIA,MIL,SG,SG,SG,PG,PG,PF,C,C,273.278,240.75,41,Dec12016,6
Jabari Parker,Wesley Matthews,Goran Dragic,Tyler Johnson,Trevor Booker,Rudy Gobert,Nikola Vucevic,LeBron James,MIL,DAL,MIA,MIA,BKN,UTA,ORL,CLE,SF,SG,PG,PG,PF,C,C,SF,279.148,240.0,5,Dec12016,6
Kevin Love,Jabari Parker,Evan Fournier,Wesley Matthews,Wayne Ellington,Giannis Antetokounmpo,Trevor Booker,DeAndre Jordan,CLE,MIL,ORL,DAL,MIA,MIL,BKN,LAC,PF,SF,SG,SG,SG,PG,PF,C,278.508,238.25,6,Dec12016,6
Evan Fournier,Wesley Matthews,Bojan Bogdanovic,Giannis Antetokounmpo,Kemba Walker,Frank Kaminsky,Rudy Gobert,Nikola Vucevic,ORL,DAL,BKN,MIL,CHA,CHA,UTA,ORL,SG,SG,SG,PG,PG,PF,C,C,275.108,235.25,23,Dec12016,6
Harrison Barnes,Kevin Love,Klay Thompson,Wesley Matthews,Giannis Antetokounmpo,Sean Kilpatrick,Andrew Harrison,Cody Zeller,DAL,CLE,GS,DAL,MIL,BKN,MEM,CHA,SF,PF,SG,SG,PG,PG,PG,C,273.748,235.25,38,Dec12016,6
Kevin Love,Wesley Matthews,Michael Beasley,Giannis Antetokounmpo,Deron Williams,Matthew Dellavedova,Nikola Vucevic,LeBron James,CLE,DAL,MIL,MIL,DAL,MIL,ORL,CLE,PF,SG,SF,PG,PG,PG,C,SF,274.618,232.25,28,Dec12016,6
Jabari Parker,Gordon Hayward,Wayne Ellington,Andrew Harrison,Trevor Booker,Hassan Whiteside,Clint Capela,LeBron James,MIL,UTA,MIA,MEM,BKN,MIA,HOU,CLE,SF,SF,SG,PG,PF,C,C,SF,273.088,228.25,44,Dec12016,6
Kevin Love,Nicolas Batum,Stephen Curry,Sean Kilpatrick,Andrew Harrison,Trevor Booker,JaMychal Green,Clint Capela,CLE,CHA,GS,BKN,MEM,BKN,MEM,HOU,PF,SG,PG,PG,PG,PF,PF,C,273.218,224.75,43,Dec12016,6
Kevin Love,Jabari Parker,Wesley Matthews,Kemba Walker,Goran Dragic,Andrew Harrison,JaMychal Green,Hassan Whiteside,CLE,MIL,DAL,CHA,MIA,MEM,MEM,MIA,PF,SF,SG,PG,PG,PG,PF,C,276.658,222.0,17,Dec12016,6
Luol Deng,Jamal Crawford,John Wall,Tyler Johnson,Patrick Beverley,Blake Griffin,Hassan Whiteside,Nikola Jokic,LAL,LAC,WAS,MIA,HOU,LAC,MIA,DEN,SF,SG,PG,PG,PG,PF,C,C,278.628,301.25,39,Dec122016,7
John Henson,Paul George,Bradley Beal,Glenn Robinson III,John Wall,Goran Dragic,Patrick Beverley,Nikola Jokic,MIL,IND,WAS,IND,WAS,MIA,HOU,DEN,C,SF,SG,SF,PG,PG,PG,C,279.508,293.5,28,Dec122016,7
Luol Deng,Wesley Matthews,Eric Gordon,Bojan Bogdanovic,John Wall,Ryan Anderson,DeMarcus Cousins,Brook Lopez,LAL,DAL,HOU,BKN,WAS,HOU,SAC,BKN,SF,SG,SG,SG,PG,PF,PF,C,280.038,292.0,24,Dec122016,7
Luol Deng,Lou Williams,Glenn Robinson III,Kyle Lowry,Deron Williams,Patrick Beverley,DeMarcus Cousins,Nikola Jokic,LAL,LAL,IND,TOR,DAL,HOU,SAC,DEN,SF,SG,SF,PG,PG,PG,PF,C,280.698,291.5,16,Dec122016,7
Bradley Beal,Bojan Bogdanovic,Dorian Finney-Smith,Giannis Antetokounmpo,John Wall,Matthew Dellavedova,Ryan Anderson,Hassan Whiteside,WAS,BKN,DAL,MIL,WAS,MIL,HOU,MIA,SG,SG,SF,PG,PG,PG,PF,C,278.998,289.0,33,Dec122016,7
Jusuf Nurkic,Sean Kilpatrick,Nicolas Batum,John Wall,Deron Williams,Blake Griffin,Ryan Anderson,Nikola Jokic,DEN,BKN,CHA,WAS,DAL,LAC,HOU,DEN,C,SG,SG,PG,PG,PF,PF,C,278.858,287.5,35,Dec122016,7
Harrison Barnes,Wesley Matthews,Eric Gordon,John Wall,Deron Williams,Matthew Dellavedova,Hassan Whiteside,Nikola Jokic,DAL,DAL,HOU,WAS,DAL,MIL,MIA,DEN,SF,SG,SG,PG,PG,PG,C,C,282.688,287.0,6,Dec122016,7
Luol Deng,Wesley Matthews,Sean Kilpatrick,Giannis Antetokounmpo,Deron Williams,Patrick Beverley,Hassan Whiteside,Brook Lopez,LAL,DAL,BKN,MIL,DAL,HOU,MIA,BKN,SF,SG,SG,PG,PG,PG,C,C,280.838,286.75,14,Dec122016,7
