Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Justise Winslow,SF,11/6/2015,MIA,@,IND,L,0,31,6,10,0.6,6,9,0.667,0,1,0,1,1,1,2,6,8,1,0,0,0,5,13,10.3,24.5,24.1,-1,195
Rudy Gay,SF,11/6/2015,SAC,,HOU,L,1,26,5,15,0.333,4,13,0.308,1,2,0.5,4,6,0.667,1,4,5,2,1,0,2,4,15,6.4,25.75,24,4,219
Jordan Clarkson,PG,11/6/2015,LAL,@,BRK,W,1,33,6,12,0.5,5,8,0.625,1,4,0.25,3,4,0.75,1,1,2,3,2,0,3,2,16,10.9,26,23.9,3,207.5
Kenneth Faried,PF,11/6/2015,DEN,@,GSW,L,1,21,4,9,0.444,4,9,0.444,0,0,,0,0,,3,8,11,1,0,1,1,2,8,7.4,24.75,23.7,17.5,211
Gary Harris,SG,11/6/2015,DEN,@,GSW,L,1,29,6,8,0.75,4,6,0.667,2,2,1,2,2,1,0,3,3,2,1,0,1,1,16,14.7,25.25,23.6,17.5,211
Dwyane Wade,SG,11/6/2015,MIA,@,IND,L,1,30,4,15,0.267,4,11,0.364,0,4,0,1,2,0.5,1,0,1,6,1,1,0,2,9,5.5,23.25,23.2,-1,195
Kobe Bryant,SG,11/6/2015,LAL,@,BRK,W,1,31,5,16,0.313,4,12,0.333,1,4,0.25,7,8,0.875,0,3,3,3,0,0,3,3,18,7.2,25.25,23.1,3,207.5
Ty Lawson,PG,11/6/2015,HOU,@,SAC,W,1,41,5,12,0.417,2,6,0.333,3,6,0.5,0,0,,2,3,5,2,2,0,3,4,13,7.7,26.25,23,-4,219
Kentavious Caldwell-Pope,SG,11/6/2015,DET,@,PHO,W,1,36,8,10,0.8,7,9,0.778,1,1,1,1,1,1,0,2,2,1,1,0,1,1,18,15.1,24,22.9,4.5,199
Rondae Hollis-Jefferson,SF,11/6/2015,BRK,,LAL,L,1,25,2,3,0.667,2,3,0.667,0,0,,1,4,0.25,4,7,11,3,1,0,2,5,5,6.5,24.25,22.7,-3,207.5
C.J. Watson,PG,11/6/2015,ORL,,TOR,W,0,27,4,10,0.4,2,6,0.333,2,4,0.5,2,2,1,1,4,5,3,0,0,0,4,12,9,23.75,22.5,6,196.5
Hollis Thompson,SG,11/6/2015,PHI,@,CLE,L,0,26,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,1,7,8,3,0,0,0,2,8,9.1,23.5,22.1,13.5,196
Jordan Hill,C,11/6/2015,IND,,MIA,W,0,24,5,10,0.5,5,10,0.5,0,0,,0,0,,3,7,10,0,0,1,2,2,10,7.1,23.5,22,1,195
Khris Middleton,SG,11/6/2015,MIL,@,NYK,W,1,38,3,9,0.333,2,6,0.333,1,3,0.333,6,6,1,0,5,5,2,1,0,2,5,13,7.8,23.75,22,1.5,196.5
Isaiah Canaan,PG,11/6/2015,PHI,@,CLE,L,0,22,5,8,0.625,2,3,0.667,3,5,0.6,4,4,1,0,0,0,4,0,0,1,1,17,14.8,24,22,13.5,196
Luis Scola,PF,11/6/2015,TOR,@,ORL,L,1,21,3,11,0.273,2,10,0.2,1,1,1,0,0,,3,3,6,5,1,0,2,1,7,5.6,23.5,21.7,-6,196.5
Dennis Schroder,PG,11/6/2015,ATL,@,NOP,W,0,19,6,8,0.75,3,4,0.75,3,4,0.75,0,0,,0,0,0,5,0,0,1,0,15,14.3,23.5,21.5,-2.5,206
Greivis Vasquez,PG,11/6/2015,MIL,@,NYK,W,0,31,3,8,0.375,2,4,0.5,1,4,0.25,1,1,1,0,4,4,5,1,0,1,2,8,7.5,22.5,21.3,1.5,196.5
Dewayne Dedmon,C,11/6/2015,ORL,,TOR,W,1,30,3,5,0.6,3,5,0.6,0,0,,4,6,0.667,0,4,4,1,0,3,1,6,10,7.5,22,21.3,6,196.5
Ian Mahinmi,C,11/6/2015,IND,,MIA,W,1,25,3,8,0.375,3,8,0.375,0,0,,0,2,0,1,5,6,2,0,3,1,3,6,4.3,22,21.2,1,195
P.J. Tucker,SF,11/6/2015,PHO,,DET,L,1,34,2,4,0.5,1,2,0.5,1,2,0.5,0,0,,2,8,10,2,1,0,1,2,5,7.4,22.5,21,-4.5,199
Andre Iguodala,SF,11/6/2015,GSW,,DEN,W,0,23,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,2,2,7,2,1,0,2,2,7.7,21,20.9,-17.5,211
Greg Monroe,PF,11/6/2015,MIL,@,NYK,W,1,23,3,12,0.25,3,12,0.25,0,0,,2,2,1,4,3,7,3,0,1,3,2,8,3.5,21.75,19.9,1.5,196.5
Monta Ellis,SG,11/6/2015,IND,,MIA,W,1,36,2,8,0.25,2,6,0.333,0,2,0,0,0,,0,4,4,8,1,0,3,1,4,3.6,21.5,19.8,1,195
Jerami Grant,SF,11/6/2015,PHI,@,CLE,L,1,27,3,5,0.6,3,3,1,0,2,0,2,4,0.5,1,3,4,2,0,2,0,3,8,8.1,20,19.8,13.5,196
Nik Stauskas,SG,11/6/2015,PHI,@,CLE,L,1,38,6,10,0.6,4,4,1,2,6,0.333,0,0,,0,3,3,2,1,0,3,2,14,8.9,22.25,19.6,13.5,196
Richard Jefferson,SF,11/6/2015,CLE,,PHI,W,0,29,7,11,0.636,4,8,0.5,3,3,1,0,0,,0,1,1,2,0,0,2,3,17,10.6,21.75,19.2,-13.5,196
Timofey Mozgov,C,11/6/2015,CLE,,PHI,W,1,19,6,7,0.857,6,7,0.857,0,0,,1,2,0.5,2,4,6,0,0,0,1,2,13,10.9,20,19.2,-13.5,196
Cory Joseph,PG,11/6/2015,TOR,@,ORL,L,0,29,7,9,0.778,7,8,0.875,0,1,0,5,6,0.833,0,1,1,0,0,0,1,2,19,13.6,19.75,19.2,-6,196.5
Jameer Nelson,PG,11/6/2015,DEN,@,GSW,L,0,21,4,8,0.5,2,2,1,2,6,0.333,0,0,,0,1,1,5,2,0,4,3,10,6.6,21.75,18.7,17.5,211
Luke Babbitt,SF,11/6/2015,NOP,,ATL,L,1,29,5,10,0.5,4,4,1,1,6,0.167,2,2,1,0,4,4,1,0,0,1,5,13,6.9,19.5,18.3,2.5,206
Derrick Williams,SF,11/6/2015,NYK,,MIL,L,0,20,4,11,0.364,4,8,0.5,0,3,0,7,8,0.875,1,0,1,0,1,0,0,1,15,9.8,18.25,18.2,-1.5,196.5
Kris Humphries,PF,11/6/2015,WAS,@,BOS,L,1,21,3,5,0.6,0,1,0,3,4,0.75,0,0,,2,4,6,0,0,1,0,3,9,8.8,20,18.2,1.5,210
George Hill,PG,11/6/2015,IND,,MIA,W,1,40,3,6,0.5,0,2,0,3,4,0.75,3,5,0.6,0,0,0,4,0,0,0,3,12,9.8,19.5,18,1,195
Jared Dudley,SF,11/6/2015,WAS,@,BOS,L,0,27,3,7,0.429,2,3,0.667,1,4,0.25,1,2,0.5,1,6,7,1,1,0,2,0,8,6.1,19.75,17.9,1.5,210
Lou Williams,PG,11/6/2015,LAL,@,BRK,W,0,25,2,9,0.222,2,5,0.4,0,4,0,6,6,1,0,1,1,3,1,0,0,2,10,7.1,17.75,17.7,3,207.5
Kosta Koufos,C,11/6/2015,SAC,,HOU,L,1,25,3,7,0.429,3,7,0.429,0,0,,0,0,,4,3,7,0,1,1,1,3,6,5.5,18.25,17.4,4,219
Tyson Chandler,C,11/6/2015,PHO,,DET,L,1,35,2,3,0.667,2,3,0.667,0,0,,0,0,,2,8,10,0,1,0,1,5,4,4.5,18,17,-4.5,199
Thomas Robinson,PF,11/6/2015,BRK,,LAL,L,0,12,4,6,0.667,4,6,0.667,0,0,,1,2,0.5,2,5,7,0,0,0,1,2,9,7.1,17.25,16.4,-3,207.5
Tristan Thompson,PF,11/6/2015,CLE,,PHI,W,0,23,1,1,1,1,1,1,0,0,,1,2,0.5,2,9,11,0,0,0,0,2,3,5.6,16.75,16.2,-13.5,196
Kyle O'Quinn,PF,11/6/2015,NYK,,MIL,L,0,17,3,5,0.6,3,5,0.6,0,0,,0,0,,2,3,5,0,0,3,2,1,6,5.7,17.25,16,-1.5,196.5
Roy Hibbert,C,11/6/2015,LAL,@,BRK,W,1,27,1,4,0.25,1,4,0.25,0,0,,0,0,,1,6,7,1,0,3,2,4,2,1.3,17.25,15.9,3,207.5
Josh McRoberts,PF,11/6/2015,MIA,@,IND,L,0,17,3,4,0.75,1,1,1,2,3,0.667,0,0,,0,2,2,5,0,0,2,1,8,8.1,18,15.9,-1,195
Jerian Grant,PG,11/6/2015,NYK,,MIL,L,0,23,2,5,0.4,2,3,0.667,0,2,0,4,6,0.667,0,2,2,3,1,0,1,4,8,5.6,16.5,15.9,-1.5,196.5
Otto Porter,SF,11/6/2015,WAS,@,BOS,L,1,24,4,8,0.5,4,5,0.8,0,3,0,1,1,1,0,1,1,3,1,0,1,4,9,5.8,16.25,15.7,1.5,210
Ramon Sessions,PG,11/6/2015,WAS,@,BOS,L,0,20,1,8,0.125,1,8,0.125,0,0,,4,4,1,1,2,3,2,2,0,1,2,6,3.7,16.25,15.6,1.5,210
Robin Lopez,C,11/6/2015,NYK,,MIL,L,1,22,6,9,0.667,6,9,0.667,0,0,,0,0,,0,2,2,0,0,1,1,3,12,7.2,16,15.4,-1.5,196.5
Shabazz Napier,PG,11/6/2015,ORL,,TOR,W,0,17,2,4,0.5,1,2,0.5,1,2,0.5,0,0,,0,2,2,6,0,0,1,1,5,6.4,16.5,15.4,6,196.5
Johnny O'Bryant,PF,11/6/2015,MIL,@,NYK,W,0,16,4,4,1,4,4,1,0,0,,3,5,0.6,2,1,3,0,0,0,0,3,11,9.5,14.75,14.6,1.5,196.5
Goran Dragic,PG,11/6/2015,MIA,@,IND,L,1,31,5,11,0.455,4,9,0.444,1,2,0.5,0,0,,0,2,2,4,0,0,5,4,11,2.1,17.5,14.4,-1,195
Tarik Black,C,11/6/2015,LAL,@,BRK,W,0,18,1,2,0.5,1,2,0.5,0,0,,5,8,0.625,2,4,6,0,1,0,2,4,7,4.8,15.5,14.2,3,207.5
T.J. McConnell,PG,11/6/2015,PHI,@,CLE,L,1,25,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,0,1,1,4,1,0,3,1,8,5.7,16.75,14.2,13.5,196
Matthew Dellavedova,PG,11/6/2015,CLE,,PHI,W,0,26,4,11,0.364,3,9,0.333,1,2,0.5,2,2,1,0,1,1,1,1,0,2,4,11,3.3,15.25,13.7,-13.5,196
Jonas Jerebko,PF,11/6/2015,BOS,,WAS,W,0,20,1,3,0.333,1,3,0.333,0,0,,4,4,1,2,5,7,0,0,0,1,2,6,5.4,14.25,13.4,-1.5,210
Jerryd Bayless,PG,11/6/2015,MIL,@,NYK,W,0,28,2,9,0.222,1,4,0.25,1,5,0.2,0,0,,0,2,2,4,1,0,2,3,5,0.7,15,13.4,1.5,196.5
Nikola Jokic,C,11/6/2015,DEN,@,GSW,L,0,17,2,4,0.5,2,4,0.5,0,0,,0,2,0,2,2,4,1,1,1,1,1,4,4.2,14,13.3,17.5,211
Nick Young,SG,11/6/2015,LAL,@,BRK,W,0,16,3,9,0.333,1,4,0.25,2,5,0.4,2,2,1,0,1,1,0,0,1,0,1,10,5.5,14.25,13.2,3,207.5
Dante Cunningham,SF,11/6/2015,NOP,,ATL,L,1,23,3,6,0.5,2,4,0.5,1,2,0.5,1,1,1,0,3,3,1,0,0,0,3,8,5.4,13.75,13.1,2.5,206
Stanley Johnson,SF,11/6/2015,DET,@,PHO,W,0,22,2,5,0.4,2,3,0.667,0,2,0,1,3,0.333,0,5,5,2,1,0,3,5,5,0.4,14.75,13,4.5,199
Lavoy Allen,C,11/6/2015,IND,,MIA,W,1,23,2,4,0.5,2,4,0.5,0,0,,0,2,0,1,4,5,2,0,0,0,2,4,3.7,13.25,13,1,195
Ersan Ilyasova,PF,11/6/2015,DET,@,PHO,W,1,21,2,6,0.333,1,3,0.333,1,3,0.333,1,1,1,1,3,4,0,1,1,2,2,6,3.1,14.5,12.8,4.5,199
Evan Fournier,SG,11/6/2015,ORL,,TOR,W,1,28,3,11,0.273,2,7,0.286,1,4,0.25,4,4,1,0,1,1,1,0,0,1,1,11,4.1,13.75,12.7,6,196.5
Chuck Hayes,PF,11/6/2015,HOU,@,SAC,W,0,15,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,7,7,2,0,0,3,4,4,1.9,14.25,12.4,-4,219
Tyler Ennis,PG,11/6/2015,MIL,@,NYK,W,1,17,1,4,0.25,1,4,0.25,0,0,,2,2,1,1,3,4,3,0,0,1,3,4,3.1,13,12.3,1.5,196.5
Jrue Holiday,PG,11/6/2015,NOP,,ATL,L,1,23,1,2,0.5,0,0,,1,2,0.5,1,2,0.5,0,1,1,8,1,0,7,0,4,2.5,16.25,12.2,2.5,206
Ronnie Price,PG,11/6/2015,PHO,,DET,L,0,12,2,6,0.333,0,1,0,2,5,0.4,0,0,,0,1,1,2,0,1,0,4,6,3.4,13.25,12.2,-4.5,199
DeMarre Carroll,SF,11/6/2015,TOR,@,ORL,L,1,36,3,13,0.231,2,8,0.25,1,5,0.2,2,2,1,0,1,1,2,0,0,1,2,9,1,13.25,12.2,-6,196.5
Metta World Peace,SF,11/6/2015,LAL,@,BRK,W,0,17,1,3,0.333,0,0,,1,3,0.333,0,0,,0,3,3,1,1,1,0,0,3,4.6,12.75,12.1,3,207.5
Tiago Splitter,C,11/6/2015,ATL,@,NOP,W,0,20,1,5,0.2,1,5,0.2,0,0,,4,4,1,2,3,5,0,0,0,0,1,6,4.8,12.25,12,-2.5,206
Kelly Oubre,SF,11/6/2015,WAS,@,BOS,L,0,14,3,9,0.333,3,5,0.6,0,4,0,1,3,0.333,0,2,2,2,0,0,1,3,7,0.9,12,11.4,1.5,210
Steve Blake,PG,11/6/2015,DET,@,PHO,W,0,18,3,6,0.5,1,3,0.333,2,3,0.667,0,0,,0,1,1,2,0,0,1,0,8,5.7,12.75,11.2,4.5,199
Anthony Tolliver,PF,11/6/2015,DET,@,PHO,W,0,25,1,5,0.2,0,0,,1,5,0.2,1,2,0.5,0,6,6,0,0,0,0,2,4,1.5,12,11.2,4.5,199
Tyler Johnson,SG,11/6/2015,MIA,@,IND,L,0,19,2,5,0.4,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,2,1,0,1,2,6,3.8,12.25,11.2,-1,195
Darrell Arthur,PF,11/6/2015,DEN,@,GSW,L,0,12,1,5,0.2,1,4,0.25,0,1,0,2,2,1,2,1,3,1,1,0,0,4,4,2.7,11.25,11.1,17.5,211
Leandro Barbosa,PG,11/6/2015,GSW,,DEN,W,0,12,2,6,0.333,1,3,0.333,1,3,0.333,1,2,0.5,1,2,3,1,1,0,2,3,6,2,12.75,11.1,-17.5,211
Avery Bradley,SG,11/6/2015,BOS,,WAS,W,1,26,2,6,0.333,0,1,0,2,5,0.4,0,0,,0,0,0,2,2,0,2,1,6,3.6,13,11,-1.5,210
Larry Nance Jr.,PF,11/6/2015,LAL,@,BRK,W,0,16,2,4,0.5,2,4,0.5,0,0,,2,4,0.5,0,5,5,0,0,0,1,3,6,2.5,11.75,11,3,207.5
Seth Curry,PG,11/6/2015,SAC,,HOU,L,0,15,3,4,0.75,1,2,0.5,2,2,1,0,0,,0,0,0,2,0,0,0,0,8,7.8,12,11,4,219
Mike Scott,PF,11/6/2015,ATL,@,NOP,W,0,14,3,5,0.6,2,2,1,1,3,0.333,2,2,1,1,1,2,1,0,0,2,1,9,6,12.5,10.9,-2.5,206
Glenn Robinson III,SF,11/6/2015,IND,,MIA,W,0,16,3,5,0.6,3,4,0.75,0,1,0,1,2,0.5,1,1,2,1,0,0,0,0,7,6,11,10.9,1,195
Aaron Gordon,PF,11/6/2015,ORL,,TOR,W,0,12,2,8,0.25,1,5,0.2,1,3,0.333,0,0,,2,2,4,0,0,1,1,2,5,1.1,12,10.8,6,196.5
Terry Rozier,PG,11/6/2015,BOS,,WAS,W,0,19,2,8,0.25,1,5,0.2,1,3,0.333,0,0,,1,0,1,3,0,0,0,2,5,2.2,11.25,10.7,-1.5,210
T.J. Warren,SF,11/6/2015,PHO,,DET,L,0,16,2,6,0.333,2,6,0.333,0,0,,1,2,0.5,2,1,3,0,1,0,0,3,5,2.7,10.75,10.6,-4.5,199
Alexis Ajinca,C,11/6/2015,NOP,,ATL,L,0,9,2,2,1,2,2,1,0,0,,0,0,,0,2,2,0,1,1,0,1,4,5.3,10.5,10.4,2.5,206
Alex Len,C,11/6/2015,PHO,,DET,L,0,9,1,2,0.5,1,2,0.5,0,0,,2,2,1,2,5,7,0,0,0,2,2,4,3.1,11.75,10.4,-4.5,199
Amir Johnson,PF,11/6/2015,BOS,,WAS,W,1,18,2,4,0.5,2,3,0.667,0,1,0,1,2,0.5,2,4,6,0,0,0,2,4,5,1.6,11.5,10.2,-1.5,210
Marreese Speights,C,11/6/2015,GSW,,DEN,W,0,14,1,7,0.143,1,6,0.167,0,1,0,1,2,0.5,2,4,6,0,1,0,2,2,3,-1.1,11.5,10.2,-17.5,211
James Jones,SG,11/6/2015,CLE,,PHI,W,0,13,1,6,0.167,0,2,0,1,4,0.25,0,0,,2,2,4,2,0,0,1,1,3,1.2,11,9.8,-13.5,196
Mario Hezonja,SG,11/6/2015,ORL,,TOR,W,0,22,2,6,0.333,2,2,1,0,4,0,2,2,1,0,0,0,1,1,0,0,0,6,4.3,9.5,9.5,6,196.5
Tyler Zeller,C,11/6/2015,BOS,,WAS,W,0,5,3,4,0.75,3,4,0.75,0,0,,1,2,0.5,1,1,2,0,0,0,0,2,7,5.2,9.5,9.4,-1.5,210
Luol Deng,SF,11/6/2015,MIA,@,IND,L,1,26,4,7,0.571,3,5,0.6,1,2,0.5,0,0,,1,1,2,0,0,0,2,1,9,4.3,11,9.4,-1,195
Marco Belinelli,SG,11/6/2015,SAC,,HOU,L,1,23,2,10,0.2,2,5,0.4,0,5,0,1,2,0.5,0,1,1,2,0,0,0,0,5,0.1,9.25,9.2,4,219
Bismack Biyombo,C,11/6/2015,TOR,@,ORL,L,0,16,1,5,0.2,1,5,0.2,0,0,,0,1,0,2,4,6,0,0,0,0,1,2,0.7,9.5,9.2,-6,196.5
James Michael McAdoo,PF,11/6/2015,GSW,,DEN,W,0,10,1,4,0.25,1,4,0.25,0,0,,1,4,0.25,2,0,2,1,1,0,0,0,3,2.5,9,8.9,-17.5,211
Jose Calderon,PG,11/6/2015,NYK,,MIL,L,1,16,0,3,0,0,0,,0,3,0,0,0,,1,1,2,5,0,0,1,2,0,0.6,9.5,8.9,-1.5,196.5
Shaun Livingston,PG,11/6/2015,GSW,,DEN,W,0,19,1,2,0.5,1,2,0.5,0,0,,0,0,,2,2,4,2,0,1,3,2,2,1.3,10.5,8.8,-17.5,211
Rodney Stuckey,SG,11/6/2015,IND,,MIA,W,0,10,3,6,0.5,3,6,0.5,0,0,,0,0,,0,1,1,1,0,0,0,0,6,4,8.75,8.7,1,195
JaKarr Sampson,SF,11/6/2015,PHI,@,CLE,L,0,10,2,3,0.667,2,3,0.667,0,0,,1,2,0.5,0,2,2,0,1,0,1,4,5,2.3,9,8.4,13.5,196
Sasha Vujacic,SG,11/6/2015,NYK,,MIL,L,1,27,1,5,0.2,1,2,0.5,0,3,0,0,0,,0,4,4,3,0,0,3,3,2,-2,10,8.3,-1.5,196.5
James Anderson,SG,11/6/2015,SAC,,HOU,L,1,18,0,4,0,0,1,0,0,3,0,2,2,1,1,4,5,0,0,0,0,0,2,1.1,8.25,8,4,219
Nene Hilario,PF,11/6/2015,WAS,@,BOS,L,0,15,1,4,0.25,1,4,0.25,0,0,,3,4,0.75,2,2,4,0,0,0,2,1,5,1.8,9,7.8,1.5,210
Corey Brewer,SF,11/6/2015,HOU,@,SAC,W,0,17,1,1,1,1,1,1,0,0,,2,2,1,1,0,1,1,1,0,1,3,4,3.9,8.25,7.7,-4,219
Jabari Parker,PF,11/6/2015,MIL,@,NYK,W,1,18,3,6,0.5,3,6,0.5,0,0,,0,0,,0,1,1,1,0,0,1,1,6,2.6,8.25,7.7,1.5,196.5
Channing Frye,PF,11/6/2015,ORL,,TOR,W,0,14,2,4,0.5,1,1,1,1,3,0.333,0,0,,0,3,3,0,0,0,1,3,5,1.7,8.75,7.6,6,196.5
Patrick Patterson,PF,11/6/2015,TOR,@,ORL,L,0,22,0,6,0,0,2,0,0,4,0,0,0,,1,2,3,2,0,1,1,3,0,-3,8.25,7.6,-6,196.5
Aron Baynes,C,11/6/2015,DET,@,PHO,W,0,12,1,1,1,1,1,1,0,0,,2,2,1,0,0,0,1,1,0,0,3,4,4.2,7.5,7.5,4.5,199
Lance Thomas,SF,11/6/2015,NYK,,MIL,L,0,17,2,5,0.4,2,4,0.5,0,1,0,1,1,1,0,2,2,0,0,0,0,1,5,2.5,7.5,7.4,-1.5,196.5
Jon Leuer,PF,11/6/2015,PHO,,DET,L,0,13,1,4,0.25,0,2,0,1,2,0.5,0,0,,2,2,4,1,0,0,2,1,3,0.9,9,7.3,-4.5,199
Anthony Bennett,SF,11/6/2015,TOR,@,ORL,L,0,6,0,2,0,0,0,,0,2,0,2,2,1,1,0,1,0,2,0,0,0,2,3.3,7.25,7.2,-6,196.5
Bojan Bogdanovic,SF,11/6/2015,BRK,,LAL,L,0,22,2,4,0.5,1,1,1,1,3,0.333,0,0,,0,1,1,0,1,0,1,2,5,2.5,8.25,7.2,-3,207.5
Justin Holiday,SG,11/6/2015,ATL,@,NOP,W,0,15,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2,1,0,0,1,2,4,2.2,7.5,6.9,-2.5,206
Mario Chalmers,PG,11/6/2015,MIA,@,IND,L,0,19,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,1,1,1,1,0,0,3,2,1.1,6.75,6.7,-1,195
David Lee,PF,11/6/2015,BOS,,WAS,W,0,13,1,4,0.25,1,4,0.25,0,0,,0,0,,0,3,3,0,1,0,1,3,2,-0.7,7.25,6.6,-1.5,210
Mike Miller,SG,11/6/2015,DEN,@,GSW,L,0,8,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,2,0,0,1,0,1.5,6.5,6.4,17.5,211
Jordan Mickey,PF,11/6/2015,BOS,,WAS,W,0,3,1,2,0.5,1,2,0.5,0,0,,1,1,1,1,0,1,0,0,1,0,0,3,3.4,6.25,6.2,-1.5,210
Richaun Holmes,PF,11/6/2015,PHI,@,CLE,L,0,12,1,2,0.5,1,2,0.5,0,0,,1,2,0.5,1,0,1,2,0,0,1,1,3,2.3,6.75,6.2,13.5,196
J.J. Hickson,PF,11/6/2015,DEN,@,GSW,L,0,7,2,3,0.667,2,3,0.667,0,0,,1,2,0.5,1,0,1,0,0,1,2,2,5,1.9,7.25,6.2,17.5,211
Phil Pressey,PG,11/6/2015,PHI,@,CLE,L,0,8,1,4,0.25,0,2,0,1,2,0.5,0,0,,0,1,1,1,1,0,2,0,3,0.6,7.25,5.7,13.5,196
Garrett Temple,SG,11/6/2015,WAS,@,BOS,L,0,11,1,3,0.333,0,1,0,1,2,0.5,2,2,1,0,1,1,0,0,0,1,0,5,2.6,6.25,5.2,1.5,210
Ian Clark,SG,11/6/2015,GSW,,DEN,W,0,8,0,2,0,0,1,0,0,1,0,0,0,,0,1,1,3,0,0,1,0,0,0,5.25,4.7,-17.5,211
Randy Foye,PG,11/6/2015,DEN,@,GSW,L,0,18,0,5,0,0,3,0,0,2,0,0,0,,0,3,3,2,0,0,2,0,0,-3.2,5.75,4.6,17.5,211
Lamar Patterson,SG,11/6/2015,ATL,@,NOP,W,0,10,0,1,0,0,1,0,0,0,,0,0,,0,1,1,2,0,0,0,1,0,0.6,4.25,4.2,-2.5,206
Mirza Teletovic,SF,11/6/2015,PHO,,DET,L,0,9,1,2,0.5,0,0,,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,3,2.3,4.75,4.2,-4.5,199
Chris Copeland,PF,11/6/2015,MIL,@,NYK,W,0,9,0,3,0,0,1,0,0,2,0,0,0,,0,2,2,1,0,0,0,0,0,-0.8,4,3.9,1.5,196.5
Jared Cunningham,PG,11/6/2015,CLE,,PHI,W,1,20,0,1,0,0,1,0,0,0,,0,0,,0,1,1,1,1,0,1,2,0,-0.5,4.25,3.7,-13.5,196
Jason Smith,PF,11/6/2015,ORL,,TOR,W,0,8,0,1,0,0,1,0,0,0,,0,0,,0,3,3,0,0,0,0,3,0,-1,3.75,3.6,6,196.5
Montrezl Harrell,PF,11/6/2015,HOU,@,SAC,W,0,7,1,4,0.25,1,4,0.25,0,0,,1,2,0.5,2,0,2,0,0,0,2,1,3,-0.8,4.5,3.4,-4,219
Myles Turner,C,11/6/2015,IND,,MIA,W,0,13,1,4,0.25,1,4,0.25,0,0,,0,0,,0,2,2,0,0,0,1,3,2,-2,4,3.4,1,195
Elfrid Payton,PG,11/6/2015,ORL,,TOR,W,1,15,0,4,0,0,3,0,0,1,0,0,0,,1,1,2,2,0,0,2,2,0,-3.2,4.5,3.4,6,196.5
Wayne Ellington,SG,11/6/2015,BRK,,LAL,L,0,12,1,4,0.25,1,3,0.333,0,1,0,0,0,,0,1,1,0,0,0,0,1,2,-0.5,3.25,3.2,-3,207.5
Chase Budinger,SF,11/6/2015,IND,,MIA,W,0,15,0,2,0,0,0,,0,2,0,3,5,0.6,0,1,1,0,0,0,1,1,3,-0.3,3.75,3.2,1,195
Brandon Bass,PF,11/6/2015,LAL,@,BRK,W,0,3,1,1,1,1,1,1,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2,3.25,3.2,3,207.5
Miles Plumlee,C,11/6/2015,MIL,@,NYK,W,0,2,1,1,1,1,1,1,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,3.25,3.2,1.5,196.5
Anderson Varejao,C,11/6/2015,CLE,,PHI,W,0,7,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,1,0,1,1,2,1.3,3.5,3,-13.5,196
Jason Terry,PG,11/6/2015,HOU,@,SAC,W,0,13,1,3,0.333,1,1,1,0,2,0,0,0,,0,1,1,0,0,0,1,0,2,-0.4,2.75,2.2,-4,219
Toney Douglas,PG,11/6/2015,NOP,,ATL,L,0,8,1,3,0.333,0,1,0,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,3,0.3,3,2,2.5,206
Terrence Ross,SG,11/6/2015,TOR,@,ORL,L,0,15,0,3,0,0,1,0,0,2,0,0,0,,0,0,0,0,1,0,0,2,0,-1.9,2,2,-6,196.5
Shane Larkin,PG,11/6/2015,BRK,,LAL,L,0,10,0,2,0,0,1,0,0,1,0,0,0,,0,1,1,1,0,0,1,4,0,-3,2.25,1.7,-3,207.5
DeJuan Blair,C,11/6/2015,WAS,@,BOS,L,0,8,0,1,0,0,1,0,0,0,,0,0,,1,1,2,0,1,0,3,5,0,-3.7,3,1.4,1.5,210
Sonny Weems,SG,11/6/2015,PHO,,DET,L,0,6,0,2,0,0,2,0,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-2.2,2,1.4,-4.5,199
Jason Thompson,PF,11/6/2015,GSW,,DEN,W,0,7,1,1,1,1,1,1,0,0,,0,0,,0,1,1,0,0,0,2,2,2,-0.8,2.25,1.2,-17.5,211
Gary Neal,SG,11/6/2015,WAS,@,BOS,L,0,17,1,4,0.25,1,3,0.333,0,1,0,0,0,,0,1,1,0,0,0,2,2,2,-2.9,2.25,1.2,1.5,210
R.J. Hunter,SG,11/6/2015,BOS,,WAS,W,0,5,0,3,0,0,1,0,0,2,0,0,0,,0,1,1,0,0,0,0,2,0,-2.6,1.25,1.2,-1.5,210
