Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,14
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,14
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,14
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,14
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,14
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,14
Dec102016,Marc Gasol,C,7900,42.41,44.0,MEM,15
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,15
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,15
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,15
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,15
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,15
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,15
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,15
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,16
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,16
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,16
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,16
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,16
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,16
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,16
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,16
Dec102016,Ed Davis,C,3500,15.11,26.5,POR,17
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,17
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,17
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,17
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,17
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,17
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,17
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,17
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,18
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,18
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,18
Dec102016,Jimmy Butler,SG/SF,8200,45.55,52.25,CHI,18
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,18
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,18
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,18
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,18
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,19
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,19
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,19
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,19
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,19
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,19
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,19
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,19
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,20
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,20
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,20
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,20
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,20
Dec102016,Damian Lillard,PG,8400,47.47,51.75,POR,20
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,20
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,20
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,21
Dec102016,Marc Gasol,C,7900,42.41,44.0,MEM,21
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,21
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,21
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,21
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,21
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,21
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,21
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,22
