Name,Average Diff,STD
Eric Gordon,0.32,9.35
Rodney Hood,-1.16,8.05
Evan Fournier,-1.16,9.22
Wesley Matthews,0.17,9.92
Tony Allen,3.64,8.06
Seth Curry,0.99,8.89
Troy Daniels,0.62,9.93
J.J. Redick,-0.41,8.07
Jamal Crawford,-1.1,8.51
Monta Ellis,-3.43,9.31
Gary Harris,1.68,4.95
Rodney McGruder,0.97,7.89
Vince Carter,1.17,7.19
E'Twaun Moore,-0.6,6.75
J.R. Smith,-1.2,7.78
Marco Belinelli,3.19,9.12
Manu Ginobili,2.18,6.68
Danny Green,-0.4,8.5
Buddy Hield,2.39,8.64
Kyle Anderson,-0.84,7.09
Isaiah Canaan,-0.37,8.03
R.J. Hunter,-0.02,0.32
Marcus Thornton,-1.38,8.63
Khris Middleton,0.0,0.0
Sheldon McClellan,-0.74,3.62
Danuel House,0.0,0.36
Rashad Vaughn,-1.56,7.59
Mike Miller,-0.36,3.6
Jodie Meeks,0.71,6.1
C.J. Wilcox,-0.68,3.03
Jonathan Gibson,-1.68,14.82
Nicolas Brussino,-0.08,5.28
James Jones,0.02,5.05
DeAndre Liggins,1.2,6.37
Jordan McRae,-0.4,5.45
Arron Afflalo,-1.7,6.06
Alec Burks,0.0,0.0
Ben McLemore,-1.12,7.05
Malachi Richardson,0.68,3.21
Joe Young,-0.5,6.4
Alan Anderson,-0.47,3.23
Caris LeVert,0.9,2.48
Russell Westbrook,-1.67,12.73
Eric Bledsoe,0.98,12.15
Isaiah Thomas,-0.45,7.04
D'Angelo Russell,-0.78,8.38
Derrick Rose,-0.28,10.36
Brandon Jennings,1.51,8.21
Sergio Rodriguez,-1.28,11.77
Reggie Jackson,-0.28,2.18
Ricky Rubio,-1.98,9.55
Terry Rozier,2.25,7.75
Jerryd Bayless,1.01,4.3
Ish Smith,-1.55,8.49
Marcelo Huertas,-0.46,7.5
Beno Udrih,0.04,6.96
T.J. McConnell,1.27,8.71
John Lucas III,-0.63,1.74
Kris Dunn,-0.05,8.77
Tyus Jones,-0.66,9.0
Semaj Christon,1.19,4.99
Demetrius Jackson,-0.65,4.15
Cameron Payne,0.0,0.0
Tyler Ulis,-0.56,8.23
Jose Calderon,-1.07,5.38
Karl-Anthony Towns,-1.23,11.9
Julius Randle,-2.52,10.8
Gorgui Dieng,-1.71,10.03
Jahlil Okafor,0.8,7.24
Kyle O'Quinn,3.36,9.84
Kelly Olynyk,1.28,9.01
Joffrey Lauvergne,0.63,8.58
Tobias Harris,-2.6,9.89
Marcus Morris,-1.29,8.12
Dario Saric,0.49,11.4
Larry Nance Jr.,1.19,8.94
Luol Deng,0.38,9.61
Nemanja Bjelica,1.51,10.59
Jerami Grant,-0.06,5.78
Lance Thomas,-0.25,4.48
Andre Drummond,-2.0,12.34
Joel Embiid,1.02,14.18
Al Horford,-0.15,8.97
Nerlens Noel,0.38,1.92
Steven Adams,-0.48,8.04
Tyson Chandler,1.95,8.79
Alex Len,0.32,10.01
Enes Kanter,-0.89,12.28
Cole Aldrich,0.05,8.91
Aron Baynes,0.61,7.07
Joakim Noah,-0.54,9.43
Timofey Mozgov,0.92,7.51
Guillermo Hernangomez,1.32,9.29
Boban Marjanovic,-1.49,3.78
Nikola Pekovic,0.0,0.0
Nick Collison,-0.12,3.34
Tyler Zeller,-0.44,7.49
Alan Williams,-0.52,10.72
Tarik Black,1.0,4.84
Marshall Plumlee,0.24,3.07
Ivica Zubac,-0.71,2.49
Carmelo Anthony,-1.06,11.52
Andrew Wiggins,-0.84,13.29
Jae Crowder,-0.42,7.63
T.J. Warren,-1.29,10.15
Robert Covington,-1.79,12.7
Brandon Ingram,1.61,7.37
P.J. Tucker,1.34,10.62
Reggie Bullock,0.21,3.08
Michael Gbinije,-0.14,1.01
Ben Simmons,0.0,0.0
Kyle Singler,-0.58,2.3
Josh Huestis,0.0,0.0
Jaylen Brown,1.3,7.81
Derrick Jones Jr.,0.0,0.0
Metta World Peace,0.05,3.31
Mindaugas Kuzminskas,0.34,6.05
Kristaps Porzingis,-0.31,11.69
Ersan Ilyasova,1.04,10.6
Jon Leuer,0.31,7.45
Richaun Holmes,-2.38,11.88
Jared Dudley,-0.73,8.48
Amir Johnson,-0.73,10.26
Domantas Sabonis,0.37,7.72
Henry Ellenson,-0.44,1.63
Jordan Hill,-0.96,2.67
Adreian Payne,-0.94,5.77
Jonas Jerebko,0.27,4.95
Jordan Mickey,-0.26,3.95
Marquese Chriss,1.01,8.04
Dragan Bender,-0.5,7.29
Thomas Robinson,1.07,6.07
Maurice Ndour,-0.06,4.02
Lou Williams,1.21,11.01
Avery Bradley,1.04,9.78
Victor Oladipo,-3.05,12.19
Zach LaVine,1.2,10.25
Kentavious Caldwell-Pope,-0.86,10.96
Nick Young,0.82,8.67
Nik Stauskas,-0.35,8.35
Courtney Lee,0.06,7.1
Gerald Henderson,-1.0,9.81
Darrun Hilliard,-0.17,5.31
Timothe Luwawu-Cabarrot,-0.05,4.01
Brandon Rush,-0.66,3.64
Gerald Green,-0.78,6.08
Alex Abrines,-0.14,4.03
James Young,-0.28,5.04
John Jenkins,0.14,1.29
Sasha Vujacic,-0.92,5.82
Ron Baker,0.43,4.66
Devin Booker,-1.65,10.25
Marcus Smart,0.14,8.73
Andre Roberson,-0.63,9.27
Hollis Thompson,0.24,8.98
Stanley Johnson,0.5,7.05
Shabazz Muhammad,0.18,5.91
Anthony Morrow,1.0,6.52
Jordan Clarkson,-0.87,8.63
Brandon Knight,-0.07,9.55
Justin Holiday,1.95,8.63
Leandro Barbosa,1.94,8.57
Yogi Ferrell,-0.74,7.86
Bobby Brown,0.05,0.74
Kyle Lowry,0.19,9.13
Cory Joseph,1.39,6.85
Fred VanVleet,0.14,2.05
Delon Wright,0.0,0.0
Patrick Patterson,0.86,6.61
Pascal Siakam,0.15,7.41
Jonas Valanciunas,-2.55,10.93
Lucas Nogueira,2.34,8.52
Jared Sullinger,0.0,0.0
Jakob Poeltl,-0.4,6.26
DeMarre Carroll,-0.46,7.83
DeMar DeRozan,-1.21,8.62
Norman Powell,1.5,7.85
Terrence Ross,1.19,9.88
Bruno Caboclo,-0.13,1.93
Dennis Schroder,0.12,8.89
Malcolm Delaney,1.13,5.86
Mike Muscala,1.7,7.74
Kent Bazemore,-2.23,10.41
Kyle Korver,-0.1,8.03
Paul Millsap,-1.82,11.34
Mike Scott,0.11,2.59
Dwight Howard,-1.75,13.09
Kris Humphries,-1.01,8.43
Tiago Splitter,0.0,0.0
Thabo Sefolosha,1.56,9.11
Ryan Kelly,-0.07,3.16
Taurean Prince,-0.85,7.08
DeAndre' Bembry,-0.49,2.03
Tim Hardaway Jr.,1.06,8.98
Reggie Williams,-4.33,4.01
Jarnell Stokes,0.5,3.03
Archie Goodwin,-1.36,5.05
Willy Hernangomez,1.78,13.53
Lance Stephenson,2.98,11.43
Quincy Acy,-0.91,4.49
Greivis Vasquez,-0.72,2.29
Jordan Farmar,0.55,18.4
Phil Pressey,0.0,0.0
Ryan Arcidiacono,0.0,0.0
Chasson Randle,0.0,0.0
J.P. Tokoto,0.0,0.0
Damien Inglis,-4.25,0.0
Chris Johnson,0.0,0.0
Joel Anthony,0.0,0.0
Livio Jean-Charles,0.0,0.0
Louis Amundson,-1.81,0.0
Cory Jefferson,-8.56,0.0
Jonathan Holmes,0.0,0.0
Grant Jerrett,0.0,0.0
Greg Stiemsma,0.0,0.0
Henry Sims,0.0,0.0
Cameron Jones,0.0,0.0
Elliot Williams,0.0,0.0
Patricio Garino,0.0,0.0
Dahntay Jones,0.0,0.0
John Holland,0.0,0.0
Markel Brown,-8.91,0.0
Donatas Motiejunas,0.0,0.0
Walter Tavares,-0.02,2.68
Sergio  Rodriguez,1.2,0.0
