Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Russell Westbrook,Stephen Curry,Ron Baker,Eric Bledsoe,Nemanja Bjelica,Jerami Grant,Dante Cunningham,Andre Drummond,OKC,GS,NY,PHO,MIN,OKC,NO,DET,PG,PG,SG,PG,SF,SF,SF,C,430.136444582,207.0,49,Dec112016,5,0.0
Jordan Clarkson,Andre Drummond,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Richaun Holmes,Amir Johnson,Domantas Sabonis,LAL,DET,MIN,PHO,GS,PHI,BOS,OKC,PG,C,SF,SF,SF,PF,PF,PF,385.299005378,205.75,58,Dec112016,5,0.0
Russell Westbrook,Andre Roberson,Langston Galloway,Leandro Barbosa,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,OKC,OKC,NO,PHO,NO,MIN,OKC,DET,PG,SG,PG,PG,PF,SF,SF,C,448.307299768,204.25,45,Dec112016,5,0.0
Russell Westbrook,Andre Roberson,Langston Galloway,Leandro Barbosa,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,OKC,OKC,NO,PHO,NO,MIN,OKC,DET,PG,SG,PG,PG,PF,SF,SF,C,522.227636347,204.25,3,Dec112016,5,0.0
Gerald Henderson,Eric Bledsoe,Anthony Davis,Andrew Wiggins,P.J. Tucker,Andre Iguodala,Jon Leuer,Richaun Holmes,PHI,PHO,NO,MIN,PHO,GS,DET,PHI,SG,PG,PF,SF,SF,SF,PF,PF,468.365801856,203.75,25,Dec112016,5,0.0
Stephen Curry,Darrun Hilliard,Timothe Luwawu-Cabarrot,Brandon Rush,Eric Bledsoe,Anthony Davis,Lance Thomas,Andre Drummond,GS,DET,PHI,MIN,PHO,NO,NY,DET,PG,SG,SG,SG,PG,PF,SF,C,403.610202039,202.25,60,Dec112016,5,0.0
Gerald Henderson,Brandon Knight,Justin Holiday,Karl-Anthony Towns,Tobias Harris,Dario Saric,Andre Drummond,Andrew Wiggins,PHI,PHO,NY,MIN,DET,PHI,DET,MIN,SG,PG,PG,PF,SF,SF,C,SF,385.797159741,199.5,56,Dec112016,5,0.0
Stephen Curry,Darrun Hilliard,Timothe Luwawu-Cabarrot,Eric Bledsoe,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,GS,DET,PHI,PHO,NO,MIN,OKC,DET,PG,SG,SG,PG,PF,SF,SF,C,448.536459293,197.0,19,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Leandro Barbosa,Ian Clark,Anthony Davis,Dario Saric,Larry Nance Jr.,Andrew Wiggins,OKC,PHI,PHO,GS,NO,PHI,LAL,MIN,PG,SG,PG,PG,PF,SF,SF,SF,505.485084648,196.25,57,Dec112016,5,0.0
Russell Westbrook,Jonas Jerebko,Jordan Mickey,Andre Roberson,Brandon Knight,Justin Holiday,Anthony Davis,Andre Drummond,OKC,BOS,BOS,OKC,PHO,NY,NO,DET,PG,PF,PF,SG,PG,PG,PF,C,411.492129805,195.75,69,Dec112016,5,0.0
Russell Westbrook,Ron Baker,Andre Roberson,Ian Clark,Anthony Davis,Jahlil Okafor,Dario Saric,P.J. Tucker,OKC,NY,OKC,GS,NO,PHI,PHI,PHO,PG,SG,SG,PG,PF,PF,SF,SF,469.311382964,195.75,4,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Jordan Clarkson,Ian Clark,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,LAL,GS,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,537.476565051,191.75,73,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Jordan Clarkson,Ian Clark,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,LAL,GS,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,496.554763953,191.75,34,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Jordan Clarkson,Ian Clark,Tobias Harris,Dario Saric,Larry Nance Jr.,Andre Drummond,OKC,PHI,LAL,GS,DET,PHI,LAL,DET,PG,SG,PG,PG,SF,SF,SF,C,502.895798685,191.75,2,Dec112016,5,0.0
Andre Roberson,Jordan Clarkson,Ian Clark,Eric Bledsoe,Anthony Davis,Andrew Wiggins,Richaun Holmes,Domantas Sabonis,OKC,LAL,GS,PHO,NO,MIN,PHI,OKC,SG,PG,PG,PG,PF,SF,PF,PF,482.31235524,189.5,64,Dec112016,5,0.0
Russell Westbrook,E'Twaun Moore,Gerald Henderson,Ian Clark,Anthony Davis,Dario Saric,Larry Nance Jr.,Andrew Wiggins,OKC,NO,PHI,GS,NO,PHI,LAL,MIN,PG,SG,SG,PG,PF,SF,SF,SF,591.32,188.5,96,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Dragan Bender,Patrick McCaw,Anthony Morrow,Ian Clark,Anthony Davis,Joffrey Lauvergne,OKC,GS,PHO,GS,OKC,GS,NO,OKC,PG,PG,PF,SG,SG,PG,PF,PF,512.077198066,188.25,29,Dec112016,5,0.0
Russell Westbrook,Dragan Bender,Darrun Hilliard,Timothe Luwawu-Cabarrot,Hollis Thompson,Eric Bledsoe,Anthony Davis,Richaun Holmes,OKC,PHO,DET,PHI,PHI,PHO,NO,PHI,PG,PF,SG,SG,SG,PG,PF,PF,447.331525494,187.75,44,Dec112016,5,0.0
Stephen Curry,Ron Baker,Eric Bledsoe,Anthony Davis,Nemanja Bjelica,Jerami Grant,Andre Drummond,Mindaugas Kuzminskas,GS,NY,PHO,NO,MIN,OKC,DET,NY,PG,SG,PG,PF,SF,SF,C,SF,445.869440725,184.0,84,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Nik Stauskas,Buddy Hield,Anthony Davis,Nemanja Bjelica,Jerami Grant,Mindaugas Kuzminskas,OKC,GS,PHI,NO,NO,MIN,OKC,NY,PG,PG,SG,SG,PF,SF,SF,SF,336.93878923,183.0,99,Dec112016,5,0.0
