Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date,Date
Paul Millsap,Brandon Ingram,Wilson Chandler,Giannis Antetokounmpo,Patrick Beverley,Isaiah Whitehead,Andre Drummond,Dwight Howard,ATL,LAL,DEN,MIL,HOU,BKN,DET,ATL,PF,SF,SF/PF,PG,PG,PG,C,C,7100,4500,6300,9800,4500,3400,7500,6800,258.47,372.25,100,Dec72016,2016-12-07
Draymond Green,Joe Ingles,Tony Allen,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,MEM,TOR,PHI,CHI,MEM,UTA,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,4300,8200,5700,5700,7700,6700,262.87,354.75,1,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Tony Allen,Kyle Lowry,Ersan Ilyasova,Marc Gasol,Rudy Gobert,GS,UTA,MIN,MEM,TOR,PHI,MEM,UTA,PF/C,SF,SG,SG,PG,PF,C,C,7300,3400,6100,4300,8200,5700,7700,6700,259.55,354.75,3,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Tony Allen,Kyle Lowry,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,MIN,MEM,TOR,CHI,MEM,UTA,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,6100,4300,8200,5700,7700,6700,260.13,354.75,2,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Sergio Rodriguez,Marc Gasol,Rudy Gobert,GS,UTA,TOR,PHI,CHI,PHI,MEM,UTA,PF/C,SF,PG,PF,PG,PG,C,C,7300,3400,8200,5700,5700,5100,7700,6700,270.07,354.25,4,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Jonas Valanciunas,GS,UTA,MIN,TOR,PHI,CHI,MEM,TOR,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6100,8200,5700,5700,7700,4900,253.12,353.5,5,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Rajon Rondo,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,CHI,UTA,MEM,UTA,PF/C,SF,SG,PG,PG,PG,C,C,7300,3400,6100,8200,5700,4100,7700,6700,262.58,353.25,6,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,TOR,PHI,CHI,UTA,MEM,UTA,PF/C,SF,PG,PF,PG,PG,C,C,7300,3400,8200,5700,5700,4100,7700,6700,265.32,353.25,7,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,PHI,UTA,MEM,UTA,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6100,8200,5700,4100,7700,6700,262.0,353.25,8,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Evan Turner,Kyle Lowry,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,MIN,POR,TOR,CHI,MEM,UTA,PF/C,SF,SG,SG/SF,PG,PG,C,C,7300,3400,6100,4200,8200,5700,7700,6700,262.51,351.75,9,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Evan Turner,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,POR,TOR,PHI,CHI,MEM,UTA,PF/C,SF,SG/SF,PG,PF,PG,C,C,7300,3400,4200,8200,5700,5700,7700,6700,265.25,351.75,10,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Tony Allen,Kyle Lowry,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,WAS,MEM,TOR,CHI,MEM,UTA,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,6700,4300,8200,5700,7700,6700,265.21,351.5,11,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Tony Allen,Kyle Lowry,Ersan Ilyasova,Marc Gasol,Rudy Gobert,GS,UTA,WAS,MEM,TOR,PHI,MEM,UTA,PF/C,SF,SG,SG,PG,PF,C,C,7300,3400,6700,4300,8200,5700,7700,6700,264.63,351.5,12,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Zach LaVine,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,WAS,MIN,PHI,CHI,MEM,UTA,PF/C,SF,SG,SG,PF,PG,C,C,7300,3400,6700,6100,5700,5700,7700,6700,261.39,351.0,15,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Shelvin Mack,Marc Gasol,Kawhi Leonard,GS,UTA,TOR,PHI,CHI,UTA,MEM,SA,PF/C,SF,PG,PF,PG,PG,C,SF,7300,3400,8200,5700,5700,4100,7700,7900,266.35,351.0,13,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Tony Allen,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,GS,UTA,MIN,MEM,TOR,PHI,CHI,MEM,PF/C,SF,SG,SG,PG,PF,PG,C,7300,3400,6100,4300,8200,5700,5700,7700,255.09,351.0,14,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Sergio Rodriguez,Marc Gasol,GS,UTA,MIN,TOR,PHI,CHI,PHI,MEM,PF/C,SF,SG,PG,PF,PG,PG,C,7300,3400,6100,8200,5700,5700,5100,7700,262.29,350.5,16,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Langston Galloway,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,NO,CHI,MEM,UTA,PF/C,SF,SG,PG,PG/SG,PG,C,C,7300,3400,6100,8200,3800,5700,7700,6700,262.68,350.25,17,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Langston Galloway,Ersan Ilyasova,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,NO,PHI,MEM,UTA,PF/C,SF,SG,PG,PG/SG,PF,C,C,7300,3400,6100,8200,3800,5700,7700,6700,262.1,350.25,18,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Kyle Lowry,Langston Galloway,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Rudy Gobert,GS,UTA,TOR,NO,PHI,CHI,MEM,UTA,PF/C,SF,PG,PG/SG,PF,PG,C,C,7300,3400,8200,3800,5700,5700,7700,6700,265.42,350.25,19,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Nikola Jokic,GS,UTA,MIN,TOR,PHI,CHI,MEM,DEN,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6100,8200,5700,5700,7700,5000,257.82,350.25,20,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Zach LaVine,Kyle Lowry,Rajon Rondo,Marc Gasol,Jonas Valanciunas,GS,UTA,WAS,MIN,TOR,CHI,MEM,TOR,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,6700,6100,8200,5700,7700,4900,255.46,350.25,21,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Bradley Beal,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Marc Gasol,Jonas Valanciunas,GS,UTA,WAS,TOR,PHI,CHI,MEM,TOR,PF/C,SF,SG,PG,PF,PG,C,C,7300,3400,6700,8200,5700,5700,7700,4900,258.2,350.25,22,Dec82016,2016-12-08
