PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,
,,,,,,,,,PG,Ryan Arcidiacono (7618117),Ryan Arcidiacono,7618117,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Bryn Forbes (7618118),Bryn Forbes,7618118,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PG,Dejounte Murray (7618119),Dejounte Murray,7618119,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SG/SF,Patrick McCaw (7618136),Patrick McCaw,7618136,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Cameron Jones (7618144),Cameron Jones,7618144,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Elliot Williams (7618146),Elliot Williams,7618146,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,SG,Jonathon Simmons (7618147),Jonathon Simmons,7618147,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SG,Patricio Garino (7618148),Patricio Garino,7618148,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,SF,Davis Bertans (7618172),Davis Bertans,7618172,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,Joel Anthony (7618196),Joel Anthony,7618196,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,James Michael McAdoo (7618197),James Michael McAdoo,7618197,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PF,Livio Jean-Charles (7618198),Livio Jean-Charles,7618198,3000,SA@GS 10:30PM ET,SA
,,,,,,,,,PF,Kevon Looney (7618199),Kevon Looney,7618199,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,Anderson Varejao (7618215),Anderson Varejao,7618215,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,JaVale McGee (7618216),JaVale McGee,7618216,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,C,Damian Jones (7618218),Damian Jones,7618218,3000,SA@GS 10:30PM ET,GS
,,,,,,,,,PG,Mo Williams (7618120),Mo Williams,7618120,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PG,Chasson Randle (7618125),Chasson Randle,7618125,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG/SF,Mike Dunleavy (7618137),Mike Dunleavy,7618137,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG/SF,Justin Holiday (7618138),Justin Holiday,7618138,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG,Dahntay Jones (7618149),Dahntay Jones,7618149,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,James Jones (7618150),James Jones,7618150,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Sasha Vujacic (7618152),Sasha Vujacic,7618152,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SG,John Holland (7618154),John Holland,7618154,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,DeAndre Liggins (7618156),DeAndre Liggins,7618156,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Markel Brown (7618157),Markel Brown,7618157,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SG,Ron Baker (7618158),Ron Baker,7618158,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,Richard Jefferson (7618174),Richard Jefferson,7618174,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,SF,Mindaugas Kuzminskas (7618176),Mindaugas Kuzminskas,7618176,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,J.P. Tokoto (7618177),J.P. Tokoto,7618177,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,SF,Damien Inglis (7618178),Damien Inglis,7618178,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Louis Amundson (7618201),Louis Amundson,7618201,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PF,Cory Jefferson (7618202),Cory Jefferson,7618202,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PF,Jonathan Holmes (7618203),Jonathan Holmes,7618203,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,PF,Maurice Ndour (7618204),Maurice Ndour,7618204,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,C,Chris Andersen (7618219),Chris Andersen,7618219,3000,NY@Cle 07:30PM ET,Cle
,,,,,,,,,C,Marshall Plumlee (7618222),Marshall Plumlee,7618222,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,C,Guillermo Hernangomez (7618223),Guillermo Hernangomez,7618223,3000,NY@Cle 07:30PM ET,NY
,,,,,,,,,PG,Shelvin Mack (7618129),Shelvin Mack,7618129,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Shabazz Napier (7618130),Shabazz Napier,7618130,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PG,Raul Neto (7618131),Raul Neto,7618131,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PG,Tim Quarterman (7618132),Tim Quarterman,7618132,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,SF,Chris Johnson (7618179),Chris Johnson,7618179,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,SF,Pat Connaughton (7618182),Pat Connaughton,7618182,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Joel Bolomboy (7618209),Joel Bolomboy,7618209,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,PF,Grant Jerrett (7618210),Grant Jerrett,7618210,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Jake Layman (7618211),Jake Layman,7618211,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,PF,Noah Vonleh (7618212),Noah Vonleh,7618212,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,C,Greg Stiemsma (7618224),Greg Stiemsma,7618224,3000,Uta@Por 10:00PM ET,Por
,,,,,,,,,C,Jeff Withey (7618226),Jeff Withey,7618226,3000,Uta@Por 10:00PM ET,Uta
,,,,,,,,,C,Henry Sims (7618227),Henry Sims,7618227,3000,Uta@Por 10:00PM ET,Uta
