Name,Team,Position,Dropped,Added,Total,Date,Net
Al Jefferson,IND ," PF,C",3022,152,3185,2016-10-29,-2870
Buddy Hield,NO , SG,2911,149,3069,2016-10-29,-2762
Brandon Ingram,LAL ," SG,SF",2836,157,3014,2016-10-29,-2679
Lou Williams,LAL ," PG,SG",270,2588,2859,2016-10-29,2318
Jonathon Simmons,SA ," SG,SF",2226,551,2784,2016-10-29,-1675
Justin Hamilton,BKN ," PF,C",1171,1516,2688,2016-10-29,345
Cody Zeller,CHA ," PF,C",672,1895,2569,2016-10-29,1223
Alex Len,PHO ," PF,C",2414,116,2536,2016-10-29,-2298
Ty Lawson,SAC , PG,817,1544,2364,2016-10-29,727
Dario Saric,PHI ," SF,PF",2093,203,2304,2016-10-29,-1890
Mirza Teletovic,MIL ," SF,PF",2011,275,2288,2016-10-29,-1736
Tony Parker,SA , PG,1950,312,2272,2016-10-29,-1638
Bojan Bogdanovic,BKN ," SG,SF",1442,809,2257,2016-10-29,-633
Sean Kilpatrick,BKN ," PG,SG",171,2038,2209,2016-10-29,1867
Maurice Harkless,POR , SF,803,1386,2190,2016-10-29,583
Will Barton,DEN ," SG,SF",379,1785,2175,2016-10-29,1406
Thabo Sefolosha,ATL ," SG,SF",476,1676,2152,2016-10-29,1200
Patty Mills,SA , PG,304,1797,2103,2016-10-29,1493
Mike Muscala,ATL ," PF,C",94,1965,2059,2016-10-29,1871
JaMychal Green,MEM , PF,285,1738,2027,2016-10-29,1453
Allen Crabbe,POR ," PG,SG",609,1405,2018,2016-10-29,796
Bismack Biyombo,ORL ," PF,C",1786,176,1966,2016-10-29,-1610
Evan Turner,POR ," SG,SF",1745,198,1954,2016-10-29,-1547
Kentavious Caldwell-Pope,DET , SG,1703,229,1951,2016-10-29,-1474
Al-Farouq Aminu,POR ," SF,PF",1735,159,1901,2016-10-29,-1576
Wade Baldwin IV,MEM , PG,476,1411,1888,2016-10-29,935
Taj Gibson,CHI ," PF,C",238,1640,1885,2016-10-29,1402
Jamal Crawford,LAC ," SG,SF",344,1521,1872,2016-10-29,1177
Seth Curry,DAL ," PG,SG",1662,201,1865,2016-10-29,-1461
Tyler Johnson,MIA ," PG,SG",315,1510,1826,2016-10-29,1195
Ish Smith,DET , PG,285,1490,1780,2016-10-29,1205
Tyson Chandler,PHO , C,176,1598,1776,2016-10-29,1422
Timofey Mozgov,LAL , C,442,1322,1767,2016-10-29,880
Willie Cauley-Stein,SAC ," PF,C",1528,108,1638,2016-10-29,-1420
Trevor Booker,BKN , PF,192,19248,19443,2016-10-30,19056
T.J. Warren,PHO , SF,136,9500,9641,2016-10-30,9364
Mike Muscala,ATL ," PF,C",125,8068,8193,2016-10-30,7943
Matt Barnes,SAC ," SG,SF",234,4642,4878,2016-10-30,4408
James Ennis III,MEM ," SG,SF",383,4181,4564,2016-10-30,3798
Terrence Jones,NO ," SF,PF",4399,48,4453,2016-10-30,-4351
Patty Mills,SA , PG,412,3830,4244,2016-10-30,3418
Mirza Teletovic,MIL ," SF,PF",4067,142,4216,2016-10-30,-3925
Michael Kidd-Gilchrist,CHA , SF,3747,390,4150,2016-10-30,-3357
Tyson Chandler,PHO , C,162,3879,4043,2016-10-30,3717
Rondae Hollis-Jefferson,BKN ," SG,SF",3603,221,3836,2016-10-30,-3382
Roy Hibbert,CHA , C,3574,219,3794,2016-10-30,-3355
Andre Roberson,OKC ," SG,SF",748,2571,3319,2016-10-30,1823
Bojan Bogdanovic,BKN ," SG,SF",253,3004,3266,2016-10-30,2751
Joe Johnson,UTA ," SG,SF",1718,1512,3240,2016-10-30,-206
Matthew Dellavedova,MIL ," PG,SG",270,2945,3224,2016-10-30,2675
J.J. Barea,DAL ," PG,SG",533,2630,3163,2016-10-30,2097
Jonathon Simmons,SA ," SG,SF",2709,438,3158,2016-10-30,-2271
Sean Kilpatrick,BKN ," PG,SG",208,2835,3043,2016-10-30,2627
Ty Lawson,SAC , PG,803,2214,3022,2016-10-30,1411
Tony Parker,SA , PG,2539,260,2805,2016-10-30,-2279
Kris Dunn,MIN , PG,1063,1620,2692,2016-10-30,557
Sergio Rodriguez,PHI , PG,345,2330,2683,2016-10-30,1985
Dario Saric,PHI ," SF,PF",2471,180,2657,2016-10-30,-2291
Al Jefferson,IND ," PF,C",2463,126,2598,2016-10-30,-2337
Lou Williams,LAL ," PG,SG",981,1549,2536,2016-10-30,568
Marcus Morris,DET ," SF,PF",525,1927,2464,2016-10-30,1402
Luol Deng,LAL ," SF,PF",1417,1012,2435,2016-10-30,-405
Dewayne Dedmon,SA , C,748,1610,2358,2016-10-30,862
Seth Curry,DAL ," PG,SG",2149,125,2281,2016-10-30,-2024
Bismack Biyombo,ORL ," PF,C",2046,117,2172,2016-10-30,-1929
Thabo Sefolosha,ATL ," SG,SF",286,1874,2160,2016-10-30,1588
Buddy Hield,NO , SG,2019,110,2136,2016-10-30,-1909
Justin Hamilton,BKN ," PF,C",974,1135,2113,2016-10-30,161
Will Barton,DEN ," SG,SF",321,1722,2048,2016-10-30,1401
Lance Stephenson,NO ," SG,SF",1520,499,2019,2016-10-30,-1021
Brandon Ingram,LAL ," SG,SF",1732,242,2000,2016-10-30,-1490
Doug McDermott,CHI , SF,89,1876,1970,2016-10-30,1787
Willie Cauley-Stein,SAC ," PF,C",1773,131,1908,2016-10-30,-1642
Allen Crabbe,POR ," PG,SG",537,1362,1904,2016-10-30,825
Jamal Crawford,LAC ," SG,SF",499,1361,1875,2016-10-30,862
Alex Len,PHO ," PF,C",1646,222,1868,2016-10-30,-1424
Emmanuel Mudiay,DEN , PG,335,1414,1761,2016-10-30,1079
Cody Zeller,CHA ," PF,C",747,957,1706,2016-10-30,210
Timofey Mozgov,LAL , C,862,830,1698,2016-10-30,-32
Jahlil Okafor,PHI , C,1455,226,1696,2016-10-30,-1229
Tim Hardaway Jr.,ATL ," SG,SF",1239,418,1658,2016-10-30,-821
Taj Gibson,CHI ," PF,C",281,1371,1656,2016-10-30,1090
JaMychal Green,MEM , PF,1063,583,1651,2016-10-30,-480
Evan Turner,POR ," SG,SF",1415,202,1624,2016-10-30,-1213
Trevor Booker,BKN , PF,841,10190,11032,2016-10-31,9349
Mike Muscala,ATL ," PF,C",696,8832,9528,2016-10-31,8136
J.J. Barea,DAL ," PG,SG",405,8427,8832,2016-10-31,8022
T.J. Warren,PHO , SF,241,8402,8647,2016-10-31,8161
Tyson Chandler,PHO , C,500,7000,7504,2016-10-31,6500
Patty Mills,SA , PG,432,7055,7491,2016-10-31,6623
Matt Barnes,SAC ," SG,SF",276,5910,6187,2016-10-31,5634
Rondae Hollis-Jefferson,BKN ," SG,SF",3665,333,4000,2016-10-31,-3332
James Ennis III,MEM ," SG,SF",560,3338,3898,2016-10-31,2778
Jonathon Simmons,SA ," SG,SF",3459,375,3846,2016-10-31,-3084
Thabo Sefolosha,ATL ," SG,SF",418,3403,3824,2016-10-31,2985
Roy Hibbert,CHA , C,3422,224,3654,2016-10-31,-3198
Sergio Rodriguez,PHI , PG,373,3274,3653,2016-10-31,2901
Bojan Bogdanovic,BKN ," SG,SF",281,3362,3650,2016-10-31,3081
Michael Kidd-Gilchrist,CHA , SF,3254,323,3586,2016-10-31,-2931
Mirza Teletovic,MIL ," SF,PF",3476,82,3559,2016-10-31,-3394
Seth Curry,DAL ," PG,SG",3365,57,3425,2016-10-31,-3308
Kris Dunn,MIN , PG,1089,2263,3359,2016-10-31,1174
Joe Johnson,UTA ," SG,SF",2050,1289,3354,2016-10-31,-761
Ty Lawson,SAC , PG,811,2479,3296,2016-10-31,1668
Justin Hamilton,BKN ," PF,C",2011,1196,3208,2016-10-31,-815
Andre Roberson,OKC ," SG,SF",865,2185,3050,2016-10-31,1320
Matthew Dellavedova,MIL ," PG,SG",384,2636,3025,2016-10-31,2252
Sean Kilpatrick,BKN ," PG,SG",544,2450,2996,2016-10-31,1906
Tony Parker,SA , PG,2709,225,2942,2016-10-31,-2484
Terrence Jones,NO ," SF,PF",2693,88,2783,2016-10-31,-2605
Will Barton,DEN ," SG,SF",877,1887,2775,2016-10-31,1010
Doug McDermott,CHI , SF,331,2385,2716,2016-10-31,2054
Dewayne Dedmon,SA , C,721,1978,2699,2016-10-31,1257
Allen Crabbe,POR ," PG,SG",409,2232,2646,2016-10-31,1823
Taj Gibson,CHI ," PF,C",202,2304,2514,2016-10-31,2102
Ricky Rubio,MIN , PG,2360,97,2484,2016-10-31,-2263
Luol Deng,LAL ," SF,PF",2152,281,2444,2016-10-31,-1871
Brandon Ingram,LAL ," SG,SF",1901,420,2335,2016-10-31,-1481
Jahlil Okafor,PHI , C,2058,205,2282,2016-10-31,-1853
Al Jefferson,IND ," PF,C",2050,163,2224,2016-10-31,-1887
Tim Hardaway Jr.,ATL ," SG,SF",1775,411,2186,2016-10-31,-1364
Dario Saric,PHI ," SF,PF",1956,186,2153,2016-10-31,-1770
Buddy Hield,NO , SG,1936,189,2135,2016-10-31,-1747
Emmanuel Mudiay,DEN , PG,368,1738,2122,2016-10-31,1370
Nick Young,LAL ," SG,SF",130,1929,2060,2016-10-31,1799
Lou Williams,LAL ," PG,SG",1469,512,1989,2016-10-31,-957
Willie Cauley-Stein,SAC ," PF,C",1718,210,1931,2016-10-31,-1508
Cody Zeller,CHA ," PF,C",628,1279,1908,2016-10-31,651
Alex Len,PHO ," PF,C",1476,408,1891,2016-10-31,-1068
Bismack Biyombo,ORL ," PF,C",1671,191,1872,2016-10-31,-1480
Marcus Morris,DET ," SF,PF",726,1131,1866,2016-10-31,405
Jamal Crawford,LAC ," SG,SF",983,855,1840,2016-10-31,-128
Timofey Mozgov,LAL , C,1066,735,1809,2016-10-31,-331
Ish Smith,DET , PG,747,1024,1780,2016-10-31,277
Matt Barnes,SAC ," SG,SF",856,5618,6476,2016-11-01,4762
Jerami Grant,OKC ," SF,PF",182,6215,6399,2016-11-01,6033
Thabo Sefolosha,ATL ," SG,SF",404,5362,5768,2016-11-01,4958
Kris Dunn,MIN , PG,411,5347,5763,2016-11-01,4936
J.J. Barea,DAL ," PG,SG",616,5105,5728,2016-11-01,4489
Ricky Rubio,MIN , PG,4990,142,5148,2016-11-01,-4848
Patty Mills,SA , PG,997,3696,4696,2016-11-01,2699
Sergio Rodriguez,PHI , PG,217,4412,4636,2016-11-01,4195
Cody Zeller,CHA ," PF,C",312,3624,3940,2016-11-01,3312
Ty Lawson,SAC , PG,2616,1151,3772,2016-11-01,-1465
Taj Gibson,CHI ," PF,C",137,3421,3570,2016-11-01,3284
Trevor Booker,BKN , PF,1273,2206,3484,2016-11-01,933
Rondae Hollis-Jefferson,BKN ," SG,SF",2905,354,3267,2016-11-01,-2551
Isaiah Canaan,CHI , PG,88,3131,3219,2016-11-01,3043
Andre Roberson,OKC ," SG,SF",390,2675,3066,2016-11-01,2285
Mike Muscala,ATL ," PF,C",1116,1917,3033,2016-11-01,801
Jonathon Simmons,SA ," SG,SF",2735,277,3017,2016-11-01,-2458
Terrence Jones,NO ," SF,PF",2915,85,3004,2016-11-01,-2830
Bojan Bogdanovic,BKN ," SG,SF",297,2595,2896,2016-11-01,2298
Michael Carter-Williams,CHI , PG,2763,26,2795,2016-11-01,-2737
Allen Crabbe,POR ," PG,SG",1012,1736,2754,2016-11-01,724
Joe Johnson,UTA ," SG,SF",1593,1090,2694,2016-11-01,-503
Tyson Chandler,PHO , C,1099,1541,2642,2016-11-01,442
Dewayne Dedmon,SA , C,1467,1155,2624,2016-11-01,-312
Dario Saric,PHI ," SF,PF",915,1682,2604,2016-11-01,767
James Ennis III,MEM ," SG,SF",897,1637,2536,2016-11-01,740
T.J. Warren,PHO , SF,281,2243,2530,2016-11-01,1962
Brandon Ingram,LAL ," SG,SF",2022,453,2488,2016-11-01,-1569
Matthew Dellavedova,MIL ," PG,SG",316,2155,2480,2016-11-01,1839
Will Barton,DEN ," SG,SF",1546,764,2317,2016-11-01,-782
