Name,Team,Position,Dropped,Added,Total,Date,Net
Matthew Dellavedova,MIL ," PG,SG",811,687,1507,2016-11-29,-124
Andrew Bogut,DAL , C,313,1169,1488,2016-11-29,856
J.R. Smith,CLE ," SG,SF",1165,310,1481,2016-11-29,-855
Danny Green,SA ," SG,SF",537,921,1467,2016-11-29,384
Wilson Chandler,DEN ," SG,SF,PF",56,1374,1439,2016-11-29,1318
Greg Monroe,MIL ," PF,C",394,992,1406,2016-11-29,598
Andrew Harrison,MEM ," PG,SG",232,12021,12253,2016-11-30,11789
Nick Young,LAL ," SG,SF",10407,152,10568,2016-11-30,-10255
Sean Kilpatrick,BKN ," PG,SG",125,9511,9643,2016-11-30,9386
Jeremy Lamb,CHA ," SG,SF",5791,208,5999,2016-11-30,-5583
John Henson,MIL ," PF,C",503,5104,5609,2016-11-30,4601
D.J. Augustin,ORL , PG,221,4317,4539,2016-11-30,4096
Dion Waiters,MIA ," SG,SF",3823,184,4012,2016-11-30,-3639
Jameer Nelson,DEN , PG,343,3283,3626,2016-11-30,2940
Jerryd Bayless,PHI ," PG,SG",3222,183,3409,2016-11-30,-3039
Jamal Murray,DEN , SG,2557,815,3383,2016-11-30,-1742
Frank Kaminsky,CHA ," PF,C",2051,735,2790,2016-11-30,-1316
Brandon Ingram,LAL ," SG,SF",411,2341,2757,2016-11-30,1930
Channing Frye,CLE ," PF,C",332,2317,2655,2016-11-30,1985
Maurice Harkless,POR , SF,267,2335,2613,2016-11-30,2068
Courtney Lee,NY ," SG,SF",1067,1499,2571,2016-11-30,432
Will Barton,DEN ," SG,SF",1911,487,2409,2016-11-30,-1424
Ersan Ilyasova,PHI ," SF,PF",605,1634,2247,2016-11-30,1029
Dirk Nowitzki,DAL ," PF,C",2059,158,2236,2016-11-30,-1901
Terrence Ross,TOR ," SG,SF",694,1500,2197,2016-11-30,806
Tyson Chandler,PHO , C,500,1682,2191,2016-11-30,1182
Sergio Rodriguez,PHI , PG,596,1507,2109,2016-11-30,911
Cody Zeller,CHA ," PF,C",673,1415,2095,2016-11-30,742
Tyler Johnson,MIA ," PG,SG",450,1581,2034,2016-11-30,1131
Nerlens Noel,PHI ," PF,C",295,1701,2002,2016-11-30,1406
Larry Nance Jr.,LAL , PF,785,1182,1967,2016-11-30,397
Terrence Jones,NO ," SF,PF",1702,248,1958,2016-11-30,-1454
Josh Richardson,MIA ," SG,SF",1259,662,1924,2016-11-30,-597
JaMychal Green,MEM , PF,509,1400,1913,2016-11-30,891
Tim Frazier,NO ," PG,SG",1748,127,1896,2016-11-30,-1621
Seth Curry,DAL ," PG,SG",1288,598,1892,2016-11-30,-690
DeMarre Carroll,TOR ," SF,PF",281,1547,1835,2016-11-30,1266
Marco Belinelli,CHA ," SG,SF",706,1106,1814,2016-11-30,400
Ish Smith,DET , PG,736,1054,1798,2016-11-30,318
Mike Conley,MEM , PG,1716,61,1793,2016-11-30,-1655
Joakim Noah,NY ," PF,C",1576,177,1763,2016-11-30,-1399
Wayne Ellington,MIA ," SG,SF",23,1730,1753,2016-11-30,1707
Tony Parker,SA , PG,1530,186,1722,2016-11-30,-1344
J.R. Smith,CLE ," SG,SF",1344,362,1719,2016-11-30,-982
Patty Mills,SA , PG,718,975,1695,2016-11-30,257
Greg Monroe,MIL ," PF,C",228,1430,1676,2016-11-30,1202
Andrew Bogut,DAL , C,194,1463,1667,2016-11-30,1269
Alex Len,PHO ," PF,C",560,1067,1640,2016-11-30,507
C.J. Miles,IND ," SG,SF",757,855,1616,2016-11-30,98
Glenn Robinson III,IND ," SG,SF",605,995,1601,2016-11-30,390
Patrick Beverley,HOU ," PG,SG",1166,388,1564,2016-11-30,-778
Nik Stauskas,PHI ," SG,SF",473,1070,1544,2016-11-30,597
E'Twaun Moore,NO ," PG,SG",1453,31,1486,2016-11-30,-1422
K. Korver,CLE ," SG,SF",1295,156,1459,2016-11-30,-1139
Evan Turner,POR ," SG,SF",281,1163,1447,2016-11-30,882
Matthew Dellavedova,MIL ," PG,SG",721,692,1417,2016-11-30,-29
Patrick Patterson,TOR ," PF,C",185,8876,9062,2016-12-01,8691
Andrew Harrison,MEM ," PG,SG",402,7740,8142,2016-12-01,7338
Wayne Ellington,MIA ," SG,SF",239,6932,7171,2016-12-01,6693
Nick Young,LAL ," SG,SF",5649,58,5729,2016-12-01,-5591
Frank Kaminsky,CHA ," PF,C",4929,379,5314,2016-12-01,-4550
Jameer Nelson,DEN , PG,241,4832,5076,2016-12-01,4591
John Henson,MIL ," PF,C",471,4396,4871,2016-12-01,3925
Josh Richardson,MIA ," SG,SF",3508,50,3566,2016-12-01,-3458
Dion Waiters,MIA ," SG,SF",3295,121,3425,2016-12-01,-3174
Jamal Murray,DEN , SG,2934,430,3379,2016-12-01,-2504
Patty Mills,SA , PG,310,2598,2916,2016-12-01,2288
Sean Kilpatrick,BKN ," PG,SG",277,2490,2782,2016-12-01,2213
Ish Smith,DET , PG,318,2341,2667,2016-12-01,2023
Tyler Johnson,MIA ," PG,SG",393,2256,2659,2016-12-01,1863
Larry Nance Jr.,LAL , PF,289,2206,2499,2016-12-01,1917
Jerryd Bayless,PHI ," PG,SG",2287,105,2396,2016-12-01,-2182
Seth Curry,DAL ," PG,SG",2158,109,2281,2016-12-01,-2049
Will Barton,DEN ," SG,SF",1634,605,2253,2016-12-01,-1029
Maurice Harkless,POR , SF,207,1959,2188,2016-12-01,1752
JaMychal Green,MEM , PF,703,1441,2155,2016-12-01,738
Kelly Olynyk,BOS , C,94,1997,2094,2016-12-01,1903
Tyler Johnson,MIA ," SF,PF",426,1657,2087,2016-12-01,1231
Brandon Ingram,LAL ," SG,SF",365,1606,1981,2016-12-01,1241
Ben Simmons,PHI ," SF,PF",103,1807,1914,2016-12-01,1704
Jeremy Lamb,CHA ," SG,SF",1700,207,1912,2016-12-01,-1493
Cody Zeller,CHA ," PF,C",1023,832,1871,2016-12-01,-191
Channing Frye,CLE ," PF,C",617,1233,1850,2016-12-01,616
Dirk Nowitzki,DAL ," PF,C",1562,238,1822,2016-12-01,-1324
Nerlens Noel,PHI ," PF,C",171,1588,1761,2016-12-01,1417
Ersan Ilyasova,PHI ," SF,PF",623,1099,1728,2016-12-01,476
D.J. Augustin,ORL , PG,695,1026,1724,2016-12-01,331
Joakim Noah,NY ," PF,C",1609,42,1657,2016-12-01,-1567
Andrew Bogut,DAL , C,1012,600,1620,2016-12-01,-412
Deron Williams,DAL , PG,454,1096,1556,2016-12-01,642
Marco Belinelli,CHA ," SG,SF",1081,425,1510,2016-12-01,-656
J.R. Smith,CLE ," SG,SF",1119,353,1491,2016-12-01,-766
Jon Leuer,DET ," PF,C",381,1087,1475,2016-12-01,706
Evan Turner,POR ," SG,SF",247,1212,1463,2016-12-01,965
Courtney Lee,NY ," SG,SF",1342,106,1453,2016-12-01,-1236
Jusuf Nurkic,DEN , C,1324,96,1441,2016-12-01,-1228
Sergio Rodriguez,PHI , PG,575,848,1430,2016-12-01,273
K. Korver,CLE ," SG,SF",1231,172,1421,2016-12-01,-1059
Marcus Morris,DET ," SF,PF",132,1252,1404,2016-12-01,1120
Tyson Chandler,PHO , C,732,650,1403,2016-12-01,-82
Terrence Jones,NO ," SF,PF",1118,228,1355,2016-12-01,-890
Patrick Beverley,HOU ," PG,SG",961,372,1341,2016-12-01,-589
Tony Parker,SA , PG,1221,111,1338,2016-12-01,-1110
Greg Monroe,MIL ," PF,C",559,708,1286,2016-12-01,149
Thabo Sefolosha,ATL ," SG,SF",225,1055,1285,2016-12-01,830
Nik Stauskas,PHI ," SG,SF",482,775,1260,2016-12-01,293
John Henson,MIL ," PF,C",236,7240,7484,2016-12-02,7004
Will Barton,DEN ," SG,SF",472,6457,6931,2016-12-02,5985
Tyler Johnson,MIA ," SF,PF",215,6709,6926,2016-12-02,6494
Wayne Ellington,MIA ," SG,SF",601,4796,5397,2016-12-02,4195
Frank Kaminsky,CHA ," PF,C",4561,177,4746,2016-12-02,-4384
Ben Simmons,PHI ," SF,PF",122,3591,3716,2016-12-02,3469
Jameer Nelson,DEN , PG,1401,2273,3676,2016-12-02,872
Jamal Murray,DEN , SG,3094,294,3394,2016-12-02,-2800
Patrick Patterson,TOR ," PF,C",639,2590,3231,2016-12-02,1951
Nick Young,LAL ," SG,SF",2643,112,2769,2016-12-02,-2531
Brandon Ingram,LAL ," SG,SF",243,2055,2313,2016-12-02,1812
Patty Mills,SA , PG,435,1628,2074,2016-12-02,1193
Ish Smith,DET , PG,352,1580,1941,2016-12-02,1228
Larry Nance Jr.,LAL , PF,674,1213,1892,2016-12-02,539
Ersan Ilyasova,PHI ," SF,PF",1191,677,1878,2016-12-02,-514
Andrew Harrison,MEM ," PG,SG",589,1274,1866,2016-12-02,685
Josh Richardson,MIA ," SG,SF",1787,48,1842,2016-12-02,-1739
JaMychal Green,MEM , PF,668,1007,1685,2016-12-02,339
Rondae Hollis-Jefferson,BKN ," SG,SF",378,1283,1666,2016-12-02,905
Dion Waiters,MIA ," SG,SF",1490,126,1622,2016-12-02,-1364
Sean Kilpatrick,BKN ," PG,SG",379,1197,1597,2016-12-02,818
Nik Stauskas,PHI ," SG,SF",1154,384,1543,2016-12-02,-770
Elfrid Payton,ORL , PG,1376,119,1518,2016-12-02,-1257
Tyler Johnson,MIA ," PG,SG",589,913,1513,2016-12-02,324
Maurice Harkless,POR , SF,91,1405,1513,2016-12-02,1314
Seth Curry,DAL ," PG,SG",1436,71,1512,2016-12-02,-1365
J.R. Smith,CLE ," SG,SF",1283,208,1507,2016-12-02,-1075
Channing Frye,CLE ," PF,C",1313,186,1500,2016-12-02,-1127
D.J. Augustin,ORL , PG,1350,109,1461,2016-12-02,-1241
Cody Zeller,CHA ," PF,C",930,512,1453,2016-12-02,-418
Deron Williams,DAL , PG,232,1179,1418,2016-12-02,947
Evan Turner,POR ," SG,SF",185,1208,1400,2016-12-02,1023
Dario Saric,PHI ," SF,PF",1281,105,1391,2016-12-02,-1176
Kelly Olynyk,BOS , C,434,951,1385,2016-12-02,517
Jeremy Lamb,CHA ," SG,SF",764,591,1361,2016-12-02,-173
Danny Green,SA ," SG,SF",1201,113,1331,2016-12-02,-1088
Troy Daniels,MEM ," PG,SG",61,1243,1304,2016-12-02,1182
Patrick Beverley,HOU ," PG,SG",1023,207,1236,2016-12-02,-816
Mike Conley,MEM , PG,459,729,1226,2016-12-02,270
Tony Parker,SA , PG,1152,68,1224,2016-12-02,-1084
Dirk Nowitzki,DAL ," PF,C",934,250,1203,2016-12-02,-684
Robert Covington,PHI ," SF,PF",730,448,1187,2016-12-02,-282
K. Korver,CLE ," SG,SF",974,171,1162,2016-12-02,-803
Jerryd Bayless,PHI ," PG,SG",1054,103,1159,2016-12-02,-951
Terrence Jones,NO ," SF,PF",907,242,1156,2016-12-02,-665
Jon Leuer,DET ," PF,C",331,813,1147,2016-12-02,482
Marcus Smart,BOS , PG,851,220,1085,2016-12-02,-631
Joakim Noah,NY ," PF,C",1014,49,1075,2016-12-02,-965
Marco Belinelli,CHA ," SG,SF",858,213,1073,2016-12-02,-645
Matthew Dellavedova,MIL ," PG,SG",841,209,1060,2016-12-02,-632
Will Barton,DEN ," SG,SF",332,11037,11370,2016-12-03,10705
John Henson,MIL ," PF,C",345,5616,5962,2016-12-03,5271
Troy Daniels,MEM ," PG,SG",134,5814,5948,2016-12-03,5680
Jamal Murray,DEN , SG,5738,128,5872,2016-12-03,-5610
Jameer Nelson,DEN , PG,4579,111,4693,2016-12-03,-4468
Ish Smith,DET , PG,246,3929,4181,2016-12-03,3683
Matt Barnes,SAC ," SG,SF",215,3727,3942,2016-12-03,3512
Sam Dekker,HOU ," SF,PF",228,3659,3887,2016-12-03,3431
Tyler Johnson,MIA ," SF,PF",1312,2446,3759,2016-12-03,1134
Andre Roberson,OKC ," SG,SF",158,3384,3545,2016-12-03,3226
Wayne Ellington,MIA ," SG,SF",1000,2280,3280,2016-12-03,1280
Brandon Ingram,LAL ," SG,SF",408,2761,3176,2016-12-03,2353
Jon Leuer,DET ," PF,C",196,2920,3127,2016-12-03,2724
Glenn Robinson III,IND ," SG,SF",307,2298,2607,2016-12-03,1991
Andrew Harrison,MEM ," PG,SG",1991,558,2554,2016-12-03,-1433
Patty Mills,SA , PG,420,1971,2396,2016-12-03,1551
Dirk Nowitzki,DAL ," PF,C",2057,306,2384,2016-12-03,-1751
Ersan Ilyasova,PHI ," SF,PF",2052,217,2277,2016-12-03,-1835
Larry Nance Jr.,LAL , PF,1987,230,2221,2016-12-03,-1757
Patrick Patterson,TOR ," PF,C",1360,714,2077,2016-12-03,-646
Frank Kaminsky,CHA ," PF,C",1724,314,2045,2016-12-03,-1410
Kyle O'Quinn,NY ," PF,C",84,1885,1970,2016-12-03,1801
Nick Young,LAL ," SG,SF",1798,150,1958,2016-12-03,-1648
Marcus Smart,BOS , PG,1861,85,1956,2016-12-03,-1776
Nik Stauskas,PHI ," SG,SF",1812,70,1887,2016-12-03,-1742
Seth Curry,DAL ," PG,SG",1800,62,1865,2016-12-03,-1738
Elfrid Payton,ORL , PG,1617,170,1806,2016-12-03,-1447
Jamal Crawford,LAC ," SG,SF",264,1465,1737,2016-12-03,1201
Jeremy Lamb,CHA ," SG,SF",1246,465,1713,2016-12-03,-781
Dario Saric,PHI ," SF,PF",1153,513,1671,2016-12-03,-640
K. Korver,CLE ," SG,SF",1547,112,1669,2016-12-03,-1435
JaMychal Green,MEM , PF,546,1105,1658,2016-12-03,559
Bismack Biyombo,ORL ," PF,C",465,1143,1613,2016-12-03,678
Terrence Jones,NO ," SF,PF",529,1048,1590,2016-12-03,519
Evan Turner,POR ," SG,SF",351,1230,1584,2016-12-03,879
Jodie Meeks,ORL , SG,42,1530,1572,2016-12-03,1488
Robert Covington,PHI ," SF,PF",1456,66,1529,2016-12-03,-1390
Jusuf Nurkic,DEN , C,1354,160,1524,2016-12-03,-1194
Nikola Mirotic,CHI ," SF,PF",1141,354,1505,2016-12-03,-787
Tony Parker,SA , PG,1451,39,1494,2016-12-03,-1412
Deron Williams,DAL , PG,220,1236,1465,2016-12-03,1016
Danny Green,SA ," SG,SF",1338,64,1422,2016-12-03,-1274
Tyson Chandler,PHO , C,734,673,1420,2016-12-03,-61
Alex Len,PHO ," PF,C",1011,381,1412,2016-12-03,-630
Cody Zeller,CHA ," PF,C",905,489,1401,2016-12-03,-416
Tim Frazier,NO ," PG,SG",946,411,1377,2016-12-03,-535
Dion Waiters,MIA ," SG,SF",1241,104,1347,2016-12-03,-1137
Sean Kilpatrick,BKN ," PG,SG",688,617,1323,2016-12-03,-71
Josh Richardson,MIA ," SG,SF",1234,37,1282,2016-12-03,-1197
Rondae Hollis-Jefferson,BKN ," SG,SF",400,862,1270,2016-12-03,462
Troy Daniels,MEM ," PG,SG",220,15576,15796,2016-12-04,15356
John Henson,MIL ," PF,C",212,6414,6631,2016-12-04,6202
Will Barton,DEN ," SG,SF",256,5454,5716,2016-12-04,5198
JaMychal Green,MEM , PF,217,4604,4827,2016-12-04,4387
Ish Smith,DET , PG,3183,1468,4659,2016-12-04,-1715
Jamal Murray,DEN , SG,4513,69,4590,2016-12-04,-4444
Tim Frazier,NO ," PG,SG",3580,337,3934,2016-12-04,-3243
Matt Barnes,SAC ," SG,SF",1706,2009,3716,2016-12-04,303
Andre Roberson,OKC ," SG,SF",539,2799,3343,2016-12-04,2260
Glenn Robinson III,IND ," SG,SF",1807,1486,3293,2016-12-04,-321
Andrew Harrison,MEM ," PG,SG",2739,251,2996,2016-12-04,-2488
Wayne Ellington,MIA ," SG,SF",1128,1549,2679,2016-12-04,421
Lucas Nogueira,TOR ," PF,C",177,2444,2622,2016-12-04,2267
Jon Leuer,DET ," PF,C",603,1917,2532,2016-12-04,1314
C.J. Miles,IND ," SG,SF",559,1733,2294,2016-12-04,1174
Sergio Rodriguez,PHI , PG,390,1859,2256,2016-12-04,1469
Tyler Johnson,MIA ," SF,PF",1879,343,2226,2016-12-04,-1536
Nikola Mirotic,CHI ," SF,PF",2056,114,2179,2016-12-04,-1942
Patrick Patterson,TOR ," PF,C",608,1529,2139,2016-12-04,921
Patty Mills,SA , PG,314,1811,2135,2016-12-04,1497
Alex Len,PHO ," PF,C",1904,163,2083,2016-12-04,-1741
Tyson Chandler,PHO , C,1764,225,2003,2016-12-04,-1539
Frank Kaminsky,CHA ," PF,C",649,1326,1980,2016-12-04,677
Elfrid Payton,ORL , PG,1706,221,1943,2016-12-04,-1485
Jusuf Nurkic,DEN , C,1718,121,1850,2016-12-04,-1597
Terrence Jones,NO ," SF,PF",1083,709,1804,2016-12-04,-374
Dwight Powell,DAL ," PF,C",70,1730,1801,2016-12-04,1660
K. Korver,CLE ," SG,SF",1571,111,1693,2016-12-04,-1460
Seth Curry,DAL ," PG,SG",1623,51,1677,2016-12-04,-1572
Nick Young,LAL ," SG,SF",1491,146,1642,2016-12-04,-1345
Jamal Crawford,LAC ," SG,SF",733,869,1611,2016-12-04,136
Maurice Harkless,POR , SF,220,1360,1599,2016-12-04,1140
Dirk Nowitzki,DAL ," PF,C",1246,310,1570,2016-12-04,-936
Jeremy Lamb,CHA ," SG,SF",1491,70,1566,2016-12-04,-1421
Marcus Smart,BOS , PG,1426,86,1519,2016-12-04,-1340
Cody Zeller,CHA ," PF,C",789,705,1501,2016-12-04,-84
Larry Nance Jr.,LAL , PF,1395,98,1494,2016-12-04,-1297
Evan Turner,POR ," SG,SF",443,1044,1490,2016-12-04,601
Deron Williams,DAL , PG,294,1188,1488,2016-12-04,894
Sean Kilpatrick,BKN ," PG,SG",688,769,1475,2016-12-04,81
Jameer Nelson,DEN , PG,1228,235,1466,2016-12-04,-993
Bismack Biyombo,ORL ," PF,C",773,675,1457,2016-12-04,-98
Reggie Jackson,DET ," PG,SG",62,1370,1445,2016-12-04,1308
Dario Saric,PHI ," SF,PF",318,1110,1433,2016-12-04,792
Kyle O'Quinn,NY ," PF,C",538,891,1430,2016-12-04,353
Tyler Johnson,MIA ," PG,SG",790,625,1421,2016-12-04,-165
Ersan Ilyasova,PHI ," SF,PF",930,406,1348,2016-12-04,-524
Ty Lawson,SAC , PG,868,445,1317,2016-12-04,-423
Joakim Noah,NY ," PF,C",861,412,1280,2016-12-04,-449
J.R. Smith,CLE ," SG,SF",974,275,1259,2016-12-04,-699
Troy Daniels,MEM ," PG,SG",260,15191,15451,2016-12-05,14931
Wayne Ellington,MIA ," SG,SF",767,5973,6744,2016-12-05,5206
C.J. Miles,IND ," SG,SF",665,5687,6352,2016-12-05,5022
Tyler Johnson,MIA ," SF,PF",5416,423,5846,2016-12-05,-4993
JaMychal Green,MEM , PF,283,5463,5754,2016-12-05,5180
Tim Frazier,NO ," PG,SG",5439,155,5614,2016-12-05,-5284
Will Barton,DEN ," SG,SF",253,5158,5419,2016-12-05,4905
Sergio Rodriguez,PHI , PG,234,5047,5284,2016-12-05,4813
Ish Smith,DET , PG,4592,545,5146,2016-12-05,-4047
Dario Saric,PHI ," SF,PF",269,4853,5128,2016-12-05,4584
John Henson,MIL ," PF,C",488,4216,4711,2016-12-05,3728
Andre Roberson,OKC ," SG,SF",1861,2643,4507,2016-12-05,782
Glenn Robinson III,IND ," SG,SF",4323,29,4354,2016-12-05,-4294
Patty Mills,SA , PG,809,3111,3925,2016-12-05,2302
Andrew Harrison,MEM ," PG,SG",3472,367,3851,2016-12-05,-3105
Matt Barnes,SAC ," SG,SF",3334,89,3424,2016-12-05,-3245
Frank Kaminsky,CHA ," PF,C",1356,1921,3285,2016-12-05,565
Dwight Powell,DAL ," PF,C",175,3096,3272,2016-12-05,2921
Jamal Murray,DEN , SG,2764,425,3197,2016-12-05,-2339
Lucas Nogueira,TOR ," PF,C",612,2478,3090,2016-12-05,1866
P.J. Tucker,PHO ," SG,SF",271,2519,2790,2016-12-05,2248
J.R. Smith,CLE ," SG,SF",2431,343,2785,2016-12-05,-2088
Deron Williams,DAL , PG,238,2473,2725,2016-12-05,2235
Robert Covington,PHI ," SF,PF",2596,119,2722,2016-12-05,-2477
Tony Allen,MEM ," SG,SF",138,2483,2622,2016-12-05,2345
Patrick Patterson,TOR ," PF,C",678,1935,2614,2016-12-05,1257
Jon Leuer,DET ," PF,C",838,1491,2335,2016-12-05,653
Ersan Ilyasova,PHI ," SF,PF",657,1632,2301,2016-12-05,975
Sam Dekker,HOU ," SF,PF",951,1337,2289,2016-12-05,386
Elfrid Payton,ORL , PG,2017,255,2287,2016-12-05,-1762
Tyler Johnson,MIA ," PG,SG",593,1625,2230,2016-12-05,1032
Emmanuel Mudiay,DEN , PG,1879,266,2157,2016-12-05,-1613
Jeff Green,ORL ," SG,SF",216,1936,2152,2016-12-05,1720
Tyson Chandler,PHO , C,1512,579,2102,2016-12-05,-933
Andrew Bogut,DAL , C,1529,520,2058,2016-12-05,-1009
Nick Young,LAL ," SG,SF",1825,220,2049,2016-12-05,-1605
Jameer Nelson,DEN , PG,1485,448,1936,2016-12-05,-1037
Terrence Jones,NO ," SF,PF",1657,254,1922,2016-12-05,-1403
Kent Bazemore,ATL ," SG,SF",1761,143,1918,2016-12-05,-1618
Cody Zeller,CHA ," PF,C",894,957,1857,2016-12-05,63
Brandon Ingram,LAL ," SG,SF",1140,620,1769,2016-12-05,-520
Evan Turner,POR ," SG,SF",560,1194,1760,2016-12-05,634
Larry Nance Jr.,LAL , PF,1575,160,1742,2016-12-05,-1415
Nikola Mirotic,CHI ," SF,PF",1266,463,1740,2016-12-05,-803
Jeremy Lamb,CHA ," SG,SF",1608,128,1736,2016-12-05,-1480
Alex Len,PHO ," PF,C",1302,402,1720,2016-12-05,-900
Maurice Harkless,POR , SF,275,1404,1695,2016-12-05,1129
Seth Curry,DAL ," PG,SG",1587,95,1686,2016-12-05,-1492
Nik Stauskas,PHI ," SG,SF",1385,295,1685,2016-12-05,-1090
Jamal Crawford,LAC ," SG,SF",1198,426,1639,2016-12-05,-772
Dwight Powell,DAL ," PF,C",207,11803,12010,2016-12-06,11596
Troy Daniels,MEM ," PG,SG",1565,4679,6245,2016-12-06,3114
Tyler Johnson,MIA ," SF,PF",4188,45,4235,2016-12-06,-4143
Wayne Ellington,MIA ," SG,SF",538,3695,4234,2016-12-06,3157
Andrew Harrison,MEM ," PG,SG",3984,201,4193,2016-12-06,-3783
Sergio Rodriguez,PHI , PG,1011,3063,4078,2016-12-06,2052
Andrew Bogut,DAL , C,3879,49,3929,2016-12-06,-3830
Ersan Ilyasova,PHI ," SF,PF",289,3570,3867,2016-12-06,3281
Dario Saric,PHI ," SF,PF",513,3082,3604,2016-12-06,2569
Will Barton,DEN ," SG,SF",115,3139,3269,2016-12-06,3024
J.R. Smith,CLE ," SG,SF",3105,104,3215,2016-12-06,-3001
Tony Allen,MEM ," SG,SF",419,2699,3118,2016-12-06,2280
Thabo Sefolosha,ATL ," SG,SF",181,2520,2705,2016-12-06,2339
Frank Kaminsky,CHA ," PF,C",1741,554,2302,2016-12-06,-1187
Deron Williams,DAL , PG,151,2102,2260,2016-12-06,1951
P.J. Tucker,PHO ," SG,SF",1160,1082,2243,2016-12-06,-78
John Henson,MIL ," PF,C",524,1697,2233,2016-12-06,1173
C.J. Miles,IND ," SG,SF",850,1304,2155,2016-12-06,454
Patty Mills,SA , PG,1222,874,2100,2016-12-06,-348
JaMychal Green,MEM , PF,646,1430,2081,2016-12-06,784
Andre Roberson,OKC ," SG,SF",1775,280,2058,2016-12-06,-1495
Jamal Murray,DEN , SG,449,1553,2009,2016-12-06,1104
Patrick Patterson,TOR ," PF,C",540,1404,1948,2016-12-06,864
Ish Smith,DET , PG,1450,459,1916,2016-12-06,-991
Elfrid Payton,ORL , PG,799,1089,1903,2016-12-06,290
Allen Crabbe,POR ," PG,SG",130,1749,1881,2016-12-06,1619
Emmanuel Mudiay,DEN , PG,1708,117,1839,2016-12-06,-1591
Jeff Green,ORL ," SG,SF",175,1599,1775,2016-12-06,1424
Tyson Chandler,PHO , C,1256,499,1765,2016-12-06,-757
Tim Frazier,NO ," PG,SG",1445,142,1601,2016-12-06,-1303
Jameer Nelson,DEN , PG,642,940,1583,2016-12-06,298
Cody Zeller,CHA ," PF,C",813,763,1583,2016-12-06,-50
Robert Covington,PHI ," SF,PF",1498,68,1569,2016-12-06,-1430
Kent Bazemore,ATL ," SG,SF",1441,108,1567,2016-12-06,-1333
Danny Green,SA ," SG,SF",1398,157,1563,2016-12-06,-1241
Jon Leuer,DET ," PF,C",769,712,1493,2016-12-06,-57
Tyler Johnson,MIA ," PG,SG",393,1065,1469,2016-12-06,672
Zach Randolph,MEM ," PF,C",383,1060,1450,2016-12-06,677
Bismack Biyombo,ORL ," PF,C",419,1018,1442,2016-12-06,599
Seth Curry,DAL ," PG,SG",1333,76,1414,2016-12-06,-1257
Sam Dekker,HOU ," SF,PF",1310,103,1414,2016-12-06,-1207
Brandon Ingram,LAL ," SG,SF",1152,249,1408,2016-12-06,-903
Josh Richardson,MIA ," SG,SF",1259,134,1400,2016-12-06,-1125
Terrence Jones,NO ," SF,PF",1214,151,1376,2016-12-06,-1063
Sean Kilpatrick,BKN ," PG,SG",230,1090,1335,2016-12-06,860
Brandon Jennings,NY , PG,362,970,1333,2016-12-06,608
Alex Len,PHO ," PF,C",928,384,1322,2016-12-06,-544
Evan Turner,POR ," SG,SF",527,786,1314,2016-12-06,259
Trey Lyles,UTA , PF,1067,239,1308,2016-12-06,-828
Marvin Williams,CHA ," SF,PF",569,735,1307,2016-12-06,166
Ersan Ilyasova,PHI ," SF,PF",147,6665,6826,2016-12-07,6518
Dwight Powell,DAL ," PF,C",614,4453,5068,2016-12-07,3839
Andrew Harrison,MEM ," PG,SG",3158,118,3282,2016-12-07,-3040
Marvin Williams,CHA ," SF,PF",409,2776,3187,2016-12-07,2367
Troy Daniels,MEM ," PG,SG",2325,705,3034,2016-12-07,-1620
Wayne Ellington,MIA ," SG,SF",736,2233,2973,2016-12-07,1497
Jeff Green,ORL ," SG,SF",735,2122,2857,2016-12-07,1387
Patrick Patterson,TOR ," PF,C",311,2541,2857,2016-12-07,2230
Ish Smith,DET , PG,2134,681,2827,2016-12-07,-1453
Andrew Bogut,DAL , C,2715,35,2753,2016-12-07,-2680
Frank Kaminsky,CHA ," PF,C",2306,235,2544,2016-12-07,-2071
Kent Bazemore,ATL ," SG,SF",2237,120,2377,2016-12-07,-2117
JaMychal Green,MEM , PF,295,2073,2377,2016-12-07,1778
Tony Allen,MEM ," SG,SF",546,1758,2305,2016-12-07,1212
Will Barton,DEN ," SG,SF",88,2196,2299,2016-12-07,2108
J.R. Smith,CLE ," SG,SF",2195,79,2285,2016-12-07,-2116
Dario Saric,PHI ," SF,PF",326,1916,2246,2016-12-07,1590
Tyler Johnson,MIA ," SF,PF",2193,24,2220,2016-12-07,-2169
P.J. Tucker,PHO ," SG,SF",2156,37,2197,2016-12-07,-2119
C.J. Miles,IND ," SG,SF",1387,724,2114,2016-12-07,-663
Patty Mills,SA , PG,360,1742,2107,2016-12-07,1382
Sergio Rodriguez,PHI , PG,1481,470,1957,2016-12-07,-1011
John Henson,MIL ," PF,C",1052,831,1894,2016-12-07,-221
Elfrid Payton,ORL , PG,233,1621,1874,2016-12-07,1388
Jon Leuer,DET ," PF,C",1593,276,1874,2016-12-07,-1317
Lucas Nogueira,TOR ," PF,C",294,1571,1867,2016-12-07,1277
Brandon Jennings,NY , PG,391,1458,1853,2016-12-07,1067
Terrence Ross,TOR ," SG,SF",136,1638,1778,2016-12-07,1502
Allen Crabbe,POR ," PG,SG",168,1606,1774,2016-12-07,1438
Jamal Murray,DEN , SG,489,1277,1769,2016-12-07,788
Jameer Nelson,DEN , PG,308,1372,1680,2016-12-07,1064
Emmanuel Mudiay,DEN , PG,1432,215,1674,2016-12-07,-1217
