Name,Scored
Lavoy Allen,4.18683452424
LeBron James,16.710665678
Leandro Barbosa,8.81316486854
Livio Jean-Charles,
Lou Williams,10.9505086458
Louis Amundson,
Luc Richard Mbah a Moute,6.21532045299
Lucas Nogueira,11.2509611103
Luis Scola,8.60404813264
Luke Babbitt,6.2952528411
Luol Deng,8.90413689507
Malachi Richardson,0.7
Malcolm Brogdon,7.22904836864
Malcolm Delaney,4.92076806335
Malik Beasley,4.06834835447
Manu Ginobili,8.48933687515
Marc Gasol,14.9771621015
Marcelo Huertas,7.58065605036
Marcin Gortat,8.27084443022
Marco Belinelli,8.32105762509
Marcus Morris,7.60557108562
Marcus Smart,10.8655943834
Marcus Thornton,7.68352531491
Mario Hezonja,6.35498744174
Markel Brown,
Markieff Morris,10.2417661906
Marquese Chriss,7.15524283306
Marreese Speights,9.41107503601
Marshall Plumlee,2.75094680671
Marvin Williams,11.5459408452
Mason Plumlee,9.11015017342
Matt Barnes,11.6013020103
Matthew Dellavedova,7.21805350788
Maurice Harkless,9.75715640643
Maurice Ndour,3.27229532082
Metta World Peace,3.00518900714
Meyers Leonard,9.17624790647
Michael Beasley,8.22973316124
Michael Carter-Williams,5.27245671569
Michael Gbinije,0.79783360517
Michael Kidd-Gilchrist,9.77531968787
Mike Conley,19.9941337551
Mike Dunleavy,5.15946992143
Mike Miller,2.85762867893
Mike Muscala,6.23873985673
Mike Scott,2.66047458172
Miles Plumlee,6.69417701655
Mindaugas Kuzminskas,5.43474547089
Mirza Teletovic,8.7839825707
Mo Williams,0.0
Monta Ellis,10.873534384
Montrezl Harrell,10.2766036426
Myles Turner,11.8095388705
Nemanja Bjelica,10.96418329
Nene Hilario,8.05027651654
Nerlens Noel,2.0
Nick Collison,1.75384541277
Nick Young,11.5103075323
Nicolas Batum,11.4609663641
Nicolas Brussino,5.0738990917
Nicolas Laprovittola,6.74851533592
Nik Stauskas,7.59609274562
Nikola Jokic,14.6788041634
Nikola Mirotic,11.1115066355
Nikola Pekovic,0.0
Nikola Vucevic,14.3175927285
Noah Vonleh,6.10996978464
Norman Powell,10.7327918809
Omer Asik,7.02990863274
Omri Casspi,9.37194394634
Otto Porter,13.5994270834
P.J. Tucker,10.7723798052
Pascal Siakam,6.14387250715
Pat Connaughton,2.35297744337
Patricio Garino,
Patrick Beverley,14.2055784868
Patrick McCaw,6.38281948792
Patrick Patterson,6.24224156134
Patty Mills,7.31213225261
Pau Gasol,11.7620149409
Paul George,19.5783256009
Paul Millsap,16.9273385878
Paul Pierce,3.4956222622
Paul Zipser,1.47253693883
Phil Pressey,
Quincy Acy,3.08589164954
Quincy Pondexter,0.0
R.J. Hunter,0.260643017571
Rajon Rondo,15.8724214784
Rakeem Christmas,1.57599175125
Ramon Sessions,4.8582618634
Randy Foye,7.67102435301
Rashad Vaughn,8.59918014752
Raul Neto,4.34038688752
Raymond Felton,6.6422730798
Reggie Bullock,3.70198751193
Reggie Jackson,9.00457682771
Reggie Williams,
Richard Jefferson,5.18949623876
Richaun Holmes,10.2389879871
Ricky Rubio,11.6013765737
Robert Covington,12.6625843202
Robin Lopez,7.26750136477
Rodney Hood,12.3260986664
Rodney McGruder,8.21086678331
Rodney Stuckey,10.9372547592
Ron Baker,3.12189846087
Rondae Hollis-Jefferson,11.4340781129
Roy Hibbert,8.90525359923
Rudy Gay,13.8314481647
Rudy Gobert,9.85490571577
Russell Westbrook,13.5800723502
Ryan Anderson,8.2287206355
Ryan Arcidiacono,
Ryan Kelly,2.71123304643
Salah Mejri,9.38247286708
Sam Dekker,6.7182475798
Sasha Vujacic,4.93790610144
Sean Kilpatrick,12.3401638672
Semaj Christon,5.27912041147
Serge Ibaka,10.0825296353
Sergio  Rodriguez,
Sergio Rodriguez,11.8976424105
Seth Curry,11.2999895793
Shabazz Muhammad,5.90196747777
Shabazz Napier,5.04828889801
Shaun Livingston,4.36063024732
Sheldon McClellan,5.23694971262
Shelvin Mack,7.42508417461
Skal Labissiere,2.35
Solomon Hill,7.21805961567
Spencer Dinwiddie,6.54073772598
Spencer Hawes,10.785001159
Stanley Johnson,7.27368809213
Stephen Curry,8.35137022382
Stephen Zimmerman Jr.,1.44048602909
Steve Novak,0.260643017571
Steven Adams,8.11298582208
T.J. McConnell,8.4863002343
T.J. Warren,17.3117854847
Taj Gibson,7.76730769576
Tarik Black,7.07106781187
Taurean Prince,6.79843732044
Terrence Jones,11.5132699358
Terrence Ross,9.25580017916
Terry Rozier,6.90541690332
Thabo Sefolosha,10.359426062
Thaddeus Young,9.90835085504
Thomas Robinson,7.17967414286
Thon Maker,3.08541129282
Tiago Splitter,0.0
Tim Frazier,13.7387576417
Tim Hardaway Jr.,7.70078459206
Tim Quarterman,2.15570864731
Timofey Mozgov,7.09245265161
Timothe Luwawu-Cabarrot,3.6866312536
Tobias Harris,9.3936353248
Tomas Satoransky,8.031096923
Toney Douglas,0.721687836487
Tony Allen,12.4257951301
Tony Parker,10.6061533616
Tony Snell,7.06512617758
Treveon Graham,2.52598990497
Trevor Ariza,7.60395944725
Trevor Booker,11.5848178213
Trey Burke,6.11567108389
Trey Lyles,6.93283251396
Tristan Thompson,9.59102129045
Troy Daniels,12.3163470171
Troy Williams,9.93918527074
Ty Lawson,9.61577479978
Tyler Ennis,4.70573145372
Tyler Johnson,9.06621475589
Tyler Ulis,7.65975684993
Tyler Zeller,10.0358731558
Tyreke Evans,0.0
Tyson Chandler,14.8035750187
Tyus Jones,9.78766877989
Udonis Haslem,2.2616826332
Victor Oladipo,12.9786439691
Vince Carter,10.8284170304
Wade Baldwin IV,9.41705184145
Walter Tavares,1.87638837487
Wayne Ellington,11.9641652446
Wesley Johnson,6.82303085146
Wesley Matthews,10.6122152409
Will Barton,15.183173252
Willie Cauley-Stein,6.10868575609
Willie Reed,7.98394221756
Willy Hernangomez,12.6162009649
Wilson Chandler,15.9624363742
Yogi Ferrell,7.64035339497
Zach LaVine,11.219079892
Zach Randolph,13.3966270152
Zaza Pachulia,9.05354265552
