Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161102;4952;PF;Chriss Marquese;;11.5;$3200;pho;H;por;118;115;15.57;5pt 4rb 1as 2-5fg 1-3ft
20161102;4559;SG/SF;Roberson Andre;1;10.5;$4100;okc;A;lac;85;83;23.57;2pt 4rb 1st 1bl 1to 1-5fg 0-2ft
20161102;4965;SF;Ingram Brandon;;10;$3800;lal;A;atl;123;116;21.62;3pt 2rb 2as 1bl 2to 1trey 1-2fg
20161102;5014;SF;Kuzminskas Mindaugas;;9.75;$3000;nyk;H;hou;99;118; 5.93;6pt 1rb 1st 1trey 1-3fg 3-4ft
20161102;3760;SG/SF;Green Gerald;;9.75;$3000;bos;H;chi;107;100;13.63;4pt 1rb 3as 1-3fg 2-2ft
20161102;4929;PF;Siakam Pascal;1;9.25;$3200;tor;A;was;113;103;17.77;4pt 3rb 1st 1to 2-4fg
20161102;4861;PF;N'dour Maurice;;9.25;$3000;nyk;H;hou;99;118;18.62;4pt 1rb 1st 1bl 2-2fg
20161102;4280;PF;Favors Derrick;1;9.25;$6400;uta;H;dal;97;81;23.05;8pt 1rb 3-8fg 2-4ft
20161102;5017;SF;Brown Jaylen;;8;$3000;bos;H;chi;107;100; 8.23;3pt 2rb 1st 1trey 1-3fg
20161102;4701;SF;Ingles Joe;;7.25;$3000;uta;H;dal;97;81;23.17;3pt 1rb 2as 1to 1trey 1-5fg
20161102;4113;SF;Mbah a Moute Luc;1;7.25;$3000;lac;H;okc;83;85;23.95;2pt 1rb 2st 0-1fg 2-4ft
20161102;4460;SF;Singler Kyle;;6.5;$3000;okc;A;lac;85;83; 4.73;2pt 2rb 1bl 1-2fg
20161102;4384;SF/PF;Thomas Lance;;5.5;$3000;nyk;H;hou;99;118; 9.72;3pt 2rb 1to 1trey 1-2fg
20161102;4531;PF;Nicholson Andrew;;5.25;$3300;was;H;tor;103;113; 9.40;4pt 1rb 2-4fg 0-1ft
20161102;4838;SF;Johnson Stanley;;4.75;$3300;det;A;bkn;101;109;16.88;0pt 3rb 1as 1to 0-4fg
20161102;4566;SF;Hill Solomon;1;4.5;$3400;nor;A;mem;83;89;10.55;0pt 2rb 1st 0-2fg
20161102;4115;SF;Morrow Anthony;;4;$3000;okc;A;lac;85;83; 9.72;2pt 1st 1-3fg
20161102;4901;SG/SF;Valentine Denzel;;3;$3000;chi;A;bos;100;107; 6.70;3pt 1to 1trey 1-2fg
20161102;4977;PF;Wiltjer Kyle;;2;$3000;hou;A;nyk;118;99; 3.75;0pt 2rb 1to 0-3fg
20161102;4828;SG/SF;Oubre Kelly;;1.5;$3200;was;H;tor;103;113; 7.10;0pt 1st 1to
20161102;4496;PF;Acy Quincy;;1.25;$3000;dal;A;uta;81;97; 1.83;0pt 1rb 0-1fg
20161102;4932;PF;Finney-Smith Dorian;;0;$3000;dal;A;uta;81;97; 1.83;0pt
20161102;4292;SF;Johnson Wesley;;0;$3000;lac;H;okc;83;85; 0.55;0pt
20161102;4978;PF;Bolomboy Joel;;0;$3000;uta;H;dal;97;81; 1.00;0pt
20161102;4997;PF;Layman Jake;;0;$3000;por;A;pho;115;118;DNP;
20161102;4809;PF;McCullough Chris;;0;$3000;bkn;H;det;109;101;DNP;
20161102;4913;SF/PF;Bender Dragan;;0;$3000;pho;H;por;118;115;DNP;
20161102;4761;PF;Vonleh Noah;;0;$3000;por;A;pho;115;118;DNP;
20161102;4908;PF;Williams Troy;;0;$3000;mem;H;nor;89;83;DNP;
20161102;4619;SF;Bennett Anthony;;0;$3000;bkn;H;det;109;101;DNP;
20161102;4811;SF;Connaughton Pat;;0;$3000;por;A;pho;115;118;DNP;
20161102;4928;PF;Davis Deyonta;;0;$3000;mem;H;nor;89;83;DNP;
20161102;5001;SF;Bembry DeAndre;;0;$3000;atl;H;lal;116;123;DNP;
20161102;4947;SF;Gbinije Michael;;0;$3000;det;A;bkn;101;109;DNP;
20161102;4834;PF;Wood Christian;;0;$3000;cha;H;phi;109;93;DNP;
20161102;4509;PF;Robinson Thomas;;0;$3000;lal;A;atl;123;116;DNP;
20161102;4708;SF;Caboclo Bruno;;0;$3000;tor;A;was;113;103;DNP;
20161102;4957;PF;Diallo Cheick;;0;$3000;nor;A;mem;83;89;DNP;
20161102;4915;SF;Zipser Paul;;0;$3000;chi;A;bos;100;107;DNP;
20161102;5009;PF;Ellenson Henry;;0;$3000;det;A;bkn;101;109;DNP;
20161102;4648;SF;Kelly Ryan;;0;$3000;atl;H;lal;116;123;DNP;
20161102;3853;SF;Anderson Alan;;0;$3000;lac;H;okc;83;85;DNP;
20161102;4514;SG/SF;Lamb Jeremy;;0;$3100;cha;H;phi;109;93;NA;
20161102;4461;SF;Parsons Chandler;;0;$6000;mem;H;nor;89;83;NA;
20161102;4305;SF;Pondexter Quincy;;0;$3000;nor;A;mem;83;89;NA;
20161102;4488;PF;Scott Mike;;0;$3000;atl;H;lal;116;123;NA;
20161102;4285;SF;Hayward Gordon;;0;$6800;uta;H;dal;97;81;NA;
20161102;4925;SF;Simmons Ben;;0;$3000;phi;A;cha;93;109;NA;
20161102;4992;SF;LeVert Caris;;0;$3000;bkn;H;det;109;101;NA;
20161102;3001;SF;Peace Metta World;;0;$3000;lal;A;atl;123;116;NA;
20161102;4914;PF;Johnson Brice;;0;$3000;lac;H;okc;83;85;NA;
20161102;4583;PF;Olynyk Kelly;;0;$3300;bos;H;chi;107;100;NA;
20161102;4669;SF;McDermott Doug;;0;$3600;chi;A;bos;100;107;NA;
20161102;2428;PF;Pierce Paul;;0;$3000;lac;H;okc;83;85;NA;
20161102;4941;SF;Jones Derrick;;0;$3000;pho;H;por;118;115;NA;
20161102;4880;SF;Huestis Josh;;0;$3000;okc;A;lac;85;83;NA;
20161102;4226;SF/PF;Cunningham Dante;1;-0.5;$3000;nor;A;mem;83;89; 5.25;0pt 1to 0-2fg
20161102;4824;PF;Mickey Jordan;;-0.5;$3000;bos;H;chi;107;100; 5.82;0pt 1to 0-1fg
20161102;4075;C;Lopez Brook;1;55.75;$6400;bkn;H;det;109;101;28.75;34pt 11rb 1as 1st 1bl 2to 4trey 12-21fg 6-9ft
20161102;3639;C;Howard Dwight;1;49.25;$7600;atl;H;lal;116;123;31.70;31pt 11rb 2st 2to 12-16fg 7-10ft
20161102;3768;PF/C;Johnson Amir;1;47;$3400;bos;H;chi;107;100;29.53;23pt 6rb 3as 3st 2bl 4trey 9-11fg 1-2ft
20161102;3990;C;Gasol Marc;1;39.75;$6100;mem;H;nor;89;83;38.45;8pt 11rb 6as 2st 3bl 3to 1trey 3-18fg 1-2ft
20161102;4620;C;Gobert Rudy;1;39.5;$7100;uta;H;dal;97;81;22.83;12pt 12rb 1as 2st 3bl 1to 3-5fg 6-14ft
20161102;3756;C;Gortat Marcin;1;37.5;$5600;was;H;tor;103;113;43.02;15pt 10rb 2as 1st 2bl 1to 6-10fg 3-4ft
20161102;4591;C;Len Alex;;33;$3900;pho;H;por;118;115;21.43;18pt 6rb 1as 3bl 6-10fg 6-6ft
20161102;3307;C;Chandler Tyson;1;31;$4200;pho;H;por;118;115;28.08;6pt 18rb 1as 1bl 2to 2-4fg 2-2ft
20161102;4167;PF/C;Gibson Taj;1;28.5;$5600;chi;A;bos;100;107;25.63;8pt 8rb 3as 2st 2bl 4to 3-12fg 2-3ft
20161102;4482;PF/C;Davis Anthony;1;28.25;$10900;nor;A;mem;83;89;35.67;10pt 7rb 1as 2st 3bl 5to 1trey 3-13fg 3-5ft
20161102;4607;C;Plumlee Mason;1;28;$4600;por;A;pho;115;118;21.23;4pt 12rb 4as 2bl 2to 2-11fg
20161102;4497;C;Valanciunas Jonas;1;22.75;$6800;tor;A;was;113;103;30.62;10pt 7rb 3as 1to 4-6fg 2-2ft
20161102;4489;C;Drummond Andre;1;22.5;$8300;det;A;bkn;101;109;25.17;6pt 6rb 4as 2bl 2to 3-9fg
20161102;4122;C;Speights Marreese;;22.5;$3200;lac;H;okc;83;85;16.32;14pt 4rb 2as 1trey 6-9fg 1-2ft
20161102;4442;C;Kanter Enes;;22;$5400;okc;A;lac;85;83;23.62;6pt 12rb 1st 2to 3-11fg
20161102;4836;PF/C;Okafor Jahlil;;21.75;$4900;phi;A;cha;93;109;24.17;12pt 5rb 1as 1st 4-8fg 4-5ft
20161102;4107;C;Jordan DeAndre;1;20.5;$7400;lac;H;okc;83;85;31.68;8pt 6rb 3bl 2to 4-4fg 0-3ft
20161102;4766;PF/C;Capela Clint;1;18.5;$5500;hou;A;nyk;118;99;21.07;8pt 6rb 1as 1st 1to 4-6fg 0-3ft
20161102;4850;PF/C;Martin Jarell;;18;$3000;mem;H;nor;89;83;17.27;6pt 4rb 1as 2st 1bl 1to 2-6fg 2-2ft
20161102;4516;C;Zeller Tyler;1;18;$3000;bos;H;chi;107;100;24.88;11pt 4rb 1st 5-11fg 1-2ft
20161102;4574;C;Adams Steven;1;17.75;$6000;okc;A;lac;85;83;31.27;2pt 11rb 1as 1st 3to 1-3fg
20161102;4659;C;Muscala Mike;;17.75;$3400;atl;H;lal;116;123;15.23;7pt 5rb 3as 1to 1trey 3-3fg
20161102;4112;C;Lopez Robin;1;17.25;$4400;chi;A;bos;100;107;14.17;8pt 5rb 2bl 2to 3-6fg 2-4ft
20161102;4614;C;Zeller Cody;1;16.25;$4300;cha;H;phi;109;93;26.40;13pt 1rb 1bl 5-7fg 3-6ft
20161102;3583;C;Hamilton Justin;;15.75;$4000;bkn;H;det;109;101;23.08;6pt 3rb 3as 1bl 1to 3-4fg
20161102;3736;C;Bogut Andrew;1;15.75;$4000;dal;A;uta;81;97;17.32;2pt 9rb 1st 1bl 3to 1-2fg
20161102;4263;C;Asik Omer;;15.75;$3000;nor;A;mem;83;89;35.48;0pt 11rb 2as 2to 0-2fg
20161102;4276;C;Davis Ed;;15;$3300;por;A;pho;115;118;15.40;2pt 6rb 1st 2bl 1to 1-3fg
20161102;4556;C;Baynes Aron;;14.5;$3000;det;A;bkn;101;109;18.70;4pt 4rb 1st 2bl 1to 2-5fg
