Id,Name,Position,Team,Salary,Projected,Scored,Override
129032,Joakim Noah,C,NY,4600,21.69,31.0,0
129033,Tyler Zeller,C,BOS,4100,10.475,20.5,0
129034,Cody Zeller,C,CHA,4000,12.03,22.75,0
129035,Bismack Biyombo,C,ORL,3900,15.34,17.5,0
129036,Lucas Nogueira,C,TOR,3800,26.56,25.25,0
129037,Roy Hibbert,C,CHA,3700,0.1,13.5,0
129038,Al Jefferson,C,IND,3700,27.175,16.25,0
129039,Dewayne Dedmon,C,SA,3700,5.0875,5.5,0
129040,Jakob Poeltl,C,TOR,3300,12.605,0.0,0
129041,Kosta Koufos,C,SAC,3300,19.625,17.0,0
129042,Willy Hernangomez,C,NY,3100,10.22,31.0,0
129043,Marshall Plumlee,C,NY,3000,0.1,0.0,0
129044,Nick Collison,C,OKC,3000,0.1,1.0,0
129045,Diamond Stone,C,LAC,3000,0.1,0.0,0
129046,Chris Andersen,C,CLE,3000,2.74,0.0,0
129047,Ian Mahinmi,C,WAS,3000,0.1,0.0,0
129048,Daniel Ochefu,C,WAS,3000,2.59,0.0,0
129049,Jared Sullinger,C,TOR,3000,0.1,0.0,0
129050,Jeff Withey,C,UTA,3000,7.075,2.0,0
129051,Kevin Seraphin,C,IND,3000,8.81,6.75,0
129052,Festus Ezeli,C,POR,3000,0.1,0.0,0
129053,Ed Davis,C,POR,3000,0.1,7.0,0
129054,Willie Cauley-Stein,C,SAC,3000,15.905,6.5,0
129055,Georgios Papagiannis,C,SAC,3000,0.265,0.0,0
129056,Aron Baynes,C,DET,3000,6.455,7.0,0
129057,Boban Marjanovic,C,DET,3000,0.68,0.0,0
129058,C.J. McCollum,PG/SG,POR,6900,36.29,50.25,0
129059,George Hill,PG/SG,UTA,6700,0.0,0.0,0
129060,Victor Oladipo,PG/SG,OKC,5400,19.205,22.5,0
129061,Marcus Smart,PG/SG,BOS,4900,20.105,42.5,0
129062,Raymond Felton,PG/SG,LAC,3600,10.67,2.0,0
129063,Iman Shumpert,PG/SG,CLE,3300,13.4575,18.0,0
129064,Rodney Stuckey,PG/SG,IND,3000,0.1,0.0,0
